epoch,train_account_scaled_pinball_loss,calibration_account_scaled_pinball_loss,improved,training_seed,c2d_version
1,0.1814605603,0.0745732100,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
2,0.0718366482,0.0621881597,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
3,0.0627039181,0.0564607158,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
4,0.0585228465,0.0533444213,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
5,0.0562028485,0.0511333968,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
6,0.0544165112,0.0503001825,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
7,0.0529287786,0.0495092570,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
8,0.0514134362,0.0469893211,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
9,0.0503050153,0.0456500113,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
10,0.0492163773,0.0449423486,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
11,0.0483010358,0.0443991530,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
12,0.0475293945,0.0441725412,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
13,0.0467960646,0.0435937561,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
14,0.0463818196,0.0437936481,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
15,0.0459766885,0.0431870355,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
16,0.0455480483,0.0427243782,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
17,0.0453127450,0.0428658310,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
18,0.0450459973,0.0423786988,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
19,0.0445692581,0.0430519340,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
20,0.0445001118,0.0435859128,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
21,0.0441359322,0.0426824041,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
22,0.0440105924,0.0418188343,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
23,0.0436336372,0.0415691035,true,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
24,0.0433442488,0.0421520009,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
25,0.0432560755,0.0415259796,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
26,0.0430119021,0.0416446253,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
27,0.0428526744,0.0426596799,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
28,0.0428586688,0.0419652898,false,2026083102,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
