transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_1649013ef5103e4b6600f404,2025-01-01T09:00:00,流入,35291871.38,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_603978b36e754d5ef58f537e,2025-01-04T09:03:14,流出,205545.98,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6aed6ccb930cf43da1bce65,2025-01-08T15:22:53,流出,2059602.53,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_10adfa0b9f1214c98ef0589f,2025-01-11T09:30:13,流出,31793.17,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7e1c80b37771b4f78756c956,2025-01-16T16:33:52,流出,1548273.67,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1d63167a01ac0072ce4916ff,2025-01-18T14:42:58,流出,1555125.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b67106d6da70c9ee3fdbac22,2025-01-24T15:33:50,流出,36635.29,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e375cc12b5e1961a6422dac6,2025-01-25T13:08:19,流出,30709.47,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d6fbea535a4855db37e81eb3,2025-01-26T09:57:38,流出,1693588.83,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c92d83881dd944b655378f53,2025-01-30T10:01:04,流出,2060730.46,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_448a0198b866e0397365dc9a,2025-02-02T15:25:28,流出,3617490.19,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_17df269b31fcbf9f797e0e0f,2025-02-03T10:28:32,流出,31720.54,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_23ae8b956d4129e316a0a87b,2025-02-11T11:45:58,流出,3597278.93,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2871793a4bfb3e0475956df5,2025-02-11T14:48:32,流入,1644067.66,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d01e714129204eeef90bc50d,2025-02-11T16:20:26,流出,1555125.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_018a8cf446225a2cc202a719,2025-02-12T15:03:18,流入,1433656.19,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1fc2df49cbe5a906c1d55a1a,2025-02-14T09:05:41,流入,1473488.42,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_01c9731490b6ed34be7ff7b1,2025-02-18T14:15:26,流出,205545.98,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7005e0f593e0c827c8d86ba,2025-02-22T14:16:28,流出,30267.05,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f2cb8d3a6208d8a85544f4e1,2025-02-23T17:48:28,流出,3358329.63,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
