transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_9c504789dd5986526ac8d5d5,2024-01-01T09:00:00,0.00,7900000.00,7900000.00
synb1_txn_f723046d8b8a20d76770c997,2024-01-04T09:00:00,93189.89,0.00,7806810.11
synb1_txn_faa22ddaaaf977e33e147b84,2024-01-05T09:00:00,6871.06,0.00,7799939.05
synb1_txn_08cf517f492726ab40245dbd,2024-01-05T09:00:00,47000.00,0.00,7752939.05
synb1_txn_26a5d15e00cd0554be2e7bf8,2024-01-07T09:00:00,147000.00,0.00,7605939.05
synb1_txn_e6942e9d99524439a968d707,2024-01-08T09:00:00,2343.31,0.00,7603595.74
synb1_txn_e2d8f7945ae0b721832c16ec,2024-01-08T09:00:00,1034.37,0.00,7602561.37
synb1_txn_4d03bf9cfcdcba766681e240,2024-01-08T09:00:00,193447.30,0.00,7409114.07
synb1_txn_e8eada1528f322decf8eecc0,2024-01-08T15:00:00,0.00,469538.45,7878652.52
synb1_txn_1a98f4cea795f710963856e0,2024-01-11T09:00:00,20270.93,0.00,7858381.59
synb1_txn_1fb759fa4c46c2a4791f789a,2024-01-13T09:00:00,2188.68,0.00,7856192.91
synb1_txn_9cf579b0a363edf8e08a405c,2024-01-15T09:00:00,96585.99,0.00,7759606.92
synb1_txn_d8ab305b78817735edac7925,2024-01-15T15:00:00,0.00,333557.60,8093164.52
synb1_txn_30277c01e24f6a867e56b629,2024-01-15T15:00:00,0.00,240903.95,8334068.47
synb1_txn_82f3a46f68d503774cdc5f57,2024-01-18T09:00:00,95201.85,0.00,8238866.62
synb1_txn_043f04f45d7a850b5663b600,2024-01-22T09:00:00,10562.58,0.00,8228304.04
synb1_txn_273df0e38e8f1be27fc8c944,2024-01-25T09:00:00,24210.60,0.00,8204093.44
synb1_txn_99cd7b6a7d8c7302539aee18,2024-01-28T09:00:00,124293.44,0.00,8079800.00
synb1_txn_0bf0ada4349c827e05fe586e,2024-02-02T09:00:00,29667.36,0.00,8050132.64
synb1_txn_ba749b2f329deb8982fb391a,2024-02-02T15:00:00,0.00,84758.79,8134891.43
synb1_txn_b065d269ec9bb950cfc6b1d9,2024-02-02T15:00:00,0.00,419201.43,8554092.86
synb1_txn_9c51506ec90e120a59a3749b,2024-02-04T15:00:00,0.00,106996.76,8661089.62
synb1_txn_cfefa23f95300f84dca19418,2024-02-05T09:00:00,47000.00,0.00,8614089.62
synb1_txn_1538c8ca00f23f226c820032,2024-02-05T09:00:00,272018.85,0.00,8342070.77
synb1_txn_b2f8cafa4f3c62747bfd9644,2024-02-06T15:00:00,0.00,10425.75,8352496.52
synb1_txn_40a4b0caeebebc6abd0431aa,2024-02-07T09:00:00,2453.96,0.00,8350042.56
synb1_txn_7d52576c3af9c5e8ef854f8d,2024-02-07T09:00:00,147000.00,0.00,8203042.56
synb1_txn_7c739c2b811d9b11ef89241c,2024-02-09T15:00:00,0.00,73630.06,8276672.62
synb1_txn_f50609be0afe6a9ae3c57905,2024-02-10T09:00:00,465081.40,0.00,7811591.22
synb1_txn_c68283cd35ce24676942d633,2024-02-11T09:00:00,56283.19,0.00,7755308.03
synb1_txn_c48c3487edacf0ed00c9b145,2024-02-11T15:00:00,0.00,402.41,7755710.44
synb1_txn_c935c6b054affa138db434db,2024-02-16T09:00:00,903.47,0.00,7754806.97
synb1_txn_85e9c6a75800252814633ef9,2024-02-16T15:00:00,0.00,94886.87,7849693.84
synb1_txn_48c6963c8060e81c2f0b3736,2024-02-18T09:00:00,57102.40,0.00,7792591.44
synb1_txn_8fc2d927a2d8d3f49d074ee8,2024-02-18T09:00:00,17400.00,0.00,7775191.44
synb1_txn_db88f2065e80331be272371c,2024-02-18T09:00:00,2088.00,0.00,7773103.44
synb1_txn_980113342aefb0d294a74db9,2024-02-19T09:00:00,177416.56,0.00,7595686.88
synb1_txn_849c5b93152ba25e4b45471d,2024-02-19T09:00:00,52455.27,0.00,7543231.61
synb1_txn_a296ccf549d0d232e107bcde,2024-02-20T09:00:00,67046.47,0.00,7476185.14
synb1_txn_1126f9d1c0c390e6ef8fa905,2024-02-21T15:00:00,0.00,83692.07,7559877.21
synb1_txn_67e84b40139cabe4b8f8d05d,2024-02-21T15:00:00,0.00,189354.16,7749231.37
synb1_txn_2c2af1b398c3ecd93cab6407,2024-02-22T15:00:00,0.00,58821.51,7808052.88
synb1_txn_f40af4ee45be0da1b9a7a2f4,2024-02-23T15:00:00,0.00,265586.41,8073639.29
synb1_txn_76f8fe6b4a15a7b03cdf3d5e,2024-02-26T09:00:00,3662.02,0.00,8069977.27
synb1_txn_f155eb621f2666cd54e8f2d7,2024-02-26T09:00:00,357630.90,0.00,7712346.37
synb1_txn_8558aa7c3f54a5ff3f3dcf72,2024-02-26T15:00:00,0.00,367484.99,8079831.36
synb1_txn_1829cb62b52b40c998a0dd74,2024-02-27T09:00:00,15980.55,0.00,8063850.81
synb1_txn_645b8266f4ce671fb32d4e94,2024-02-27T15:00:00,0.00,24198.54,8088049.35
synb1_txn_9126ebac221871eaf44e3d25,2024-02-28T15:00:00,0.00,2560.25,8090609.60
synb1_txn_49490cedd231bcf2d96acdcc,2024-03-05T09:00:00,47000.00,0.00,8043609.60
synb1_txn_c11ae1fd57c5d04063922407,2024-03-05T15:00:00,0.00,316144.44,8359754.04
synb1_txn_a5bd61e9c42a34446bceec34,2024-03-07T09:00:00,147000.00,0.00,8212754.04
