transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_f08c1d0566ec9084695f5b99,2025-01-01T09:00:00,0.00,501887.18,501887.18
synb1_txn_ab6d8441970a427ec1c2dd92,2025-01-03T14:51:03,24212.33,0.00,477674.85
synb1_txn_875a3ba7964087dee0d58d19,2025-01-05T09:01:26,4120.31,0.00,473554.54
synb1_txn_2a23bd734da6acb57f1142ca,2025-01-09T12:50:52,18274.69,0.00,455279.85
synb1_txn_fd2b621a94f5ca9773d6da1e,2025-01-10T11:10:40,5358.07,0.00,449921.78
synb1_txn_beaaaba8cefdc7dc8814fdf4,2025-01-13T16:53:33,5135.95,0.00,444785.83
synb1_txn_9c667ccbf87df8d37968238c,2025-01-14T09:32:44,5542.51,0.00,439243.32
synb1_txn_3d246486dd4e49f69877483e,2025-01-22T15:50:54,20058.31,0.00,419185.01
synb1_txn_ea930076a27352d31c548978,2025-01-26T16:00:11,20064.67,0.00,399120.34
synb1_txn_51ba03329a153ee8fd9da8ee,2025-02-01T16:16:37,20730.73,0.00,378389.61
synb1_txn_f7bbedeff8a0d14ceeb803e3,2025-02-03T09:00:00,0.00,1239150.00,1617539.61
synb1_txn_5f65fce728d161e85b05ec0f,2025-02-06T14:13:19,0.00,105998.71,1723538.32
synb1_txn_2ecb8148ba5a64967a186cc8,2025-02-08T10:28:55,0.00,103301.59,1826839.91
synb1_txn_c5c09fdbca50b9b12961e670,2025-02-08T15:30:39,5631.62,0.00,1821208.29
synb1_txn_2a394db26e57d48d3e921c11,2025-02-08T15:36:10,4672.52,0.00,1816535.77
synb1_txn_db6a1f6bc79db4dc1472d699,2025-02-10T16:25:32,4886.73,0.00,1811649.04
synb1_txn_b0dc577165c0082fc4df1cee,2025-02-12T16:29:59,21656.01,0.00,1789993.03
synb1_txn_2a90b8a43044d594c65966cb,2025-02-14T09:20:38,4965.97,0.00,1785027.06
synb1_txn_54eafe6aaec5e40ce17bb37e,2025-02-19T13:00:03,0.00,101396.01,1886423.07
synb1_txn_2181a7211ffc3157a8d75cf3,2025-02-22T11:11:49,19214.36,0.00,1867208.71
synb1_txn_4c28db2dad9150c5ede48e13,2025-02-22T14:43:10,186269.94,0.00,1680938.77
synb1_txn_7169e91f9ea3e84737cc46e3,2025-02-24T11:08:15,184349.28,0.00,1496589.49
synb1_txn_01c67de0f30730ceab2f1a5b,2025-02-24T14:07:11,181269.62,0.00,1315319.87
synb1_txn_e8c26f58fa02b5244bc3c6f1,2025-02-25T09:50:20,186567.97,0.00,1128751.90
synb1_txn_9ea53afff8d9be3cdfba955e,2025-02-26T10:03:54,21008.90,0.00,1107743.00
synb1_txn_7001c8f939f403178e4b4cae,2025-02-27T15:55:53,0.00,102353.69,1210096.69
synb1_txn_62f7197fcf4e9ba6a73b2b71,2025-02-28T09:00:00,23444.71,0.00,1186651.98
synb1_txn_67377c3725bc8d20888826dc,2025-02-28T09:00:00,8261.00,0.00,1178390.98
synb1_txn_b9cd7ccbf6dce2ea3ccf4dfe,2025-02-28T09:00:00,991.32,0.00,1177399.66
synb1_txn_1b3cee6890f4d499df60e72b,2025-03-03T09:00:00,2851.74,0.00,1174547.92
synb1_txn_41bcd02ac5b7bcffb6cc14f7,2025-03-03T16:17:36,0.00,191181.12,1365729.04
synb1_txn_6a5c67e1c10bc6e8c6a286d8,2025-03-05T14:46:50,268880.69,0.00,1096848.35
synb1_txn_8a04a7b9e61fc5eca90e0ff1,2025-03-06T10:48:52,22320.58,0.00,1074527.77
synb1_txn_2643b1e40ffc969fc34dd7ab,2025-03-08T13:29:51,16510.45,0.00,1058017.32
synb1_txn_d870a3b57eb0733a7af825ef,2025-03-09T09:54:37,270969.84,0.00,787047.48
synb1_txn_1e0ee6404508d0b99f8d0e33,2025-03-09T16:24:10,287038.21,0.00,500009.27
synb1_txn_8f2743497f8247bbf863f30f,2025-03-10T09:57:54,20784.81,0.00,479224.46
synb1_txn_2d79af3549bd5f728930594f,2025-03-14T16:46:17,4791.69,0.00,474432.77
synb1_txn_39b7bf3f0904c080b26be880,2025-03-17T10:17:05,0.00,221793.44,696226.21
synb1_txn_8005948aa827b97dc80c7f92,2025-03-17T12:34:35,5115.16,0.00,691111.05
synb1_txn_2dda6bbb411d0a562df439ef,2025-03-18T17:18:48,5800.90,0.00,685310.15
synb1_txn_8d5f856d350e70dbfc0dec76,2025-03-21T11:09:16,4449.09,0.00,680861.06
synb1_txn_b36dee825ba3d401cd3ab44a,2025-03-24T16:15:38,0.00,192250.80,873111.86
synb1_txn_a84982484e9d09f0cfd3e423,2025-03-28T09:00:00,22564.75,0.00,850547.11
synb1_txn_15571c2b95fe7aee9a9285d8,2025-03-28T09:00:00,8095.78,0.00,842451.33
synb1_txn_74b35d28fa1e078a9a36b356,2025-03-28T09:00:00,971.49,0.00,841479.84
synb1_txn_6c80f0f7a92066a61cbd0797,2025-03-28T15:08:52,0.00,212613.64,1054093.48
synb1_txn_98e7aa996687b2afc83bacc4,2025-03-29T15:16:09,22994.16,0.00,1031099.32
synb1_txn_f9497b5cc5e1fc76123b1a13,2025-03-31T13:02:37,278036.83,0.00,753062.49
synb1_txn_f3c99d7e2b8aac3d28d9a42d,2025-04-01T16:00:30,18904.16,0.00,734158.33
synb1_txn_82de4b7f25817bee1a99f997,2025-04-01T17:33:49,229939.76,0.00,504218.57
synb1_txn_cbed42b1bd6cd47811cd2d54,2025-04-03T09:00:00,3157.29,0.00,501061.28
synb1_txn_2768095dad49ebfbc2463b84,2025-04-03T15:57:12,21072.71,0.00,479988.57
synb1_txn_a5d56c29358c57c60c81a74b,2025-04-05T14:50:34,196426.69,0.00,283561.88
synb1_txn_8d4a3ae0767c8342e784d3c7,2025-04-06T13:36:24,242256.88,0.00,41305.00
synb1_txn_e15494ceb8a2cffc43d717c5,2025-04-07T13:36:36,0.00,331260.38,372565.38
synb1_txn_1641f97a4d9448536fdc7a90,2025-04-14T09:04:58,0.00,290020.88,662586.26
synb1_txn_6590106810dc36c2e1fb8d51,2025-04-15T13:36:29,0.00,257257.26,919843.52
synb1_txn_fdfb263221041574890bbe75,2025-04-17T13:17:37,4919.23,0.00,914924.29
synb1_txn_08f8e7a6f073f2bd0e9ff50f,2025-04-18T13:34:23,5473.26,0.00,909451.03
synb1_txn_b2c7b729c48d337288b51986,2025-04-19T14:10:01,22404.87,0.00,887046.16
synb1_txn_0886b1b4a29431a3fbd1f7be,2025-04-21T12:37:44,4727.18,0.00,882318.98
synb1_txn_b776e9a818d7835067b0a3b6,2025-04-23T17:05:43,163945.08,0.00,718373.90
synb1_txn_631aaf669178080fff72f74a,2025-04-28T09:00:00,21114.44,0.00,697259.46
synb1_txn_fd807edf203baa94fda9a967,2025-04-28T09:00:00,7930.56,0.00,689328.90
synb1_txn_2bc013081a6cc0704b1eded3,2025-04-28T09:00:00,951.66,0.00,688377.24
synb1_txn_4bd07b7a26a380f5393c726e,2025-04-28T11:41:54,20228.26,0.00,668148.98
synb1_txn_0d4a0dd5d91b4c233287e6ea,2025-04-28T14:13:27,5037.17,0.00,663111.81
synb1_txn_84f16c4b7c0cdbf8e969b866,2025-04-30T17:54:29,0.00,319306.48,982418.29
synb1_txn_7acde577748876263929a4b5,2025-05-03T09:00:00,3055.44,0.00,979362.85
synb1_txn_46b2097515b58cd04c056fbb,2025-05-10T10:07:37,23390.31,0.00,955972.54
synb1_txn_348583054bd21a0e15b673fa,2025-05-11T11:07:13,0.00,198635.94,1154608.48
synb1_txn_62eefc9b0ec20d762d5c9cfb,2025-05-14T10:30:08,4151.44,0.00,1150457.04
synb1_txn_302806e355936c302fa974a4,2025-05-15T11:37:17,5255.46,0.00,1145201.58
synb1_txn_ba4de35c2a24cbbbea7577d9,2025-05-17T13:27:02,140851.84,0.00,1004349.74
synb1_txn_89a5747b3a466544aad463fd,2025-05-18T11:49:05,0.00,202825.17,1207174.91
synb1_txn_eea0b27a643de4e9642a608b,2025-05-18T16:10:11,5364.99,0.00,1201809.92
synb1_txn_ef0c9acd98cec02951f8e240,2025-05-19T09:17:13,155491.82,0.00,1046318.10
synb1_txn_efaecdac3b08618f6e7e419e,2025-05-19T11:42:42,19690.30,0.00,1026627.80
synb1_txn_b17c96bf13fc9308525413d3,2025-05-20T17:25:54,163302.53,0.00,863325.27
synb1_txn_bbd4615c9d1db88b125daca6,2025-05-22T15:15:06,21665.60,0.00,841659.67
synb1_txn_1d85c578ad5b7530b1cdcff9,2025-05-27T13:50:49,0.00,171895.35,1013555.02
synb1_txn_5a4a16184dddb1565d02fc2d,2025-05-28T09:00:00,20173.37,0.00,993381.65
synb1_txn_892fe445af59cd1c34a2e1da,2025-05-28T09:00:00,7765.34,0.00,985616.31
synb1_txn_541169f7b677c086aee15522,2025-05-28T09:00:00,931.84,0.00,984684.47
synb1_txn_19fa9bd316b3520c71acb3e9,2025-05-28T10:34:04,5384.95,0.00,979299.52
synb1_txn_0627b494b39f96f86788b0ac,2025-05-31T09:48:06,114120.93,0.00,865178.59
synb1_txn_cb31add45e0274225dad80e3,2025-05-31T10:34:37,17863.79,0.00,847314.80
synb1_txn_7fa0b0c8c535ba7f09177f3b,2025-05-31T16:42:51,0.00,203177.54,1050492.34
synb1_txn_56f6ceb7e13c4bdbac78897f,2025-06-02T15:15:46,0.00,188427.66,1238920.00
synb1_txn_d5c0a4411dc6ed9b8ec632d3,2025-06-02T17:14:19,0.00,211439.32,1450359.32
synb1_txn_3a1d4176e1fe19452834b003,2025-06-03T09:00:00,3157.29,0.00,1447202.03
synb1_txn_718612443ac13279f976f1e6,2025-06-05T17:25:46,135808.98,0.00,1311393.05
synb1_txn_d12f5f895cc3d8f79925bd2a,2025-06-10T09:16:49,125888.95,0.00,1185504.10
synb1_txn_24de9c91b90dc9f624270bcd,2025-06-12T12:27:13,22487.74,0.00,1163016.36
synb1_txn_4ceeadf3e8250d104e0a5195,2025-06-13T12:31:51,5643.29,0.00,1157373.07
synb1_txn_ae8ec5375b8a7e4fab21fba1,2025-06-15T09:18:39,5156.67,0.00,1152216.40
synb1_txn_960d13286fa09951670942b3,2025-06-17T17:40:39,4562.95,0.00,1147653.45
synb1_txn_35141de09f007e54f4ba03b9,2025-06-19T17:35:18,18786.14,0.00,1128867.31
synb1_txn_98e3e7f71d2c8bb15db24ec7,2025-06-24T11:51:43,20268.33,0.00,1108598.98
synb1_txn_5a1818fc431c162088109f56,2025-06-24T14:36:31,0.00,188885.78,1297484.76
synb1_txn_106a94f5cfac07a3ecd7151a,2025-06-24T16:18:09,128960.33,0.00,1168524.43
synb1_txn_4731b9bb0ddfb9dea928dc6a,2025-06-25T14:33:46,110519.72,0.00,1058004.71
synb1_txn_39bc45691d8b5e2e7f1b96d4,2025-06-28T16:44:31,4793.93,0.00,1053210.78
synb1_txn_f569224f1a27cdc4f0492e3a,2025-06-30T09:00:00,21073.70,0.00,1032137.08
synb1_txn_97575a0c21467678f6b76293,2025-06-30T09:00:00,7930.56,0.00,1024206.52
synb1_txn_9e11c92fd95f4ab0cf7ba73b,2025-06-30T09:00:00,951.66,0.00,1023254.86
synb1_txn_a2615e4305a1c388d1676bd2,2025-06-30T10:48:19,0.00,204303.24,1227558.10
synb1_txn_6afbbba762e749beb6ec1615,2025-06-30T14:55:06,21067.79,0.00,1206490.31
synb1_txn_01086d2866eb6c49eb2973f5,2025-07-02T11:34:18,0.00,216490.22,1422980.53
synb1_txn_efd91d16c00a9cf275fb5f86,2025-07-03T09:00:00,3055.44,0.00,1419925.09
synb1_txn_854adaf28b8304f0a49437bb,2025-07-03T17:05:49,149089.97,0.00,1270835.12
synb1_txn_4e6c9b70ac9df81444aaaf82,2025-07-05T12:33:06,21499.56,0.00,1249335.56
synb1_txn_19919c30fca470a313be3e95,2025-07-06T13:42:03,0.00,227435.92,1476771.48
synb1_txn_5e30b465b98a12d5f82be6e2,2025-07-07T09:20:36,181280.42,0.00,1295491.06
synb1_txn_6a45d1b51e11b7486bee6230,2025-07-07T10:27:38,0.00,211257.83,1506748.89
synb1_txn_82714acf73fc563537e6ad0e,2025-07-11T15:18:40,157244.24,0.00,1349504.65
synb1_txn_a82d65f543b4f68f295bbaea,2025-07-12T10:18:44,19569.34,0.00,1329935.31
synb1_txn_9f8a89f45ac9daa692e0ba1c,2025-07-15T16:23:27,5574.57,0.00,1324360.74
synb1_txn_11c3037e700cc827008ad786,2025-07-16T12:52:53,5625.52,0.00,1318735.22
synb1_txn_1e1c038034cf847fa2e7b37f,2025-07-18T11:26:27,136194.11,0.00,1182541.11
synb1_txn_a58f1a37c73ffeeaf05b0a64,2025-07-19T14:31:44,20840.97,0.00,1161700.14
synb1_txn_66eacb838d9c691a4e20b009,2025-07-21T16:54:43,4130.45,0.00,1157569.69
synb1_txn_7e7b7c50da3e8895a2406ad7,2025-07-28T09:00:00,21933.30,0.00,1135636.39
synb1_txn_693a7590457937431fb34f13,2025-07-28T09:00:00,8095.78,0.00,1127540.61
synb1_txn_ea766e154d62c7d9109abcd5,2025-07-28T09:00:00,971.49,0.00,1126569.12
synb1_txn_2030480a04c48b82b3858e39,2025-07-29T11:04:14,20700.13,0.00,1105868.99
synb1_txn_bdc6484af77c3a83e444daa2,2025-07-30T16:12:42,4826.30,0.00,1101042.69
synb1_txn_6c0be4b4e3a65be49b330f1e,2025-07-31T10:48:21,0.00,154394.03,1255436.72
synb1_txn_9ce65d7a50d33394fd89e5c1,2025-08-03T09:00:00,3157.29,0.00,1252279.43
synb1_txn_d15a543fdecc6550bc381798,2025-08-04T16:45:19,0.00,181939.62,1434219.05
synb1_txn_12d342e943960cfab55ceae2,2025-08-06T13:38:45,137587.88,0.00,1296631.17
synb1_txn_50454d1c8a6842a93641e0d8,2025-08-07T12:26:43,20143.34,0.00,1276487.83
synb1_txn_f001a2012bd2f6cf8e34ba80,2025-08-10T14:04:37,158031.01,0.00,1118456.82
