transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_01fc44d8998a989ae71d04b7,2025-01-01T09:00:00,流入,4848878.76,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46a1bb33d94f8a3ca16992b7,2025-01-02T16:42:37,流出,2848.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ce4a43bd560837dcd4894658,2025-01-04T12:03:34,流出,11949.71,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0aad7ffeda827a3b36d8149b,2025-01-06T09:42:07,流出,3868.47,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_123ee358459538100d889568,2025-01-08T14:50:06,流出,15661.61,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0226bd79c7e94f3a84a75b25,2025-01-10T11:52:02,流出,3961.64,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3bc8d39fce093972d7eb7146,2025-01-17T14:04:11,流出,3747.89,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a4e8c4f6bb019286633b69f,2025-01-19T15:06:16,流出,14547.16,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4d7568e023c467d517c446a,2025-01-21T17:28:41,流出,15545.52,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_74c05ca29bd7bebfafc552c2,2025-02-06T10:09:41,流出,3525.67,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58e2052ba98cb26df710be19,2025-02-09T16:32:36,流出,4003.33,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9205b177003696c92fda4de3,2025-02-10T12:03:50,流出,3566.44,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0c1043716fe4c7cb03984b41,2025-02-11T15:58:08,流出,13919.79,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_99ada921519b7faf15a2ee7c,2025-02-12T16:05:35,流出,12739.80,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b1b3633bfc4cffd68b0ef49,2025-02-18T16:49:16,流出,15793.43,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e9d2331c373c031d51c6597e,2025-02-22T15:50:02,流出,3330.56,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6fd2da700fc88602dc3a9f9a,2025-02-27T15:42:01,流出,15250.98,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5891e5702a6e64567403ab02,2025-03-01T16:27:34,流出,3327.24,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_17640d13b34c0a64b759c467,2025-03-02T17:45:43,流入,192698.37,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9f0bf51abc1ec3ef753d76d6,2025-03-09T17:24:10,流出,4225.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ed983bb9a28b31b85d12fcc,2025-03-10T09:57:48,流入,199345.01,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0751eb1034ed6f3278f2f398,2025-03-12T11:35:24,流出,999193.76,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06fdfc5d6e8fd0175db4efc4,2025-03-13T11:54:08,流出,1011753.31,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d8a6d0bf2132dfb007cf05a,2025-03-14T16:04:45,流出,1045172.62,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e1a2f8b4f0f9f4c114cdfa92,2025-03-15T12:46:01,流出,3894.66,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e82e12d914b01703867eec68,2025-03-16T15:53:20,流入,198680.34,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7e95ab87e64d6d8fad5743ca,2025-03-19T17:55:32,流出,2979.10,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f6712ca998b4204a5f0050f4,2025-03-20T16:48:35,流出,12887.02,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7942932ec2b24b462ca5fd28,2025-03-23T13:49:01,流出,17401.56,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_08fa7588f6f5b6e9573d0ee8,2025-03-25T12:56:58,流出,891072.45,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b71e86e3b04e2430338e5fa,2025-03-25T15:41:06,流出,13612.35,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53d96aa9517904030948ab63,2025-03-28T15:41:59,流出,13803.07,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c46477867a42d3b42869585,2025-03-30T14:42:21,流入,173854.28,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1dc33b6697be152766235642,2025-04-04T13:07:05,流出,14857.08,工资发放,仅供人工查看；不得作为模型输入或导入数据库
