transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_7d73cdf1521f7943e75122c9,2024-01-01T09:00:00,流入,703392.96,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34ff45e24b0460401ac71c11,2024-01-02T09:00:00,流出,105059.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_580ab0550110524e2380804d,2024-01-04T15:00:00,流入,56692.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7876739d4f8fd5b4af71b775,2024-01-05T09:00:00,流出,16000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8ef83d3c7d4261614976d1a,2024-01-06T15:00:00,流入,19342.52,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb44ac6ee895c00474b183e3,2024-01-07T09:00:00,流出,48000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3d7b9ef3ca9083249647b999,2024-01-07T15:00:00,流入,75081.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2bd9bacaa64023adc506d85e,2024-01-10T09:00:00,流出,4216.77,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4e7b13d9340b7b4f8373f221,2024-01-11T15:00:00,流入,55527.64,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7f5c7d5a70aeffa80ab157b,2024-01-16T09:00:00,流出,4239.17,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_161281ae3f3406ec138d7006,2024-01-17T09:00:00,流出,159682.92,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2dac8b112216e78a99727e8a,2024-01-17T15:00:00,流入,31790.83,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c2a57c9f46d5cb21f51d3fd,2024-01-19T09:00:00,流出,813.33,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_baf21984c35365e6baf1ca24,2024-01-19T09:00:00,流出,728.45,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21b16f257b553fb98d386f71,2024-01-22T15:00:00,流入,93974.21,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7064d0617db4b04de2f68cb7,2024-01-25T09:00:00,流出,2.28,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fdbea967a76974412e941bc8,2024-02-02T09:00:00,流出,76821.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7468efc4d4527ee5b1983e5f,2024-02-03T15:00:00,流入,59226.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_306d59db444700a0a09a971c,2024-02-03T15:00:00,流入,54576.49,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26d692cf507d786a164a96e6,2024-02-04T09:00:00,流出,2671.86,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_51a77180f4239af060282002,2024-02-04T09:00:00,流出,642.63,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
