transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_77cafc359bfa73d4dcea3c57,2024-01-01T09:00:00,流入,11400000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_379368b9110d0df760d16bd3,2024-01-02T09:00:00,流出,725692.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dd501630a10271be4cd62715,2024-01-03T15:00:00,流入,113638.66,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe2322ebca6cb533e1275f4a,2024-01-05T09:00:00,流出,78000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5251e9d3fe2f1b4d55eb494d,2024-01-05T09:00:00,流出,37807.45,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1d9c797ddd7abef0645d8cf3,2024-01-07T09:00:00,流出,19988.33,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c19a2e10c7e95f7a93ec62a7,2024-01-07T09:00:00,流出,330000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aaf158bfe81651f2392777e5,2024-01-07T15:00:00,流入,70506.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_791e7b2d2f4ed74d38e0856a,2024-01-12T09:00:00,流出,30879.81,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f72c98141e8491ce2f65572,2024-01-19T15:00:00,流入,641112.07,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0adefa02ca14640931f07ffc,2024-01-20T09:00:00,流出,1092.79,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eec0c253d4f363371380ec6c,2024-01-20T15:00:00,流入,555142.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bd04a1b5ef684d6632cd2c09,2024-01-26T09:00:00,流出,39.07,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0cffaa44ffe2e2fedfb05d88,2024-02-03T09:00:00,流出,1392602.39,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6e3ef0230e151986c78a302,2024-02-04T09:00:00,流出,360972.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2ec35a3cceb7318342c2bba1,2024-02-04T15:00:00,流入,1956.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6e47dec319e761eb440ebd5,2024-02-05T09:00:00,流出,78000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52698aefb7f18844f09ef9c1,2024-02-06T09:00:00,流出,43560.97,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_560bea4dc32d0a107c7c680d,2024-02-07T09:00:00,流出,330000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ecdb960a85eae75bbfbaadc4,2024-02-07T15:00:00,流入,79093.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b7e68804fe57d021cfecba0,2024-02-08T15:00:00,流入,13202.60,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
