transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_f5fa593eaf19803f9c8919d5,2025-01-01T09:00:00,流入,4024186.83,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_376a4a673d1c9f549c35ec34,2025-01-03T10:05:17,流出,22988.52,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c237302585cb445392252b87,2025-01-06T09:56:44,流出,72484.29,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_16a5115e63bb1ab70bb67864,2025-01-10T14:55:26,流出,60027.78,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38ade856ba93a3d8a7796438,2025-01-13T15:11:05,流出,62122.35,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_94593cb5004866476842615c,2025-01-22T17:24:31,流出,71535.58,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a27892d49f3b43e20d8679d0,2025-01-23T09:40:20,流出,22379.18,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5091c2bd50e8ffbb0e53f0b4,2025-01-23T10:20:47,流出,19984.90,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eafcb4365481ebe3306e4a3d,2025-01-27T16:53:33,流出,21152.65,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef95fd4acc9d3743d03d68ce,2025-02-01T10:57:58,流出,23895.35,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ee49363acac8d2113a5c4cf0,2025-02-01T13:44:16,流出,71153.88,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1297d8afea7245bcaf2ffc8d,2025-02-01T15:16:27,流出,688885.28,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_90cf0eafcd390de62bc05c88,2025-02-02T16:39:12,流入,303198.98,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bffce2deadb73ae122a3f3a6,2025-02-07T16:46:55,流出,20597.32,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5af223d0de2473000f83b7d,2025-02-08T16:57:53,流出,60313.98,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8cc442db9d7cbfbef678f9ce,2025-02-13T16:59:50,流入,376203.28,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c51a1f6f72e626a4c8b5c642,2025-02-15T10:29:23,流出,555881.39,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9d630fd8ed3cefff4573b4a5,2025-02-16T09:18:02,流出,571490.97,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9653d4be3daa59db11d2213,2025-02-17T09:47:52,流出,18771.16,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b511f17968e95f64c354c7d,2025-02-17T16:59:27,流出,71964.16,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb583b12e1aeba92e5682ac6,2025-02-18T13:50:54,流出,23241.42,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a32658dbd2390cbf8649c223,2025-02-20T14:01:42,流出,556848.92,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1eb0c159f5339ae555b8e4ec,2025-02-21T10:13:31,流出,62737.98,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba63a07244e48801809ffd27,2025-02-21T17:33:26,流入,334020.63,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_adab84a7fc50944b3d7c224b,2025-02-24T17:27:04,流入,317427.11,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c8d21ac73501ac90ba63b91,2025-02-28T09:00:00,流出,79212.19,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_193229baab93fa19222864ca,2025-02-28T09:00:00,流出,26617.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e64d7bd951cddb8859357072,2025-02-28T09:00:00,流出,3194.04,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7cb94dc92fa08af1fe5deb90,2025-03-04T17:26:37,流出,19171.55,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_86ff12d618d89dbd18f4d6b2,2025-03-04T17:54:44,流出,74451.32,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8e59ad960aacad8084ca014,2025-03-07T11:56:47,流入,628097.79,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e477a0d10c6c6d2bde1b7a4a,2025-03-12T09:43:27,流出,836502.40,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4867dbdc9833c26cc1c60df,2025-03-13T09:47:56,流出,71310.23,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_04d8d5cbe365d1be23e3a801,2025-03-13T14:03:03,流出,822942.69,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4d0ac24ca77212dc1a4fb0e6,2025-03-13T17:35:29,流出,25819.54,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba789755d41c398e862b99b1,2025-03-14T15:02:37,流入,580573.42,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5f98f7ff0d20ca507f60506,2025-03-16T12:35:38,流出,55710.72,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1321232bdfa0f4c5c25911a,2025-03-18T15:16:00,流出,20656.95,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5ea8534b72405bf5816fe49,2025-03-19T16:17:27,流入,708031.32,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5e1a0f5ad3c4a16f6b21aa3,2025-03-19T17:58:24,流出,64697.73,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4d971f8d40974d54ff21f368,2025-03-26T14:27:27,流出,20857.21,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_306c89ad3134fca9f7c43505,2025-03-28T09:00:00,流出,76217.25,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c5a722dbb45a523cdb6cb04,2025-03-28T09:00:00,流出,26084.66,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0750dc610d17fcd06a125cd5,2025-03-28T09:00:00,流出,3130.15,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34493cfdd3b5613de9b27ac4,2025-03-28T16:35:56,流出,964663.46,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00e7612af358cc71dd4151fe,2025-03-29T16:52:55,流出,868958.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_261060f008c07ec534147eb3,2025-03-31T12:43:25,流入,718380.47,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ae1e4b9d6553f4bcbc88502,2025-04-01T15:06:36,流出,17920.04,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ddce30986fa19d11c4a9b3a,2025-04-03T11:59:00,流入,960950.97,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b93f568e2bf4f9f7b1b61c73,2025-04-03T12:00:44,流出,17635.77,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6da3c712c2d6fa03022b0ec6,2025-04-03T16:37:24,流出,590955.26,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_303d137ccecf17f79f931000,2025-04-06T14:43:22,流出,25512.13,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ee04e7ba02f86cd7515ec81,2025-04-09T12:07:14,流出,597435.51,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_49ea43bafb59fffa20365f58,2025-04-09T12:53:03,流出,25437.31,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3f2d6b8d73abcafda8afcb5a,2025-04-14T17:45:09,流出,56110.79,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_07571c97b1be02a3a05d4ac3,2025-04-17T16:23:34,流入,1150490.82,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f696ff67f583ce8426ed5d8,2025-04-18T10:06:39,流出,64340.13,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52e3659ee162c487bbcc7f43,2025-04-18T10:07:37,流入,841785.82,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_941fb5067a3e5ffe610051ad,2025-04-20T10:52:22,流出,590955.26,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad399d0c48d58c61f7500379,2025-04-23T14:03:35,流出,71409.16,工资发放,仅供人工查看；不得作为模型输入或导入数据库
