calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,514622.77,29184.74,3,485438.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_e293a1042e25d96144814bd2,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,485438.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,485438.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,0.00,18753.17,2,466684.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_a611fcf6ebbca964f9cf1e40,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,466684.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,9733.48,1,456951.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_b6da0c5b2882622d0e237b07,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,0.00,0,456951.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,293171.04,30122.10,2,720000.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_6bea2ec964cece9bcb12d357,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,198313.30,1,521687.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_2637a6a9ab82bde996571df7,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,0.00,0,521687.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-11,complete
2025-01-11,0.00,212149.49,3,309537.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_7616edc14a6ef1487e038ccd,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-13,complete
2025-01-12,0.00,0.00,0,309537.53,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,8745.62,1,300791.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_cf71b2f0a40b9b608e981d23,trusted,weekday_rule,base_calendar,True,11,2025-01-14,complete
2025-01-14,0.00,246211.91,2,54580.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_1edf6f2eaf33944e77ae2bd1,trusted,weekday_rule,base_calendar,True,12,2025-01-15,complete
2025-01-15,0.00,0.00,0,54580.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-16,complete
2025-01-16,331428.93,0.00,1,386008.93,last_posted_transaction_or_prior_closing_balance,synb1_txn_75bc2b80f93e0fe132b02c67,trusted,weekday_rule,base_calendar,True,14,2025-01-17,complete
2025-01-17,0.00,0.00,0,386008.93,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-18,complete
2025-01-18,0.00,182535.42,1,203473.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_dd91a0e48f66722dc8143627,trusted,historical_transaction_override,historical_transaction_override,True,16,2025-01-20,complete
2025-01-19,0.00,0.00,0,203473.51,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,203473.51,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-21,complete
2025-01-21,0.00,0.00,0,203473.51,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-22,complete
2025-01-22,0.00,0.00,0,203473.51,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-23,complete
2025-01-23,287630.96,0.00,1,491104.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_678cfc4b21374f3838bc939a,trusted,weekday_rule,base_calendar,True,20,2025-01-24,complete
2025-01-24,0.00,0.00,0,491104.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-25,complete
2025-01-25,0.00,7802.75,1,483301.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_baca0eb08135cc404d4fd147,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-01-26,complete
2025-01-26,0.00,0.00,0,483301.72,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,23,2025-01-27,complete
2025-01-27,0.00,0.00,0,483301.72,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,24,2025-01-28,complete
2025-01-28,0.00,12796.54,1,470505.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_991a0567e846f937a89265fd,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-01-30,complete
2025-01-29,0.00,0.00,0,470505.18,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,0.00,23124.16,1,447381.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_479b1e44128748f3e32c43ae,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-01,complete
2025-01-31,0.00,0.00,0,447381.02,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,11654.76,1,435726.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_cc7c278a27827b2310dd56e8,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-02-02,complete
2025-02-02,0.00,323832.89,2,111893.37,last_posted_transaction_or_prior_closing_balance,synb1_txn_1ca5c1d6b1c65eabae80bc57,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-03,complete
2025-02-03,1637400.00,0.00,1,1749293.37,last_posted_transaction_or_prior_closing_balance,synb1_txn_d26962faed5aceede03ed4cb,trusted,historical_transaction_override,historical_transaction_override,True,29,2025-02-04,complete
2025-02-04,0.00,34920.16,2,1714373.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_5c1743d93bfc460da08a6efd,trusted,historical_transaction_override,historical_transaction_override,True,30,2025-02-05,complete
