transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_a79262392456eaa847e9a81d,2025-01-01T09:00:00,流入,150336.66,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26b7fa9120073b6a379bf959,2025-01-01T10:04:36,流出,29184.74,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e293a1042e25d96144814bd2,2025-01-01T11:18:28,流入,364286.11,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_40f904d76f7cb49bf93d2be7,2025-01-04T10:19:52,流出,10964.10,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a611fcf6ebbca964f9cf1e40,2025-01-04T10:42:01,流出,7789.07,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b6da0c5b2882622d0e237b07,2025-01-06T10:33:10,流出,9733.48,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fd7595ad0f45485ceb5382a,2025-01-08T11:01:30,流出,30122.10,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6bea2ec964cece9bcb12d357,2025-01-08T16:27:42,流入,293171.04,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2637a6a9ab82bde996571df7,2025-01-09T09:44:13,流出,198313.30,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95bff794292632b0dc1cd7f5,2025-01-11T10:16:22,流出,26729.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_411739e083b201e93612c8c3,2025-01-11T12:48:17,流出,8410.56,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7616edc14a6ef1487e038ccd,2025-01-11T16:20:13,流出,177009.93,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf71b2f0a40b9b608e981d23,2025-01-13T16:40:19,流出,8745.62,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd8fe8c2de6fdce91eb4dd73,2025-01-14T09:33:26,流出,236042.03,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1edf6f2eaf33944e77ae2bd1,2025-01-14T14:46:33,流出,10169.88,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_75bc2b80f93e0fe132b02c67,2025-01-16T11:32:36,流入,331428.93,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dd91a0e48f66722dc8143627,2025-01-18T12:39:15,流出,182535.42,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_678cfc4b21374f3838bc939a,2025-01-23T09:20:58,流入,287630.96,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_baca0eb08135cc404d4fd147,2025-01-25T17:59:45,流出,7802.75,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_991a0567e846f937a89265fd,2025-01-28T14:38:42,流出,12796.54,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_479b1e44128748f3e32c43ae,2025-01-30T10:22:52,流出,23124.16,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cc7c278a27827b2310dd56e8,2025-02-01T12:44:55,流出,11654.76,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c0dbfcb78a7df59148446264,2025-02-02T14:30:23,流出,313003.67,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1ca5c1d6b1c65eabae80bc57,2025-02-02T15:42:53,流出,10829.22,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d26962faed5aceede03ed4cb,2025-02-03T09:00:00,流入,1637400.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2c4f619630dc4e637c75b1aa,2025-02-04T11:31:33,流出,24558.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c1743d93bfc460da08a6efd,2025-02-04T16:23:19,流出,10362.16,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1dd195bd8c858ba4bfc2f406,2025-02-05T10:53:08,流出,305879.78,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_faac24a745fe42d5d9de4d27,2025-02-10T16:39:25,流入,210269.97,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_521281d14f89b9340e0df675,2025-02-12T16:33:47,流出,300338.97,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c0af8bb38b4170f323b3801,2025-02-13T14:58:42,流出,307634.95,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_107e3341824fafedea01cc81,2025-02-13T15:35:44,流出,8844.07,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d19c6104b7aa9fbaf72c1b9,2025-02-15T14:33:27,流出,9238.86,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8bd97f5923620428f5d80654,2025-02-15T15:26:13,流入,184410.24,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f0c45e763f2217910627e70d,2025-02-16T15:37:07,流出,10817.86,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d2c4403fd145f757900032e9,2025-02-18T11:37:14,流出,7841.98,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_35fbcb660227d8fc61614e42,2025-02-20T14:37:39,流出,6823.09,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_44501e2d083559db36715f13,2025-02-21T16:45:54,流入,178840.45,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2b94a03e03722b710acef1c2,2025-02-23T17:18:06,流出,30601.58,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f0de5721cbb7e6c8e2df04e,2025-02-25T10:50:08,流入,242348.60,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5f7185db9b6d0f4286602e86,2025-02-25T15:00:08,流出,23276.27,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_df4244ee542ff5ce844987a6,2025-02-27T15:36:07,流出,30724.15,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f3109778904a1603daeec93e,2025-03-01T11:40:57,流出,31206.74,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_77682ddb196ff3a84ddcfd9d,2025-03-03T09:00:00,流出,3768.26,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2712d7f08b3a0b01c1a3fe9,2025-03-03T10:07:21,流出,180316.82,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_96656b5ef1bcd4843d0ed371,2025-03-03T15:03:36,流出,11611.32,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3574ca6bf039177ff62558da,2025-03-04T15:08:16,流出,183342.49,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25b50cfbf210ee4d07e5dbe2,2025-03-09T09:38:57,流出,8542.47,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d10652579b0ee9716971366,2025-03-10T16:42:09,流出,26376.57,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f0bd9a5df24483525b560042,2025-03-12T10:53:41,流出,10630.43,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7628f9a95f47e4debd4b8f63,2025-03-12T11:57:59,流出,27107.90,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f7cfeb80d1cfa4b33bbb11a,2025-03-12T15:25:30,流出,11110.40,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_994a0e8a781a644f508b2135,2025-03-13T10:46:10,流出,8075.77,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39caebd9f190a085c6353299,2025-03-13T16:01:43,流出,8234.35,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa1b083b40dfc20cd84265a9,2025-03-19T11:22:58,流入,512295.82,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63ceabc4f9ebd54d7c2efc1a,2025-03-20T09:12:16,流出,24468.79,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ce37aa98c9be4a793fdd7d86,2025-03-23T10:51:46,流出,7895.41,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b45dd0201877c7b95ad4f460,2025-03-25T11:20:37,流出,222587.26,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8e3eae59d9ae6f9bd7a2b93,2025-03-25T12:10:23,流出,10311.85,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db26d9d4f741211957813372,2025-03-25T17:16:40,流出,251998.60,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c242315e4f309ab14910230,2025-03-26T12:27:54,流入,403442.03,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae527adc7583dde2dc30f327,2025-03-28T14:23:07,流入,493983.96,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a670d1cc933eea9bc60c3caf,2025-03-29T10:31:07,流入,519562.42,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b1ebaa21344e6c808cd57da,2025-04-03T09:00:00,流出,4172.01,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ac962b112b15c7f83d384e6,2025-04-03T17:34:58,流出,11971.46,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_036f8710242157127aab8daa,2025-04-05T09:15:59,流出,12046.83,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8b411c1f5b04958a29d3adda,2025-04-12T10:04:09,流出,195100.65,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_72ee8cfcb787ed125a7915a8,2025-04-12T11:22:48,流出,28264.28,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c1f6d13e59fe835988d2a916,2025-04-14T11:42:56,流出,7870.94,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2f69458b46c3f221d92181e,2025-04-15T09:00:30,流出,7627.48,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4556674f1b9e50785f19f7e9,2025-04-16T13:13:47,流出,29189.62,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a06fc34d31263f4cfe109b1f,2025-04-17T09:11:55,流入,329838.04,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f10deffe2bdf1f770c3135e,2025-04-17T16:55:01,流出,10429.49,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26c1afe4e7e2e6b3501927f7,2025-04-20T09:04:03,流出,9216.22,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8957d244199e576c5da3dd9,2025-04-20T14:30:42,流出,249775.20,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_824c70d92f70c0d1624ce5fb,2025-04-20T16:25:25,流出,231295.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42253de69632a43a791da406,2025-04-21T12:59:13,流入,320780.51,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bbaaf1413fee79c9caf957a5,2025-04-23T14:02:29,流出,191929.52,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5f4d792ea06aed86500f53da,2025-04-26T10:06:24,流入,291392.01,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_17d153061e359f12022ff03d,2025-04-26T12:37:39,流出,29795.78,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f42d8b12100f395937c7e12d,2025-04-27T16:28:39,流出,9048.45,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_750cae43ada3705dcab0731c,2025-04-27T17:02:44,流入,310144.15,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_82dbeaccc339cbc61eedecb1,2025-04-28T09:00:00,流出,158400.70,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_87e02841ac16c5aea7a20acd,2025-04-28T09:00:00,流出,40216.70,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26ec0d572ae25620d905a15c,2025-04-28T09:00:00,流出,4825.99,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53107654cf4818a3cf453430,2025-04-29T13:13:11,流出,21910.32,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d812fc54a1165ed1699942ef,2025-04-30T14:03:05,流出,8201.13,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6fa929c5e194a2a9fff08b2,2025-05-01T12:50:13,流出,11772.59,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_457160f0791c58bc56b5e197,2025-05-02T15:42:46,流出,25389.05,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff4207cdc4777ed55aabbb09,2025-05-03T09:00:00,流出,4037.42,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2fe7381d5fc7c11cf1fa3640,2025-05-04T12:40:02,流出,26343.58,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63993a474367d28f5d45a79a,2025-05-05T15:46:21,流出,8677.83,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf62abab5129bda36fcf2a91,2025-05-06T15:06:52,流出,10011.03,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_757128e00c98ac88192663bd,2025-05-09T09:43:37,流出,26030.79,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db92c1edb28f74f0f41e4982,2025-05-14T12:14:04,流入,244684.05,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1253e6a7502728cf8b90fc25,2025-05-14T17:45:08,流入,306279.50,销售回款,仅供人工查看；不得作为模型输入或导入数据库
