transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_dc46c8f78b3e427acc45ab44,2025-01-01T09:00:00,流入,1936316.14,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_470345f3d5104add8f53cdb3,2025-01-13T11:17:19,流出,61490.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_295395e1cbd03a7a1ae0a018,2025-01-14T12:44:36,流出,2459.60,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b31485871508fd3e05e621d3,2025-01-16T15:59:53,流出,24596.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c35754ac5e2de19e95fdd941,2025-02-04T15:32:36,流入,468984.23,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4aa857c47671cb32c9b93c65,2025-02-12T10:59:23,流出,24596.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_763d13defe327953a68a7a7a,2025-02-14T09:44:09,流出,61490.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1d3124881cf8386c3849b580,2025-02-17T13:38:12,流出,2459.60,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bd1a5c0d3c05abd3be4ae2a5,2025-03-12T09:19:49,流出,24596.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_33e728db4df3b1b6581ae80f,2025-03-15T16:29:18,流出,61490.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fcba32519303485810d7243b,2025-03-22T10:27:36,流出,1161126.13,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28d04b57ce91d4a70215aac2,2025-03-24T10:37:16,流入,520889.16,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7a6896c673497382a2535dca,2025-03-25T10:54:05,流出,2459.60,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f8752c3209665315e35599db,2025-04-01T17:29:13,流出,2459.60,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b9383dc6c9256efb3c96bafb,2025-04-03T09:44:46,流入,570292.69,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bc32a297afe8ea4b6929e0de,2025-04-04T15:42:25,流出,24596.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3241cc57b261a76c627331ae,2025-04-19T11:40:46,流出,61490.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_62dd859712ccd12b101c65a5,2025-04-28T09:00:00,流出,15601.65,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b5778ab93f0bef2a19036012,2025-04-28T09:00:00,流出,1872.19,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7e055e4dd384e5de0334a54,2025-04-28T15:03:05,流出,822632.27,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
