transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_c439157cc00b83ca6c706fcf,2024-01-01T09:00:00,流入,1800000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_202c64e67fe3b0185036c227,2024-01-02T09:00:00,流出,947.43,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_115819781959adcf027cc94a,2024-01-03T09:00:00,流出,1189.19,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ee1fac3afbb74261eb9e810,2024-01-03T09:00:00,流出,35762.05,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bdbc359523c9ee1b3d64165d,2024-01-03T09:00:00,流出,33320.78,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69bf6eea777a47fc05e12134,2024-01-05T09:00:00,流出,7500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_664a7c2759ca436139a2becf,2024-01-07T09:00:00,流出,30000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb76c95cf6894f35c09a5658,2024-01-07T09:00:00,流出,65667.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c4f7e38065e9492b78c7eac1,2024-01-10T15:00:00,流入,12269.27,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0058aa69f8318a11e7b5a089,2024-01-11T09:00:00,流出,745.83,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e32be9a2baa7792e2cf7fa08,2024-01-12T15:00:00,流入,7576.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e4bca5816326e59bda67594,2024-01-15T09:00:00,流出,277.27,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21e3fdd2da2d95be5d4b9481,2024-01-17T15:00:00,流入,28243.01,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb3a22be3953ae9c959166ef,2024-01-22T09:00:00,流出,22749.31,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_727e2a50cf23996abd5ba763,2024-01-23T09:00:00,流出,2840.28,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_324f60ab49029c237051b542,2024-01-23T15:00:00,流入,485.58,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ebdb063febffd03173875876,2024-01-25T15:00:00,流入,28594.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_49d7cb2af3fc1e96f8ff37fd,2024-01-27T15:00:00,流入,65830.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f2dace1fa770054be056d3c3,2024-02-03T09:00:00,流出,522.18,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2d0d43f4ce7cabd797891ef9,2024-02-04T15:00:00,流入,37265.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e9c4e249462cece9604ddfb,2024-02-04T15:00:00,流入,68830.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e2e704cae202d1ece5c474cd,2024-02-05T09:00:00,流出,5477.82,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a0dbdafbf6bda0fb4cada1b,2024-02-05T09:00:00,流出,7500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed76e459b3436423fe76a516,2024-02-05T15:00:00,流入,158.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d8eca93254f9a1277a0e981,2024-02-05T15:00:00,流入,13259.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0377fc6aba99f53fc5765330,2024-02-07T09:00:00,流出,30000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ebde615e68a712b86ad1d670,2024-02-10T09:00:00,流出,53885.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf7a8bc9d47b7d59a9c1bdc8,2024-02-13T09:00:00,流出,13280.34,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_838691eedd89ffeb603f6be0,2024-02-13T15:00:00,流入,51525.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_62470b2a9dd40b48ca41772b,2024-02-15T09:00:00,流出,10103.26,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_22973b051dcc01ec9849f2d1,2024-02-17T09:00:00,流出,2209.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3f72b9c94c36f25c21580ba8,2024-02-18T09:00:00,流出,1807.20,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_172ed932f4b99c8e235b22d4,2024-02-18T09:00:00,流出,2200.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fdad9bb4922e00f062e58a95,2024-02-18T09:00:00,流出,264.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7fef254af4b459668d813d7b,2024-02-18T09:00:00,流出,33625.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5507478d7b6b59759ece2c5e,2024-02-19T09:00:00,流出,23789.96,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa9e8fc57ff8370924f18e24,2024-02-21T15:00:00,流入,19871.81,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_050b16046d0c8e37bfb48f41,2024-02-22T09:00:00,流出,1301.26,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ec6fcbeba516c8e4d68429c7,2024-02-24T15:00:00,流入,1963.56,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae1fa1a3affe83c45151a2e6,2024-02-24T15:00:00,流入,931.27,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d505e87d20687b7d47fa7b4,2024-02-24T15:00:00,流入,3144.48,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4a8cdcaa2c336c3f4a336245,2024-02-25T15:00:00,流入,3549.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ad9a46025cf9fbaca28aa12,2024-02-26T09:00:00,流出,40000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48c3108fd2eb042389759b64,2024-02-27T09:00:00,流出,29054.07,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0a8797bd765bcacd303cfe60,2024-03-03T09:00:00,流出,2417.30,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_16e6425d0cc6f84ba36589ce,2024-03-03T09:00:00,流出,55839.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_775b8e62a707b9cca647d9a2,2024-03-04T09:00:00,流出,60073.66,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ac5cc44bea135bc8821ea31,2024-03-04T15:00:00,流入,16398.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1aeb052e96e5988344f3d2b,2024-03-04T15:00:00,流入,641.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9d3a7efd7bb12f7680350bf,2024-03-05T09:00:00,流出,7500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25d15a4e275253007d1f9fab,2024-03-07T09:00:00,流出,1080.61,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_957429ee03427824d7321bfa,2024-03-07T09:00:00,流出,30000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d533d06b41cff97313f0c8d3,2024-03-08T15:00:00,流入,3519.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58522766e126d53aa8ab30bb,2024-03-09T15:00:00,流入,863.41,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c114f84fe478429e82654bd1,2024-03-10T15:00:00,流入,4981.36,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_571bf22b042405d0ffccfc30,2024-03-10T15:00:00,流入,1655.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_541f7b8ce3633a7d5e8299ab,2024-03-11T09:00:00,流出,411.67,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd1c82186fed38acfa8751c7,2024-03-15T09:00:00,流出,10086.97,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d2fb70532bb16b97f9029fb7,2024-03-15T15:00:00,流入,27629.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_82e7dbb47eb2ae95c667fa9d,2024-03-16T09:00:00,流出,60.80,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aef50f651f3dcf95e631669f,2024-03-17T15:00:00,流入,691.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ad29e9fde0b04e026a83d3e,2024-03-18T09:00:00,流出,374.40,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f6a2f2727ad8ac83dcdc7c9,2024-03-18T09:00:00,流出,1900.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_43a8507f0c1eb03002f1e704,2024-03-18T09:00:00,流出,228.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad7fc47ef93630305814de25,2024-03-19T09:00:00,流出,4080.32,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fd5eacb14ef4aa59826e976c,2024-03-20T09:00:00,流出,30000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b568b0601ed761277eda0f2e,2024-03-22T09:00:00,流出,23134.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_75f4f91ec6a1722b92141f52,2024-03-23T09:00:00,流出,15535.39,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7e736a1087e8e7ec9f508aaf,2024-03-24T15:00:00,流入,96950.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bc367effed2bd43acfdf3730,2024-03-25T15:00:00,流入,12416.83,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_684090a7a8fcf9815f5f2476,2024-03-26T15:00:00,流入,56752.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_efbac6a1827c21dfe2d10587,2024-03-28T09:00:00,流出,2029.62,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ccef724ffe4d7202f71d761,2024-04-03T09:00:00,流出,6347.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a650b6f4527c0d5351594c27,2024-04-03T09:00:00,流出,34242.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_071e1f35fd0238480f6952ce,2024-04-03T15:00:00,流入,28553.66,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af7aa786fa4c02efa65318c9,2024-04-05T09:00:00,流出,7500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a581959dac4bd30225a7aeda,2024-04-07T09:00:00,流出,30000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5440c20bed911ff96da662a5,2024-04-07T15:00:00,流入,19695.99,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7cac61fe81fc8c43d1e790dd,2024-04-08T15:00:00,流入,2857.41,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_441b4ce3e70af9661751845c,2024-04-08T15:00:00,流入,18716.78,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_149a9a15ff99c6af4e0ebe11,2024-04-09T15:00:00,流入,3843.23,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b1c4b37e7a1d9a19f57c50c9,2024-04-09T15:00:00,流入,8561.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2235be93bedc0515a7a6420d,2024-04-10T09:00:00,流出,914.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e1924601d4ed8bfb7d503c8f,2024-04-10T09:00:00,流出,177.64,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0d92b87bd4a720eb3dd2a470,2024-04-12T15:00:00,流入,12623.50,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bee15d5004fab5fb24068d48,2024-04-13T15:00:00,流入,18751.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d584b80521e6dec4257831f8,2024-04-13T15:00:00,流入,41415.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f4eec52aef6f95bf77bb61ed,2024-04-14T09:00:00,流出,1413.24,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
