transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_36db79c18374a16b83278f14,2024-01-01T09:00:00,0.00,3250000.00,3250000.00
synb1_txn_746f5c5f50294389e1777e7a,2024-01-05T09:00:00,26000.00,0.00,3224000.00
synb1_txn_c8924b86799415dab2b906ab,2024-01-07T09:00:00,115000.00,0.00,3109000.00
synb1_txn_0ca67019e7c32bb77cdfe8cf,2024-01-09T15:00:00,0.00,80668.50,3189668.50
synb1_txn_4814363ad2ebc4e29e711106,2024-01-12T09:00:00,510927.26,0.00,2678741.24
synb1_txn_6cfd5f7147456a03d45ca0b6,2024-01-16T09:00:00,9379.27,0.00,2669361.97
synb1_txn_3b0ec4c2a70e520fc6775b34,2024-01-17T09:00:00,7620.73,0.00,2661741.24
synb1_txn_c79e3171c67a0a98da9fee0a,2024-01-20T15:00:00,0.00,283764.76,2945506.00
synb1_txn_de1d7a7c4049e4516e65e27b,2024-01-23T15:00:00,0.00,16011.15,2961517.15
synb1_txn_02a770a09ac5a248eadf24ff,2024-01-27T09:00:00,74832.74,0.00,2886684.41
synb1_txn_c599325c2dd0330b832ae9a0,2024-01-27T15:00:00,0.00,111555.59,2998240.00
synb1_txn_add6306de8e437efbef51dcc,2024-02-02T15:00:00,0.00,16820.69,3015060.69
synb1_txn_412bea01cb375597ac5e3e45,2024-02-03T09:00:00,372610.15,0.00,2642450.54
synb1_txn_01986503471655edf7ec3630,2024-02-05T09:00:00,26000.00,0.00,2616450.54
synb1_txn_4fafd8fe2323816bf5bf036a,2024-02-07T09:00:00,115000.00,0.00,2501450.54
synb1_txn_9275646f8a249e4951e6cc01,2024-02-08T15:00:00,0.00,257423.81,2758874.35
synb1_txn_aa843a1803abe74c5e9fbc7b,2024-02-09T15:00:00,0.00,79383.50,2838257.85
synb1_txn_b5e53c627112c7fea05b3059,2024-02-11T09:00:00,6497.43,0.00,2831760.42
synb1_txn_8a97082d22f1aca161fc4b94,2024-02-11T09:00:00,735.80,0.00,2831024.62
synb1_txn_15a48ca530f81fe7aaa27f9f,2024-02-12T09:00:00,40253.77,0.00,2790770.85
synb1_txn_8285c59a2b491ecab50e3e7c,2024-02-13T15:00:00,0.00,14958.68,2805729.53
synb1_txn_e6884887f6c434fdc7d82302,2024-02-15T09:00:00,40548.27,0.00,2765181.26
synb1_txn_a204ae6a20a4dbed3a627e06,2024-02-17T15:00:00,0.00,72611.43,2837792.69
synb1_txn_6e6acf9f3abc26eddf18f059,2024-02-18T09:00:00,9203.20,0.00,2828589.49
synb1_txn_4126dedb1bc249e51e188234,2024-02-18T09:00:00,8200.00,0.00,2820389.49
synb1_txn_f7cb7f7e9f60ddc59602a656,2024-02-18T09:00:00,984.00,0.00,2819405.49
synb1_txn_b325f84d3c62ff929b00eff4,2024-02-18T09:00:00,108.04,0.00,2819297.45
synb1_txn_f9cb6b0176d420c31e175b55,2024-02-19T09:00:00,10346.71,0.00,2808950.74
synb1_txn_a5c196953dee3f44e527c23d,2024-02-20T09:00:00,34713.80,0.00,2774236.94
synb1_txn_ab16d6849d2e1300aa7b9ae5,2024-02-20T09:00:00,102778.99,0.00,2671457.95
synb1_txn_80e1181df4150ab6647062cc,2024-02-21T09:00:00,1002.80,0.00,2670455.15
synb1_txn_39491a1f16f3431f39c08f07,2024-02-22T15:00:00,0.00,121578.89,2792034.04
synb1_txn_3c77d0aea60a4083b6f729cb,2024-02-22T15:00:00,0.00,193755.50,2985789.54
synb1_txn_afe3537958359f75243cfc08,2024-02-23T09:00:00,300000.00,0.00,2685789.54
synb1_txn_5d3ffafe0f8ab3f8a4aed75d,2024-02-23T09:00:00,8655.93,0.00,2677133.61
synb1_txn_bbecbfbdfaa2e2c1e1a34ca5,2024-02-24T09:00:00,22398.46,0.00,2654735.15
synb1_txn_3aefffabd7ec68085bcd75e5,2024-02-24T15:00:00,0.00,39467.50,2694202.65
synb1_txn_9e9de742b67cfa81872dd3cc,2024-02-27T09:00:00,31429.85,0.00,2662772.80
synb1_txn_1352b7f7c7a4d3e0169138cd,2024-03-03T09:00:00,109432.25,0.00,2553340.55
synb1_txn_a617e7f1c9683b08b6cff5e0,2024-03-04T09:00:00,100097.97,0.00,2453242.58
synb1_txn_586d640dee137f263890a95c,2024-03-05T09:00:00,26000.00,0.00,2427242.58
synb1_txn_4210f1993d76193787ff7051,2024-03-05T09:00:00,179387.13,0.00,2247855.45
synb1_txn_0891867a2a0e877a22b76b91,2024-03-06T09:00:00,30420.85,0.00,2217434.60
synb1_txn_1623dd8397c44e8dd34e106d,2024-03-07T09:00:00,488.96,0.00,2216945.64
synb1_txn_3db0aff48a417c2c7fe3682c,2024-03-07T09:00:00,115000.00,0.00,2101945.64
synb1_txn_ee4e5bae505cd0710f6a7a98,2024-03-09T15:00:00,0.00,155385.06,2257330.70
synb1_txn_432e18a46c3ca3f6d80d6711,2024-03-11T09:00:00,13945.29,0.00,2243385.41
synb1_txn_e24ee65fa45e392106dd961d,2024-03-14T09:00:00,126239.77,0.00,2117145.64
synb1_txn_748892db7b55480ccbe40d3a,2024-03-17T15:00:00,0.00,346175.79,2463321.43
