calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,96560149.03,0.00,1,96560149.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_9be1911ba0e1c97821cbd5aa,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,96560149.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,96560149.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,96560149.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,96560149.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,97122.97,1,96463026.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_aeb6d71e7bf0888146f3d88a,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,0.00,0,96463026.06,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,96463026.06,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,96303.66,1,96366722.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_4d4c68ef7dd3aa1b68ec645f,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,96366722.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-18,complete
2025-01-18,0.00,2074800.00,1,94291922.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_63125f09b9e88e5de427817b,trusted,historical_transaction_override,historical_transaction_override,True,14,2025-01-20,complete
2025-01-19,0.00,0.00,0,94291922.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,94291922.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,94291922.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,0.00,0,94291922.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,94291922.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,0.00,0,94291922.40,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-25,complete
2025-01-25,0.00,298706.90,1,93993215.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_235f911ae02c827b72e4f01b,trusted,historical_transaction_override,historical_transaction_override,True,20,2025-01-26,complete
2025-01-26,0.00,76831.99,1,93916383.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_0ae9aa948f22c1a4d7cbb3a2,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,21,2025-01-27,complete
2025-01-27,0.00,0.00,0,93916383.51,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,22,2025-02-02,complete
2025-01-28,0.00,0.00,0,93916383.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,0.00,0,93916383.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,0.00,0.00,0,93916383.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,0.00,0.00,0,93916383.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,0.00,0,93916383.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,103717.49,1,93812666.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_f1cc72ce7ed482bca0172739,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-02-03,complete
2025-02-03,20482759.00,0.00,1,114295425.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_064b5e49207ea6690c5ed2ce,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-02-05,complete
2025-02-04,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2025-02-06,complete
2025-02-06,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-02-07,complete
2025-02-07,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2025-02-08,complete
2025-02-08,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,28,2025-02-10,complete
2025-02-09,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-11,complete
2025-02-11,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2025-02-12,complete
2025-02-12,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-13,complete
2025-02-13,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2025-02-14,complete
2025-02-14,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-17,complete
2025-02-15,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-16,0.00,0.00,0,114295425.02,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-17,0.00,298706.90,1,113996718.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_ce1385d9e39eae074d1411aa,trusted,weekday_rule,base_calendar,True,34,2025-02-18,complete
2025-02-18,0.00,0.00,0,113996718.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-19,complete
2025-02-19,0.00,0.00,0,113996718.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2025-02-20,complete
2025-02-20,0.00,82253.45,1,113914464.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_712217362b2ea026f0fb157e,trusted,weekday_rule,base_calendar,True,37,2025-02-21,complete
2025-02-21,0.00,0.00,0,113914464.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-22,complete
2025-02-22,0.00,2074800.00,1,111839664.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_df8691d177478d1a9a85736e,trusted,historical_transaction_override,historical_transaction_override,True,39,2025-02-24,complete
2025-02-23,0.00,0.00,0,111839664.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-24,0.00,0.00,0,111839664.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,40,2025-02-25,complete
2025-02-25,0.00,0.00,0,111839664.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,41,2025-02-26,complete
2025-02-26,0.00,0.00,0,111839664.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2025-02-27,complete
2025-02-27,0.00,0.00,0,111839664.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,43,2025-02-28,complete
2025-02-28,0.00,84287.68,1,111755376.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_8026671aa34a7f61d883774c,trusted,weekday_rule,base_calendar,True,44,2025-03-03,complete
2025-03-01,0.00,0.00,0,111755376.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-02,0.00,0.00,0,111755376.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-03,12801724.20,75421.45,2,124481679.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_8f918dc816b2f5487cc0430b,trusted,weekday_rule,base_calendar,True,45,2025-03-04,complete
2025-03-04,0.00,0.00,0,124481679.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,46,2025-03-05,complete
2025-03-05,0.00,87452.61,1,124394227.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_e6b6e02537101f83f5f5a85f,trusted,weekday_rule,base_calendar,True,47,2025-03-06,complete
2025-03-06,0.00,0.00,0,124394227.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,48,2025-03-07,complete
2025-03-07,0.00,0.00,0,124394227.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,49,2025-03-10,complete
2025-03-08,0.00,0.00,0,124394227.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-09,0.00,0.00,0,124394227.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-10,0.00,0.00,0,124394227.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,50,2025-03-11,complete
2025-03-11,0.00,0.00,0,124394227.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,51,2025-03-12,complete
2025-03-12,0.00,298706.90,1,124095520.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_78fb6d27d3edc3194a6e99c3,trusted,weekday_rule,base_calendar,True,52,2025-03-13,complete
2025-03-13,0.00,0.00,0,124095520.23,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2025-03-14,complete
