calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_0ba8d649a8bbff703e14aca2,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,25444.07,0.00,1,3625444.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_cf85d2811a4f87f0c81b5805,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,0.00,88412.83,2,3537031.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_2507617f861c8c8ce75b9a0b,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,3537031.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,16284.20,0.00,1,3553315.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_46002c64569b1e9ca99d890c,trusted,weekday_rule,base_calendar,True,5,2024-01-06,complete
2024-01-06,15266.45,0.00,1,3568581.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_8393f893868a1105d39cd303,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-07,complete
2024-01-07,0.00,124592.12,1,3443989.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_ff665b943c4e3c2a07d6a138,trusted,historical_transaction_override,historical_transaction_override,True,7,2024-01-08,complete
2024-01-08,0.00,0.00,0,3443989.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-09,complete
2024-01-09,52172.23,0.00,2,3496162.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_0144ac02c298409fc84b2d1a,trusted,weekday_rule,base_calendar,True,9,2024-01-10,complete
2024-01-10,0.00,0.00,0,3496162.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2024-01-11,complete
2024-01-11,0.00,0.00,0,3496162.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2024-01-12,complete
2024-01-12,0.00,0.00,0,3496162.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2024-01-13,complete
2024-01-13,29727.77,0.00,1,3525889.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_336100c2cc28e8949e99b8d0,trusted,historical_transaction_override,historical_transaction_override,True,13,2024-01-15,complete
2024-01-14,0.00,0.00,0,3525889.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-15,0.00,0.00,0,3525889.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2024-01-16,complete
2024-01-16,0.00,0.00,0,3525889.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2024-01-17,complete
2024-01-17,0.00,0.00,0,3525889.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2024-01-18,complete
2024-01-18,0.00,0.00,0,3525889.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2024-01-19,complete
2024-01-19,0.00,87403.59,1,3438486.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_0a679ca8cec0a852a9caf030,trusted,weekday_rule,base_calendar,True,18,2024-01-21,complete
2024-01-20,0.00,0.00,0,3438486.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-21,23458.64,0.00,1,3461944.82,last_posted_transaction_or_prior_closing_balance,synb1_txn_439b553ca152503b4dfb1163,trusted,historical_transaction_override,historical_transaction_override,True,19,2024-01-22,complete
2024-01-22,19583.64,0.00,1,3481528.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_b589389e7bc29a902e8777bb,trusted,weekday_rule,base_calendar,True,20,2024-01-23,complete
2024-01-23,0.00,0.00,0,3481528.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2024-01-24,complete
2024-01-24,0.00,0.00,0,3481528.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,22,2024-01-25,complete
2024-01-25,24436.09,124811.65,3,3381152.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_812cb4f4f5e3c0f4a2a2a5d9,trusted,weekday_rule,base_calendar,True,23,2024-01-26,complete
2024-01-26,18732.18,0.00,1,3399885.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_e56744060c2d60408c11d571,trusted,weekday_rule,base_calendar,True,24,2024-01-27,complete
2024-01-27,22807.01,0.00,1,3422692.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_126741324a7c2d45ba8dd705,trusted,historical_transaction_override,historical_transaction_override,True,25,2024-01-29,complete
2024-01-28,0.00,0.00,0,3422692.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-29,0.00,0.00,0,3422692.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2024-01-30,complete
2024-01-30,0.00,0.00,0,3422692.09,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2024-01-31,complete
2024-01-31,25087.72,0.00,1,3447779.81,last_posted_transaction_or_prior_closing_balance,synb1_txn_4aa768633822a7421635d721,trusted,weekday_rule,base_calendar,True,28,2024-02-01,complete
2024-02-01,0.00,0.00,0,3447779.81,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2024-02-02,complete
2024-02-02,0.00,0.00,0,3447779.81,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2024-02-03,complete
2024-02-03,0.00,28412.83,1,3419366.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_1ccb8f480d80391d38e8d48c,trusted,historical_transaction_override,historical_transaction_override,True,31,2024-02-05,complete
2024-02-04,0.00,0.00,0,3419366.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-05,0.00,0.00,0,3419366.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2024-02-06,complete
2024-02-06,0.00,0.00,0,3419366.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2024-02-07,complete
2024-02-07,0.00,124592.12,1,3294774.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_952c75f38ad238f1ef13b21a,trusted,weekday_rule,base_calendar,True,34,2024-02-08,complete
2024-02-08,25887.93,0.00,1,3320662.79,last_posted_transaction_or_prior_closing_balance,synb1_txn_0c82be3c17bbd9b702c5ca78,trusted,weekday_rule,base_calendar,True,35,2024-02-09,complete
2024-02-09,0.00,0.00,0,3320662.79,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2024-02-12,complete
2024-02-10,0.00,0.00,0,3320662.79,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-11,0.00,0.00,0,3320662.79,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-12,25887.93,78177.67,2,3268373.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_77383e8599cdda7b842ecadf,trusted,weekday_rule,base_calendar,True,37,2024-02-13,complete
2024-02-13,11218.10,84975.71,2,3194615.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_7d12a1c3f1c791b3166208fa,trusted,weekday_rule,base_calendar,True,38,2024-02-14,complete
2024-02-14,25551.72,0.00,1,3220167.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_c2ed1aeec6f36afdbe82b94e,trusted,weekday_rule,base_calendar,True,39,2024-02-15,complete
2024-02-15,17650.87,0.00,1,3237818.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_0c4b11b062d86cc5694b623a,trusted,weekday_rule,base_calendar,True,40,2024-02-16,complete
2024-02-16,0.00,0.00,0,3237818.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,41,2024-02-17,complete
2024-02-17,19376.72,0.00,1,3257194.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_2fb9b33fb8c47b805b805bba,trusted,historical_transaction_override,historical_transaction_override,True,42,2024-02-18,complete
2024-02-18,30931.03,0.00,1,3288125.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_b48ca3ce47c03a3cd63eedc9,trusted,historical_transaction_override,historical_transaction_override,True,43,2024-02-19,complete
2024-02-19,41185.37,0.00,1,3329311.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_fe1a5c49e2f2c825845fa852,trusted,weekday_rule,base_calendar,True,44,2024-02-20,complete
2024-02-20,0.00,0.00,0,3329311.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,45,2024-02-21,complete
2024-02-21,0.00,0.00,0,3329311.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,46,2024-02-22,complete
2024-02-22,0.00,0.00,0,3329311.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,47,2024-02-23,complete
2024-02-23,0.00,0.00,0,3329311.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,48,2024-02-25,complete
2024-02-24,0.00,0.00,0,3329311.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-25,0.00,49061.86,1,3280249.29,last_posted_transaction_or_prior_closing_balance,synb1_txn_3e2e016cbf22a1ea451dd2d7,trusted,historical_transaction_override,historical_transaction_override,True,49,2024-02-26,complete
2024-02-26,0.00,0.00,0,3280249.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,50,2024-02-27,complete
2024-02-27,0.00,0.00,0,3280249.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,51,2024-02-28,complete
2024-02-28,34504.42,3057.60,4,3311696.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_6b4a3f3cf93de3a3418a9421,trusted,weekday_rule,base_calendar,True,52,2024-02-29,complete
2024-02-29,0.00,0.00,0,3311696.11,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2024-03-01,complete
2024-03-01,0.00,0.00,0,3311696.11,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,54,2024-03-03,complete
2024-03-02,0.00,0.00,0,3311696.11,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
