transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_99cdabbc3998ad6df0f0dd49,2024-01-01T09:00:00,流入,5320000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac589846a529f8d9f66e7c9c,2024-01-02T09:00:00,流出,46176.27,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bb71d1207349c92bef62b410,2024-01-04T15:00:00,流入,27729.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_233b82d884803778e4d2dac1,2024-01-05T09:00:00,流出,24000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c28f994d21256c729d317e8,2024-01-07T09:00:00,流出,69000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3b21dc852fab2b3e76461f1d,2024-01-08T09:00:00,流出,5510.55,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2623bfa5bcf6f5012a22b24c,2024-01-08T09:00:00,流出,20233.67,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bb2550bad9c6b1a7b2ca8cd9,2024-01-09T09:00:00,流出,3470.43,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dd7d359ee4b5f298db174d9e,2024-01-10T09:00:00,流出,5300.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6c2cb97a69a6271061489860,2024-01-13T15:00:00,流入,50337.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46919cd0088d8e6206b793db,2024-01-14T09:00:00,流出,103294.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d61ab1e4295e4fd3824a90d7,2024-01-16T09:00:00,流出,3519.02,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1e20ad693ac8ceaa2034d76,2024-01-18T09:00:00,流出,10609.38,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78b57907166b9b7faa967fed,2024-01-19T15:00:00,流入,299134.65,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9067430a7985ee95b6349cc,2024-01-22T09:00:00,流出,39953.82,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5a95104a7dad27d762bf5d7e,2024-01-22T15:00:00,流入,75199.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_90e8ea155ac1e62b0db23f1d,2024-01-23T09:00:00,流出,34762.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4895a55f021af4ba171fcc41,2024-02-02T15:00:00,流入,185460.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f56b7427048d9dfe3243629d,2024-02-04T15:00:00,流入,294910.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b9033b8639baf4d9a8500b86,2024-02-05T09:00:00,流出,24000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
