transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_69e4902769898f23a9507dd9,2024-01-01T09:00:00,0.00,772000.00,772000.00
synb1_txn_4d9dc88ba8573e8def64805a,2024-01-02T09:00:00,23205.76,0.00,748794.24
synb1_txn_510a7e5ed380ca37710af38f,2024-01-02T15:00:00,0.00,119563.80,868358.04
synb1_txn_a6d18a24ed34814616cde520,2024-01-04T09:00:00,3515.61,0.00,864842.43
synb1_txn_7be1611068feaf7f3d0ad12a,2024-01-04T09:00:00,2048.00,0.00,862794.43
synb1_txn_4174c03656097c39b6730bcb,2024-01-05T09:00:00,25000.00,0.00,837794.43
synb1_txn_cfb72da976a5ff72efc0e065,2024-01-05T15:00:00,0.00,28007.90,865802.33
synb1_txn_fd7afac919f735c734d6e9a4,2024-01-07T09:00:00,71000.00,0.00,794802.33
synb1_txn_fb22ef16243a5fe76023696a,2024-01-07T15:00:00,0.00,32629.79,827432.12
synb1_txn_3084ccc693501a3b6ef63a7b,2024-01-08T15:00:00,0.00,61020.51,888452.63
synb1_txn_56927bc6a128e0f69ed11b17,2024-01-09T09:00:00,52734.86,0.00,835717.77
synb1_txn_5103d881f94243259d380ad1,2024-01-11T15:00:00,0.00,15255.19,850972.96
synb1_txn_b4659c708d3084c39ba08a16,2024-01-12T09:00:00,1946.58,0.00,849026.38
synb1_txn_6448803160eba402341313f0,2024-01-12T09:00:00,6025.32,0.00,843001.06
synb1_txn_ac257c86e4901b7419a11124,2024-01-12T15:00:00,0.00,15838.65,858839.71
synb1_txn_173a6d72985e9aae65cb6e93,2024-01-13T15:00:00,0.00,39684.16,898523.87
synb1_txn_7297e97ef263fa2b25fac43f,2024-01-22T09:00:00,7988.63,0.00,890535.24
synb1_txn_d0035dcb64cb426cd5eb9485,2024-01-26T09:00:00,10542.26,0.00,879992.98
synb1_txn_16fc88a55ade3c440dce361c,2024-01-26T09:00:00,205543.17,0.00,674449.81
synb1_txn_56e668ac1f8dc56a9eb29504,2024-01-27T09:00:00,10537.81,0.00,663912.00
synb1_txn_33a86654eecadd7a199be57d,2024-02-02T09:00:00,747.10,0.00,663164.90
synb1_txn_9cd4641cd9fd15b96ab89603,2024-02-02T15:00:00,0.00,103345.00,766509.90
synb1_txn_6b5d09d5540034ea5af758d3,2024-02-03T09:00:00,1578.87,0.00,764931.03
synb1_txn_36e425ea36901ce1c0096b9e,2024-02-04T09:00:00,15414.96,0.00,749516.07
synb1_txn_eb821698f8d5d67e8ad4ddd5,2024-02-04T15:00:00,0.00,24739.26,774255.33
synb1_txn_1ffa0e9b02a61efe1043f009,2024-02-05T09:00:00,25000.00,0.00,749255.33
synb1_txn_2ca9712e3205f5ae3692e3bb,2024-02-07T09:00:00,71000.00,0.00,678255.33
synb1_txn_e124876632929030a2915c07,2024-02-07T09:00:00,53000.06,0.00,625255.27
synb1_txn_2cf3dbe2ce0b75989ef15745,2024-02-08T09:00:00,31204.47,0.00,594050.80
synb1_txn_b27ff5ffc833b7dbc039a256,2024-02-08T09:00:00,174761.78,0.00,419289.02
synb1_txn_c92997baaa5d309f5fa398ef,2024-02-09T15:00:00,0.00,141627.45,560916.47
synb1_txn_17d2c76d0acdefe3ac0409a8,2024-02-09T15:00:00,0.00,20847.43,581763.90
synb1_txn_0953c0a7976a451d4ba10f1e,2024-02-10T09:00:00,1046.07,0.00,580717.83
synb1_txn_a29f6dab87dea3c8f3d94430,2024-02-14T09:00:00,120000.00,0.00,460717.83
synb1_txn_4feb368264d042488579de19,2024-02-14T15:00:00,0.00,17150.88,477868.71
synb1_txn_3174021e3ceb204b391fcdf3,2024-02-16T09:00:00,13461.15,0.00,464407.56
synb1_txn_4ad844c1c8423a4a46ac5638,2024-02-17T09:00:00,22874.11,0.00,441533.45
synb1_txn_28364271c34fb2f114806610,2024-02-18T09:00:00,9164.80,0.00,432368.65
synb1_txn_42ba29094be92b7595bc8551,2024-02-18T09:00:00,4800.00,0.00,427568.65
synb1_txn_a0acea0be8d713d37c0c4ffb,2024-02-18T09:00:00,576.00,0.00,426992.65
synb1_txn_e1e7e86367b6b7d63bb225ab,2024-02-18T09:00:00,14206.83,0.00,412785.82
synb1_txn_5df516b8ad2d1483b6c95b36,2024-02-19T09:00:00,72928.60,0.00,339857.22
synb1_txn_f254cc6c082830c0d775fb3d,2024-02-19T15:00:00,0.00,72180.12,412037.34
synb1_txn_980303356c51ef20d5cb333b,2024-02-20T15:00:00,0.00,31569.26,443606.60
synb1_txn_396dd280f68c2fca3ecb005b,2024-02-22T15:00:00,0.00,5426.06,449032.66
synb1_txn_23d0e778bc4dd8d397c09e98,2024-02-23T15:00:00,0.00,44516.01,493548.67
synb1_txn_5735ee5e95df56a77713235a,2024-02-27T15:00:00,0.00,44598.53,538147.20
synb1_txn_ded9ce6363d98f11d695a848,2024-03-03T09:00:00,584.68,0.00,537562.52
synb1_txn_0a10aecaa6e1af94a1fc9af1,2024-03-04T09:00:00,610.71,0.00,536951.81
synb1_txn_05b9f4b2d19abb71440e0464,2024-03-05T09:00:00,25000.00,0.00,511951.81
synb1_txn_88497c2694ade01fa3c579ae,2024-03-05T09:00:00,15744.55,0.00,496207.26
synb1_txn_86da0d5e1b58d3509c8018a3,2024-03-05T15:00:00,0.00,65821.43,562028.69
synb1_txn_3b743b99d0ed0484f9640dbe,2024-03-06T09:00:00,11636.85,0.00,550391.84
synb1_txn_bd567e0cf304edb92bf9c3f2,2024-03-07T09:00:00,71000.00,0.00,479391.84
synb1_txn_c0184f43b1302c4929965510,2024-03-08T09:00:00,100943.45,0.00,378448.39
synb1_txn_829e0d2e3b1f7f046c1dce3e,2024-03-09T09:00:00,45505.22,0.00,332943.17
synb1_txn_e9bea09231a02d4b5fe8d1b6,2024-03-11T09:00:00,12001.17,0.00,320942.00
synb1_txn_a1a116bb138116c841c2e8ff,2024-03-14T15:00:00,0.00,7208.17,328150.17
synb1_txn_219aa49a68bac825ab0926fc,2024-03-14T15:00:00,0.00,42481.71,370631.88
synb1_txn_82a74e677d1d4e44ba4134b1,2024-03-17T09:00:00,81960.38,0.00,288671.50
synb1_txn_3599ea61d2568a63bf2f063f,2024-03-17T15:00:00,0.00,74344.05,363015.55
synb1_txn_51a8c00f430ad1550d247c3f,2024-03-18T09:00:00,11795.20,0.00,351220.35
synb1_txn_70102cd325bdd3ae2ce2d433,2024-03-18T09:00:00,5200.00,0.00,346020.35
synb1_txn_1cd98c78cc48b6a45ce409b7,2024-03-18T09:00:00,624.00,0.00,345396.35
synb1_txn_2606579afb38300823011fbf,2024-03-18T09:00:00,6286.60,0.00,339109.75
synb1_txn_592f17196264852fa3f7232a,2024-03-19T09:00:00,3593.08,0.00,335516.67
synb1_txn_22c5809fe1c82388d1da85ac,2024-03-20T09:00:00,34732.62,0.00,300784.05
synb1_txn_cb14541fd331e3734abf74c5,2024-03-20T15:00:00,0.00,35527.83,336311.88
synb1_txn_c67e89bb0c27ce1249b904aa,2024-03-21T15:00:00,0.00,28143.65,364455.53
synb1_txn_84ca5f1ab0bf9e3c4bbab5a5,2024-03-22T09:00:00,80000.00,0.00,284455.53
synb1_txn_3c07fbf4dc19538fc05190d5,2024-03-22T15:00:00,0.00,61192.43,345647.96
