transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_6a648aac602adbfd1560f5e2,2024-01-01T09:00:00,0.00,3600000.00,3600000.00
synb1_txn_900200308b5263d8d9fd75d7,2024-01-03T09:00:00,60000.00,0.00,3540000.00
synb1_txn_d3eebf702ce4b19e01aa0117,2024-01-03T09:00:00,30216.09,0.00,3509783.91
synb1_txn_f7b007c94342b397cfec696f,2024-01-07T09:00:00,121402.82,0.00,3388381.09
synb1_txn_7ded15dd19ab2f700c61825e,2024-01-07T15:00:00,0.00,40227.08,3428608.17
synb1_txn_e36da7761487f8e156f7be9a,2024-01-09T15:00:00,0.00,29509.18,3458117.35
synb1_txn_efbb7b2a80482cfa553643da,2024-01-09T15:00:00,0.00,39481.81,3497599.16
synb1_txn_492a3863c192dc1145bd5660,2024-01-10T15:00:00,0.00,31141.95,3528741.11
synb1_txn_c096a4c1c98e2bf117d2a435,2024-01-11T15:00:00,0.00,19309.00,3548050.11
synb1_txn_88cf9c9094482aae86976265,2024-01-12T15:00:00,0.00,21671.13,3569721.24
synb1_txn_19321ceb625789733ba5e4c7,2024-01-13T15:00:00,0.00,27050.09,3596771.33
synb1_txn_23afd32842b3e1bb25b6f425,2024-01-13T15:00:00,0.00,23031.07,3619802.40
synb1_txn_970efc29785a55b76939bd1d,2024-01-14T15:00:00,0.00,19819.24,3639621.64
synb1_txn_6b024ab6911c3eaa7788256e,2024-01-14T15:00:00,0.00,19463.72,3659085.36
synb1_txn_d0bd2ace7f916de552eb351a,2024-01-16T15:00:00,0.00,20004.12,3679089.48
synb1_txn_e33091f593f8d0b0e388ed4d,2024-01-18T15:00:00,0.00,12925.60,3692015.08
synb1_txn_824c4ec8c190f9635ca5fce3,2024-01-18T15:00:00,0.00,23959.64,3715974.72
synb1_txn_cd902b992a8f6e58413e4dd2,2024-01-19T09:00:00,124577.57,0.00,3591397.15
synb1_txn_17eaf94164917659a9a3e577,2024-01-21T15:00:00,0.00,11907.21,3603304.36
synb1_txn_772e8ffb2559c12cbc513dd8,2024-01-22T15:00:00,0.00,41530.05,3644834.41
synb1_txn_ed5817e1c65de396b30c9b71,2024-01-25T09:00:00,44180.11,0.00,3600654.30
synb1_txn_e1314bec069c687090d71180,2024-01-25T09:00:00,171294.16,0.00,3429360.14
synb1_txn_b3b6b218e0b010dff3b9b785,2024-01-25T15:00:00,0.00,23814.43,3453174.57
synb1_txn_680cc7d5ab402f1e837a30e3,2024-01-27T15:00:00,0.00,19349.22,3472523.79
synb1_txn_0f7670858d4cba879bf9707c,2024-01-27T15:00:00,0.00,30531.32,3503055.11
synb1_txn_47e8f587e148cc3e3e8facc5,2024-01-27T15:00:00,0.00,24806.71,3527861.82
synb1_txn_ef9a70a0263b8260b69cf533,2024-01-31T15:00:00,0.00,19349.23,3547211.05
synb1_txn_611fbd7876f0e319922b2044,2024-01-31T15:00:00,0.00,29004.76,3576215.81
synb1_txn_b81897fa15d9dd92b29ba20e,2024-01-31T15:00:00,0.00,49613.44,3625829.25
synb1_txn_111e397b954efde6b1e3a907,2024-02-03T09:00:00,30216.09,0.00,3595613.16
