calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1420000.00,0.00,1,1420000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_da4682a3b0d2fc627be463e5,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,1393.18,1,1418606.82,last_posted_transaction_or_prior_closing_balance,synb1_txn_376a69c62a8fd023bd2ede2b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,23.02,1,1418583.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_db5cad653d5a2c1bef6184c3,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,80973.86,0.00,1,1499557.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_2c54edc192fa6b65b9cd9e52,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,6200.00,1,1493357.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_83a60e30180f3d56e79e7a73,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,41.57,1,1493316.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_52ce31b12f3c6e6811c8e850,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,28453.25,2,1464862.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_99b13744c37d5d4b0d88d68c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,7676.41,1,1457186.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_a889cceb5ed6a6482ee2c98c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,60423.45,2,1396762.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_a79d448efdba6b0f06d44034,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,1396762.98,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,0.00,0,1396762.98,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,6221.31,2,1390541.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_8972ca8fb679a2495a0b9843,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,86998.02,0.00,1,1477539.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_aa1eff3cee3589d44e98ff58,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,0.00,0.00,0,1477539.69,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,0.00,0.00,0,1477539.69,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,0.00,0.00,0,1477539.69,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
2024-01-17,626.72,90647.90,2,1387518.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_38d3cd1c9fd3885e5a31364c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,12,2024-01-18,complete
2024-01-18,0.00,0.00,0,1387518.51,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,13,2024-01-19,complete
