transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_da4682a3b0d2fc627be463e5,2024-01-01T09:00:00,0.00,1420000.00,1420000.00
synb1_txn_376a69c62a8fd023bd2ede2b,2024-01-02T09:00:00,1393.18,0.00,1418606.82
synb1_txn_db5cad653d5a2c1bef6184c3,2024-01-03T09:00:00,23.02,0.00,1418583.80
synb1_txn_2c54edc192fa6b65b9cd9e52,2024-01-04T15:00:00,0.00,80973.86,1499557.66
synb1_txn_83a60e30180f3d56e79e7a73,2024-01-05T09:00:00,6200.00,0.00,1493357.66
synb1_txn_52ce31b12f3c6e6811c8e850,2024-01-06T09:00:00,41.57,0.00,1493316.09
synb1_txn_46b7f5d5b6b5cbf9fdd1488f,2024-01-07T09:00:00,2453.25,0.00,1490862.84
synb1_txn_99b13744c37d5d4b0d88d68c,2024-01-07T09:00:00,26000.00,0.00,1464862.84
synb1_txn_a889cceb5ed6a6482ee2c98c,2024-01-08T09:00:00,7676.41,0.00,1457186.43
synb1_txn_3f8d701d57a8a6f94024217a,2024-01-09T09:00:00,17183.37,0.00,1440003.06
synb1_txn_a79d448efdba6b0f06d44034,2024-01-09T09:00:00,43240.08,0.00,1396762.98
synb1_txn_924b0105c4ff72a6120ebe0b,2024-01-12T09:00:00,688.98,0.00,1396074.00
synb1_txn_8972ca8fb679a2495a0b9843,2024-01-12T09:00:00,5532.33,0.00,1390541.67
synb1_txn_aa1eff3cee3589d44e98ff58,2024-01-13T15:00:00,0.00,86998.02,1477539.69
synb1_txn_6fc9db58f897a6c15f9109ce,2024-01-17T09:00:00,90647.90,0.00,1386891.79
synb1_txn_38d3cd1c9fd3885e5a31364c,2024-01-17T15:00:00,0.00,626.72,1387518.51
synb1_txn_c1f6208adb1c5597330c981d,2024-01-21T09:00:00,7989.91,0.00,1379528.60
synb1_txn_77a4538002b5814da943c2fb,2024-01-23T09:00:00,60000.00,0.00,1319528.60
synb1_txn_21e64ae91a10b24c151ade23,2024-01-23T15:00:00,0.00,8142.26,1327670.86
synb1_txn_8f0c9e4ef27301048cd3b3fc,2024-01-28T15:00:00,0.00,3059.14,1330730.00
synb1_txn_7cf6ac5299fe329d91c375ce,2024-02-05T09:00:00,6200.00,0.00,1324530.00
synb1_txn_27b3c69647cd3edc8ed5714a,2024-02-06T15:00:00,0.00,18775.93,1343305.93
synb1_txn_24d2f0007fa890b9ac960e40,2024-02-07T09:00:00,26000.00,0.00,1317305.93
synb1_txn_9afbd7a6c7372540bc76f800,2024-02-09T09:00:00,3239.11,0.00,1314066.82
synb1_txn_97539ed9f314d7d5bf36056b,2024-02-10T09:00:00,10294.19,0.00,1303772.63
synb1_txn_d62b47cdfaf93c4e56cc4380,2024-02-11T15:00:00,0.00,707.91,1304480.54
synb1_txn_986ebb62c354ab1f044fefd4,2024-02-13T15:00:00,0.00,20857.85,1325338.39
synb1_txn_ce67b6cc039fcdcea19032a0,2024-02-15T09:00:00,57504.03,0.00,1267834.36
synb1_txn_25dc4ba4a61e22684db968d2,2024-02-15T15:00:00,0.00,18605.48,1286439.84
synb1_txn_551c54a4d54b7a706a3a21be,2024-02-17T09:00:00,1360.89,0.00,1285078.95
synb1_txn_290eded7e866d1a0f70919da,2024-02-17T15:00:00,0.00,185400.19,1470479.14
