calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3100000.00,0.00,1,3100000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_9dbae87ccf4d08f1c13f5faf,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,9009.47,1,3090990.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_9691b5272eb478534ae499a7,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,3090990.53,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,231345.92,1,2859644.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_3c6cb9630167f844a712d593,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,26000.00,1,2833644.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_4e9c46d1eb5d2c0722ab9f41,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,2833644.61,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,102000.00,1,2731644.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_3a01a2be5c5beb2d7845ca68,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,12370.85,26997.92,2,2717017.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_8bb7e481ef8c3e06747c697d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,2717017.54,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,43376.49,0.00,1,2760394.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_103fa07e189ee8c07f282220,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,0.00,0,2760394.03,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,119136.42,0.00,2,2879530.45,last_posted_transaction_or_prior_closing_balance,synb1_txn_62912cd11091772f6469dac8,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,0.00,0,2879530.45,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,0.00,0.00,0,2879530.45,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,0.00,0.00,0,2879530.45,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,0.00,0.00,0,2879530.45,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
2024-01-17,685.62,0.00,1,2880216.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_ce21e24c25628e5c254a6322,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,12,2024-01-18,complete
2024-01-18,0.00,0.00,0,2880216.07,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,13,2024-01-19,complete
2024-01-19,0.00,21487.41,1,2858728.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_eab30969c518da771de930b8,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,14,2024-01-22,complete
2024-01-20,0.00,177224.23,1,2681504.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_fb350a2868bcffefe22ff120,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-21,0.00,0.00,0,2681504.43,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-22,0.00,0.00,0,2681504.43,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,15,2024-01-23,complete
2024-01-23,0.00,10990.53,1,2670513.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_c90345a0ead887a54a875ac8,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,16,2024-01-24,complete
2024-01-24,0.00,340000.00,1,2330513.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_8ac2bf718644099c034b694c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,17,2024-01-25,complete
2024-01-25,0.00,40350.82,1,2290163.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_ef6e62264ebbcfe1c83c6206,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,18,2024-01-26,complete
