transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_77c40f8e7204203b47c31896,2024-01-01T09:00:00,流入,1534500.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_07b1b8c3acdc75fff43f9340,2024-01-04T09:00:00,流出,314.87,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac8a0500cf1bcc5b9bba7ee8,2024-01-04T09:00:00,流出,92.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_da15122690886857e1845216,2024-01-05T09:00:00,流出,5500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1777acdb2fb471dd00217df4,2024-01-05T15:00:00,流入,21911.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3d4de2e0385f52a1277f94e0,2024-01-06T09:00:00,流出,17288.35,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3d6e10985c242375a311c9c,2024-01-07T09:00:00,流出,24000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_239b6cc8d6a2d767ceab97e1,2024-01-08T15:00:00,流入,11570.37,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61ef072fddd52dd84b4f8f79,2024-01-17T15:00:00,流入,65611.71,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1e5c30910e92a50ce814e42d,2024-01-18T09:00:00,流出,81820.74,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_719efcb7b6d90e5c35643c57,2024-01-18T09:00:00,流出,10809.41,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2ed66fdb7cca56c6e9ff3773,2024-01-21T09:00:00,流出,3568.06,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7be29481125589e87e96d1ff,2024-01-22T09:00:00,流出,60000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7bac92d85c682bd0e31cb551,2024-01-23T15:00:00,流入,9530.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39fe9e05349f27fcdf656cfa,2024-01-28T09:00:00,流出,224.17,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_879dd41f333677501fb0c7eb,2024-01-28T09:00:00,流出,1476.70,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa8a75119f97c4f5479f99d6,2024-02-02T15:00:00,流入,11911.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_23a26d0a08a5e61470de80f8,2024-02-04T09:00:00,流出,8607.13,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a4c0e9532d11d0449e3688f,2024-02-05T09:00:00,流出,1478.51,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cbd81ae2d4b58d9c3e7d8ec7,2024-02-05T09:00:00,流出,5500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d12bf14c82770bb953080e99,2024-02-06T09:00:00,流出,58501.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_67583734712abfe9a373f9ee,2024-02-07T09:00:00,流出,24000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5317af9ba40c80c490fe4f6,2024-02-08T15:00:00,流入,3161.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de14ea2506f2531ba36c4e48,2024-02-09T09:00:00,流出,2289.42,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb5cd29d3370e6355779a940,2024-02-09T15:00:00,流入,272.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f7ebdc9189307c9200d4be7f,2024-02-10T09:00:00,流出,336.33,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_44f2d76b0f8e93e86c78ed76,2024-02-11T15:00:00,流入,45541.71,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0f78d51e49598ab885bfaa2f,2024-02-12T15:00:00,流入,1603.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
