transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_6d66f9327e914cb2d48a425d,2024-01-01T09:00:00,流入,8500000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cffc2bc26cf57af09d450eb1,2024-01-05T09:00:00,流出,28623.54,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ddd016209b2eecd655a9e6d5,2024-01-05T09:00:00,流出,2759.13,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6d41252f0b4b03cafc4e6f5,2024-01-05T09:00:00,流出,64000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_62865d2849585c0a3d31e2f8,2024-01-07T09:00:00,流出,256000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_199afb922c4fb020f6eea5cc,2024-01-07T15:00:00,流入,650597.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b0a0936a1d52309dbf98b0fc,2024-01-11T09:00:00,流出,617.33,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d4d2101394565822268f023d,2024-01-19T15:00:00,流入,501717.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_138bab084f7cd8ad4fc7dc51,2024-01-20T09:00:00,流出,181577.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_89f3486c67255d57f3c06a6b,2024-01-24T09:00:00,流出,2073422.71,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de9b131c604cc66579e9a74c,2024-01-24T15:00:00,流入,976588.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c0142e20bc748539a309b29d,2024-01-25T15:00:00,流入,5688.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fda9e0b0ca36fb45b01bfc6e,2024-01-28T15:00:00,流入,365407.41,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f04075e3730c1d54937b896,2024-02-03T15:00:00,流入,538451.87,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fea24fd2d8106ddc9ff7d59,2024-02-05T09:00:00,流出,64000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e33524ecda650a98a3caf25,2024-02-06T09:00:00,流出,10966.71,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_35a31b48e33b4cce19d19b82,2024-02-07T09:00:00,流出,256000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d60637bc7c001b6d30c5087a,2024-02-09T15:00:00,流入,51203.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e4433957fc0c71da9a48abab,2024-02-10T09:00:00,流出,1391.49,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_20efccfa27451256969cc61c,2024-02-10T15:00:00,流入,569720.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46d3be32db0dc3026f6522e4,2024-02-11T09:00:00,流出,19641.80,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d65103e6e7e83dd624d12b89,2024-02-18T09:00:00,流出,29000.00,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a91ff3be878535287bb8f07d,2024-02-18T09:00:00,流出,25000.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2624a3051c0fbc1a635a2a9,2024-02-18T09:00:00,流出,3000.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_12948c4cf964f4b0e42b2b49,2024-02-18T15:00:00,流入,161731.00,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_550f3669762139e60b01c951,2024-02-19T15:00:00,流入,300765.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a751a9cec2719d17453643f8,2024-02-19T15:00:00,流入,253887.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0a9ea2774f638a6956f69183,2024-02-20T15:00:00,流入,311932.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6bc147eb0f2aeb67ec82922,2024-02-22T09:00:00,流出,1751299.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2d4f1fa7ad9c6aab94dec3f,2024-02-24T09:00:00,流出,160500.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e2af35509ac6f11d20cca03,2024-02-25T15:00:00,流入,153701.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bca59339407b7e83e4b5463b,2024-02-27T15:00:00,流入,78604.65,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_208214774dade6c1b00af6b9,2024-03-03T09:00:00,流出,139482.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb583ed1545a143db97ee183,2024-03-04T15:00:00,流入,149744.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f959f0d281f8b0e370703b93,2024-03-05T09:00:00,流出,64000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d30aecde67f7300c15c6a391,2024-03-06T15:00:00,流入,92477.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_98065127765e921a6ba545a6,2024-03-07T09:00:00,流出,256000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a58fa48f5f3e397cea0d351e,2024-03-07T09:00:00,流出,26031.90,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb3b4318e5dc70024fcb2c11,2024-03-07T15:00:00,流入,1960937.64,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ece2fe15726cf35cbef4cd4,2024-03-09T09:00:00,流出,9021.25,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_04ef3df3d4c29c82559ac028,2024-03-10T09:00:00,流出,565729.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e893dffe268abf23b5c7bcfe,2024-03-13T09:00:00,流出,31678.29,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef48e429ec178a25506f48b3,2024-03-13T15:00:00,流入,99893.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e0c0d22693ebb98b42dc6db,2024-03-14T09:00:00,流出,301012.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2110fcbc62ac34bc12957d0b,2024-03-16T09:00:00,流出,737883.91,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_801a78851b0694a31e39747f,2024-03-17T09:00:00,流出,235338.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34250ca39b1c248674f68b31,2024-03-18T09:00:00,流出,25819.20,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f92bb6750b33bfbead36d850,2024-03-18T09:00:00,流出,24200.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
