transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_8f3e55c476c8d86932777a0d,2024-01-01T09:00:00,0.00,1200000.00,1200000.00
synb1_txn_0583dd9fb968b25336a637ed,2024-01-02T09:00:00,296275.67,0.00,903724.33
synb1_txn_720d80bb2606d42207cf3d31,2024-01-03T09:00:00,1124.01,0.00,902600.32
synb1_txn_f97126d65ad9944389188a92,2024-01-04T09:00:00,12604.33,0.00,889995.99
synb1_txn_29b6ded23e3664ece88e5f5b,2024-01-05T09:00:00,4.55,0.00,889991.44
synb1_txn_3e0a2e9f08f55d99fe59d967,2024-01-05T09:00:00,18000.00,0.00,871991.44
synb1_txn_91a8fc268df814369396db98,2024-01-05T15:00:00,0.00,10727.95,882719.39
synb1_txn_2279853d129a1902d3c65671,2024-01-06T15:00:00,0.00,14706.79,897426.18
synb1_txn_8ecea962322a2bef880e2309,2024-01-07T09:00:00,72000.00,0.00,825426.18
synb1_txn_fa7ccfb782de07b593e0c3d4,2024-01-13T15:00:00,0.00,54622.95,880049.13
synb1_txn_850872ae96f2502dd0d1704d,2024-01-14T09:00:00,3999.48,0.00,876049.65
synb1_txn_10164e3f20bfa0c7079e6e82,2024-01-14T15:00:00,0.00,6542.13,882591.78
synb1_txn_7c27122fa1e59d15be5f58b7,2024-01-15T09:00:00,1041.34,0.00,881550.44
synb1_txn_aa4b39c02ce411d54839752e,2024-01-20T09:00:00,1830.62,0.00,879719.82
synb1_txn_1ad87841e667e3e4030a2f52,2024-01-22T15:00:00,0.00,195510.66,1075230.48
synb1_txn_27fbb3f7b1e370995b768d4e,2024-01-25T15:00:00,0.00,5889.52,1081120.00
synb1_txn_f76c3c2aeac9670960b606c3,2024-02-02T15:00:00,0.00,16210.25,1097330.25
synb1_txn_6bbbb262e493f7a49d3e09ef,2024-02-02T15:00:00,0.00,218478.04,1315808.29
synb1_txn_6c34c0d0ec9fb85d7ad8e877,2024-02-03T09:00:00,80927.61,0.00,1234880.68
synb1_txn_81397f274e5688f290ee04b3,2024-02-05T09:00:00,18000.00,0.00,1216880.68
synb1_txn_bb73fb98af4601dbd1808756,2024-02-05T09:00:00,5009.39,0.00,1211871.29
synb1_txn_8ddb3cd0fa42ea93dffd1277,2024-02-05T15:00:00,0.00,8074.74,1219946.03
synb1_txn_f522d8df5589212200e3f3a2,2024-02-06T09:00:00,204.79,0.00,1219741.24
synb1_txn_bce07134fff2728719897902,2024-02-06T09:00:00,14081.87,0.00,1205659.37
synb1_txn_ea4b3fc2b69265aa8ab36932,2024-02-07T09:00:00,5732.79,0.00,1199926.58
synb1_txn_0974baf4b3cf7113dc0c1f6a,2024-02-07T09:00:00,72000.00,0.00,1127926.58
synb1_txn_15e7ad35d0a8e268eac4d85a,2024-02-08T09:00:00,1851.56,0.00,1126075.02
synb1_txn_17ffa103f9c2ea8bf17e0747,2024-02-08T09:00:00,210.86,0.00,1125864.16
synb1_txn_ef43b83465466e944fa5e6ea,2024-02-08T15:00:00,0.00,22152.07,1148016.23
synb1_txn_b419880591b7da3130e9d302,2024-02-08T15:00:00,0.00,13828.34,1161844.57
synb1_txn_b94e3127d7938c5755962094,2024-02-09T15:00:00,0.00,36139.06,1197983.63
synb1_txn_8bf239a57d4780186907e845,2024-02-10T09:00:00,51406.12,0.00,1146577.51
synb1_txn_e229d278ac58050f475195f1,2024-02-13T15:00:00,0.00,147739.08,1294316.59
synb1_txn_96408a4257bb1c9cc989a285,2024-02-14T09:00:00,7722.36,0.00,1286594.23
synb1_txn_8302f7e92199caf59c3d3d0e,2024-02-15T15:00:00,0.00,47.12,1286641.35
synb1_txn_f0a58d9225760d1a24848af7,2024-02-16T09:00:00,3688.81,0.00,1282952.54
synb1_txn_aa4775150eb88c5b6fce65be,2024-02-18T09:00:00,4284.80,0.00,1278667.74
synb1_txn_5180c6525ee231aaf967fdf4,2024-02-18T09:00:00,4800.00,0.00,1273867.74
synb1_txn_df90a4f5da3d9ab4151f30b8,2024-02-18T09:00:00,576.00,0.00,1273291.74
synb1_txn_e5899e6be35f0f626c3fc71b,2024-02-18T09:00:00,93265.74,0.00,1180026.00
synb1_txn_ee369eba8f2c093445ee367f,2024-02-18T09:00:00,96176.27,0.00,1083849.73
synb1_txn_e7576953a01d9d6f290eda60,2024-02-18T15:00:00,0.00,219.94,1084069.67
synb1_txn_8ad8cfb44f728bf686900bf4,2024-02-19T15:00:00,0.00,24478.81,1108548.48
synb1_txn_40de6345c1d0315c0cbef4a4,2024-02-20T15:00:00,0.00,22632.55,1131181.03
synb1_txn_0ae4d3cf9d7e33c988aab000,2024-02-21T09:00:00,7767.88,0.00,1123413.15
synb1_txn_5d9b499db93b55ecf4d845bc,2024-02-28T09:00:00,61203.95,0.00,1062209.20
synb1_txn_8dd3959d2a753a7f06c05ca6,2024-03-02T15:00:00,0.00,3512.54,1065721.74
synb1_txn_f8184d752f7b78b9ebc839cf,2024-03-03T09:00:00,19148.32,0.00,1046573.42
synb1_txn_3245c9c22d9773c77421d915,2024-03-05T09:00:00,18000.00,0.00,1028573.42
synb1_txn_91042cdc7a85c5a9d327112e,2024-03-05T15:00:00,0.00,19264.23,1047837.65
synb1_txn_3b79768646d728990fca85eb,2024-03-06T09:00:00,28453.68,0.00,1019383.97
synb1_txn_ee4d8d1bb73863928b959d12,2024-03-06T15:00:00,0.00,33732.73,1053116.70
synb1_txn_91a0fb5b64c4917db88398e8,2024-03-07T09:00:00,72000.00,0.00,981116.70
synb1_txn_3147c66b0e5c11b78aca55c4,2024-03-07T15:00:00,0.00,57130.78,1038247.48
synb1_txn_26a31afbb87a98861acdb27e,2024-03-08T09:00:00,224000.00,0.00,814247.48
synb1_txn_13e5bb3908d2cd4d78d59771,2024-03-08T09:00:00,5406.94,0.00,808840.54
synb1_txn_9bfe0e9a8a35d30091374e0e,2024-03-08T15:00:00,0.00,70829.58,879670.12
synb1_txn_629a3e938bd7bb9f077803da,2024-03-09T09:00:00,9462.91,0.00,870207.21
synb1_txn_2117ec30399f2a3694308d30,2024-03-10T15:00:00,0.00,34264.32,904471.53
synb1_txn_001df5ce0e04eb5b70f3e7af,2024-03-11T09:00:00,14695.14,0.00,889776.39
synb1_txn_604980ac33442945e653bba6,2024-03-11T09:00:00,1659.59,0.00,888116.80
synb1_txn_4f374295a6e1237b0e47f5d9,2024-03-15T15:00:00,0.00,116973.11,1005089.91
synb1_txn_a9eb36ae2bca168dce3d52bd,2024-03-16T09:00:00,4358.18,0.00,1000731.73
synb1_txn_22a74911e5ca3d41384f3ccf,2024-03-17T15:00:00,0.00,9940.96,1010672.69
synb1_txn_dd06c745b9183c4c10d9bf21,2024-03-18T09:00:00,6772.80,0.00,1003899.89
synb1_txn_dc908e08b9c841176c4b6283,2024-03-18T09:00:00,5300.00,0.00,998599.89
synb1_txn_2c214e64f4fa0182523fa97d,2024-03-18T09:00:00,636.00,0.00,997963.89
synb1_txn_803d9fc7235884fd8e5d52c4,2024-03-18T09:00:00,71587.19,0.00,926376.70
synb1_txn_69ff60002c4ab446f36635b3,2024-03-18T15:00:00,0.00,48296.39,974673.09
synb1_txn_a13a9f5e57569f4df5132927,2024-03-19T09:00:00,94889.01,0.00,879784.08
synb1_txn_d03c5f689e1f1b61ec0a3708,2024-03-20T09:00:00,3641.82,0.00,876142.26
synb1_txn_11faeee78c579b73f8f93d4b,2024-03-21T09:00:00,150918.99,0.00,725223.27
synb1_txn_51eb1b707ee7046cd49209ac,2024-03-22T09:00:00,3751.08,0.00,721472.19
synb1_txn_c974ca5553a4a3a5a6f12fea,2024-03-22T09:00:00,30707.15,0.00,690765.04
synb1_txn_1a2c4dc4eee343f90d207f2d,2024-03-26T15:00:00,0.00,13154.52,703919.56
synb1_txn_23e8c548e2655adaf44afa41,2024-03-27T15:00:00,0.00,111518.16,815437.72
synb1_txn_8be7674d927ec92fc8466c1b,2024-03-27T15:00:00,0.00,38543.17,853980.89
synb1_txn_b7ef2e4d108662273719b455,2024-03-27T15:00:00,0.00,4585.35,858566.24
synb1_txn_20116d9d3493541e93d66a58,2024-03-28T15:00:00,0.00,16254.16,874820.40
synb1_txn_e0113b664312ff4d8015f569,2024-04-02T09:00:00,379.83,0.00,874440.57
synb1_txn_4c46b97d743e7bcc5eaba4a7,2024-04-03T09:00:00,3643.03,0.00,870797.54
synb1_txn_21e0e23fec2d2f07cf47f274,2024-04-05T09:00:00,18000.00,0.00,852797.54
synb1_txn_55a5011901bfd732f5d41383,2024-04-05T09:00:00,230856.36,0.00,621941.18
synb1_txn_77fd29ce3d2677e67035627a,2024-04-07T09:00:00,84000.00,0.00,537941.18
synb1_txn_5226a9541b12144efeba0682,2024-04-07T15:00:00,0.00,11405.38,549346.56
synb1_txn_7a495e1d923407d32ec5a89d,2024-04-08T15:00:00,0.00,9981.07,559327.63
synb1_txn_9c54938d24b486ef4a629bc5,2024-04-10T09:00:00,4877.64,0.00,554449.99
synb1_txn_21f92243323a333b2059f04b,2024-04-10T15:00:00,0.00,64949.37,619399.36
synb1_txn_b4f196bace5b4383fd2141c3,2024-04-11T09:00:00,89196.07,0.00,530203.29
synb1_txn_d9c6b6fc3e793e871fe28173,2024-04-14T15:00:00,0.00,2746.38,532949.67
synb1_txn_d3bb02bc1cacc6bbc2fd7401,2024-04-14T15:00:00,0.00,29236.40,562186.07
synb1_txn_3552feb2cbf5afdd1ed451ac,2024-04-17T09:00:00,42520.75,0.00,519665.32
synb1_txn_cac8581a92792abbb85376fd,2024-04-18T09:00:00,10753.60,0.00,508911.72
synb1_txn_675d62e3f2bdf4c9429bd9c6,2024-04-18T09:00:00,6100.00,0.00,502811.72
synb1_txn_f22f0d2eb2941c2fc7d7c773,2024-04-18T09:00:00,732.00,0.00,502079.72
synb1_txn_0b57851974891a2bb9b51a10,2024-04-18T09:00:00,96000.00,0.00,406079.72
synb1_txn_cfbbbb1f3c13fb4bce8ddaa1,2024-04-18T09:00:00,6562.58,0.00,399517.14
synb1_txn_d1baf3e197c2a1e25e0393c6,2024-04-19T09:00:00,1099.50,0.00,398417.64
synb1_txn_46423349f87426aeffe12093,2024-04-21T09:00:00,234783.64,0.00,163634.00
synb1_txn_c90484dc4c3f03f8a53f246a,2024-04-21T15:00:00,0.00,171388.51,335022.51
synb1_txn_6a3102b850b4075b9ae50054,2024-04-22T09:00:00,19710.60,0.00,315311.91
synb1_txn_fc7acf28c2cad0de4ec3cb19,2024-04-25T15:00:00,0.00,176304.25,491616.16
synb1_txn_5eab5ae747aeea64669774e3,2024-04-25T15:00:00,0.00,47488.64,539104.80
synb1_txn_47edf59271fa3051f146a69a,2024-05-02T09:00:00,2197.95,0.00,536906.85
synb1_txn_50fcdc69eb3674284f89305b,2024-05-02T15:00:00,0.00,51356.70,588263.55
synb1_txn_967d218afe8eac24325230ba,2024-05-02T15:00:00,0.00,28602.53,616866.08
synb1_txn_5f3d3275af9f0479ccc543aa,2024-05-02T15:00:00,0.00,71532.42,688398.50
synb1_txn_2954b50003ed95443baff3f5,2024-05-04T15:00:00,0.00,17710.26,706108.76
synb1_txn_46c9347e9b687f95e8fe9695,2024-05-04T15:00:00,0.00,152892.67,859001.43
synb1_txn_9700b7d8013e011c269c607d,2024-05-05T09:00:00,18000.00,0.00,841001.43
synb1_txn_bd36fa12e201b743aae998ed,2024-05-05T15:00:00,0.00,256426.70,1097428.13
synb1_txn_c5882c915bce8eec9c50e253,2024-05-06T15:00:00,0.00,84760.65,1182188.78
synb1_txn_90969bc49c154876fbf1fe14,2024-05-07T09:00:00,84000.00,0.00,1098188.78
synb1_txn_81efe8b2e6d498e99997e43e,2024-05-08T15:00:00,0.00,259.49,1098448.27
synb1_txn_be6f8acacb17a6809aec61fe,2024-05-10T09:00:00,2450.46,0.00,1095997.81
synb1_txn_439dc0295e642e240397ed6a,2024-05-10T09:00:00,2290.80,0.00,1093707.01
synb1_txn_f95b889da91641cbfeb40a80,2024-05-11T09:00:00,52945.59,0.00,1040761.42
synb1_txn_a9d68b9f99414dd7f8515100,2024-05-11T09:00:00,67328.62,0.00,973432.80
synb1_txn_46aadb53713be51ec8294dd9,2024-05-13T09:00:00,337245.79,0.00,636187.01
synb1_txn_e32167336e8ce9cbde0ff037,2024-05-18T15:00:00,0.00,15901.43,652088.44
synb1_txn_2948214ff72b57d48bea0444,2024-05-19T15:00:00,0.00,10436.25,662524.69
synb1_txn_1154998f2bfe8401ec07cd28,2024-05-20T09:00:00,11821.86,0.00,650702.83
synb1_txn_109b6dcf4f39c4ff814227a9,2024-05-20T09:00:00,7700.00,0.00,643002.83
synb1_txn_7fa73fe7b13ecda83447b752,2024-05-20T09:00:00,924.00,0.00,642078.83
synb1_txn_a79378a7ce32b8b115109903,2024-05-21T15:00:00,0.00,19270.55,661349.38
synb1_txn_2fe6aebe5477924cd471b13e,2024-05-22T15:00:00,0.00,39684.53,701033.91
synb1_txn_bb2c43c0bedcbae74e68d1f1,2024-05-24T09:00:00,135198.91,0.00,565835.00
synb1_txn_08bf8f205d273f4f67253f5a,2024-05-25T15:00:00,0.00,14255.80,580090.80
synb1_txn_2a2eda5d41cd1ccecd10ff53,2024-05-27T09:00:00,64361.09,0.00,515729.71
synb1_txn_f22a6458ca242ab330446d45,2024-05-27T15:00:00,0.00,12805.11,528534.82
synb1_txn_f977f1158ec90803d393cc3f,2024-05-28T09:00:00,3060.79,0.00,525474.03
synb1_txn_901a0dbcb3f3d62ad7768a19,2024-05-28T15:00:00,0.00,25604.91,551078.94
synb1_txn_27e06672b94cb9e17105b91d,2024-06-04T09:00:00,3285.58,0.00,547793.36
synb1_txn_b1ad7663ece453722aeafc9e,2024-06-04T15:00:00,0.00,130946.53,678739.89
synb1_txn_46b8f306ceca1664b6ed6258,2024-06-05T09:00:00,18000.00,0.00,660739.89
synb1_txn_0e825cf8ea243cb28335bd29,2024-06-07T09:00:00,84000.00,0.00,576739.89
synb1_txn_ec90e2d452aed63b5745cfbf,2024-06-07T09:00:00,19902.73,0.00,556837.16
synb1_txn_ad2707b0e4097ff0fb11736b,2024-06-07T15:00:00,0.00,102489.99,659327.15
synb1_txn_94ae1b55b49259e2b7ee397e,2024-06-07T15:00:00,0.00,199573.35,858900.50
synb1_txn_993e13fa24296ca686bfeb40,2024-06-08T09:00:00,7583.48,0.00,851317.02
synb1_txn_97d7f2ff7bf8d8ad9fdc1ad3,2024-06-08T09:00:00,18582.52,0.00,832734.50
synb1_txn_ec5f876f7e6e39c602117af7,2024-06-09T15:00:00,0.00,12829.53,845564.03
synb1_txn_abba0746ef404807f2d6fbc5,2024-06-11T15:00:00,0.00,139907.24,985471.27
synb1_txn_0aad79e63ebf25ec7fb19d9c,2024-06-12T15:00:00,0.00,58846.01,1044317.28
synb1_txn_aa41e3f9a5c3ba98049da91b,2024-06-12T15:00:00,0.00,26988.86,1071306.14
synb1_txn_629b1e308a7af210e3a0ea3f,2024-06-13T09:00:00,630.13,0.00,1070676.01
synb1_txn_a7a5c4502ef47f9964d7f780,2024-06-13T15:00:00,0.00,46795.43,1117471.44
synb1_txn_25d8b810f32b8b1d3af2cc30,2024-06-14T09:00:00,243793.48,0.00,873677.96
synb1_txn_43da1a97a016c036d0e62225,2024-06-14T15:00:00,0.00,58180.70,931858.66
synb1_txn_cf44725d759a47b6be663649,2024-06-15T09:00:00,6084.29,0.00,925774.37
synb1_txn_1b6e1874ac3c7bc20031ff2d,2024-06-15T09:00:00,22958.11,0.00,902816.26
synb1_txn_aaf325bf194a3441c77a249b,2024-06-16T15:00:00,0.00,20453.31,923269.57
synb1_txn_7fb4494b801453fc68b3a620,2024-06-17T09:00:00,42961.19,0.00,880308.38
synb1_txn_671eec6c8d00802a067760d5,2024-06-18T09:00:00,15940.26,0.00,864368.12
synb1_txn_63fc7e38cf9b7cc7a9c4c03d,2024-06-18T09:00:00,8600.00,0.00,855768.12
synb1_txn_d1360d77a07986e68fe1e216,2024-06-18T09:00:00,1032.00,0.00,854736.12
synb1_txn_81a2e11a74560bcbcc3b3e26,2024-06-18T09:00:00,73704.86,0.00,781031.26
synb1_txn_e008ca8c8443b3885d2504b0,2024-06-18T15:00:00,0.00,9004.57,790035.83
synb1_txn_aab08ad7e547426f26e58bd0,2024-06-20T09:00:00,81994.10,0.00,708041.73
synb1_txn_59afb363644f1244fa1968bb,2024-06-20T15:00:00,0.00,9195.32,717237.05
synb1_txn_caf21f33b0a4e66205a0fe69,2024-06-21T09:00:00,10387.11,0.00,706849.94
synb1_txn_26507401a74023ec3027116a,2024-06-24T15:00:00,0.00,50884.35,757734.29
synb1_txn_3a59f494c5aac4de2741346c,2024-06-27T09:00:00,168972.42,0.00,588761.87
synb1_txn_d3fc333a656b9a667c747aac,2024-06-27T15:00:00,0.00,5383.85,594145.72
synb1_txn_1d0477fee2b5776854d90848,2024-06-28T15:00:00,0.00,13020.96,607166.68
synb1_txn_577bd750a8332a68ebe65449,2024-07-03T09:00:00,587.78,0.00,606578.90
synb1_txn_aee440db70e9224bc3ecbe0d,2024-07-03T15:00:00,0.00,287.74,606866.64
synb1_txn_af3f1b1def0da66d4e641683,2024-07-04T15:00:00,0.00,35024.69,641891.33
synb1_txn_90aff85de5df2bcdfaf005c8,2024-07-05T09:00:00,18000.00,0.00,623891.33
synb1_txn_41aca41c8d17163a655df461,2024-07-07T09:00:00,84000.00,0.00,539891.33
synb1_txn_16d9ad64fa35c6b9f57c3ec1,2024-07-07T15:00:00,0.00,121563.70,661455.03
synb1_txn_321df4a92dae2d82d221c0e8,2024-07-09T09:00:00,100250.40,0.00,561204.63
synb1_txn_a4d4a3bd220a6f9cc4ded01d,2024-07-09T15:00:00,0.00,55409.18,616613.81
synb1_txn_e0a75489259502529727deb5,2024-07-11T09:00:00,21175.44,0.00,595438.37
synb1_txn_37b29b3d7e9bae6ae0f29098,2024-07-11T15:00:00,0.00,224684.60,820122.97
synb1_txn_6a3727aeb22805a711de5bee,2024-07-12T09:00:00,3524.14,0.00,816598.83
synb1_txn_d777a865963d44ace8fee611,2024-07-12T15:00:00,0.00,66125.31,882724.14
synb1_txn_379e0e500f8d3016f7998ece,2024-07-14T09:00:00,1789.82,0.00,880934.32
synb1_txn_d6733b209d162b5620450500,2024-07-15T15:00:00,0.00,170715.38,1051649.70
synb1_txn_be52f6da32b14458309b99c5,2024-07-15T15:00:00,0.00,1300.84,1052950.54
synb1_txn_275184d5c66216e24ee4d9eb,2024-07-16T15:00:00,0.00,13865.34,1066815.88
synb1_txn_1b3b125fa7db0b4b2684a4bf,2024-07-16T15:00:00,0.00,86062.12,1152878.00
synb1_txn_6b973716292c13a76541cc4b,2024-07-17T09:00:00,152864.58,0.00,1000013.42
synb1_txn_bd39ef4fff3df5b27fe101bb,2024-07-18T09:00:00,19143.46,0.00,980869.96
synb1_txn_f262480ce54f162c0f5e0bd8,2024-07-18T09:00:00,9300.00,0.00,971569.96
synb1_txn_4184119ebaf9864a7f001c31,2024-07-18T09:00:00,1116.00,0.00,970453.96
synb1_txn_adc7b08b7e3a8247868321b7,2024-07-18T15:00:00,0.00,27796.62,998250.58
synb1_txn_bb7d1cb0d59b786b908c2278,2024-07-18T15:00:00,0.00,8439.39,1006689.97
synb1_txn_deef173fd34c8cf31016824a,2024-07-20T09:00:00,113680.78,0.00,893009.19
synb1_txn_d569e04ff9fac8c0f377e0a6,2024-07-20T15:00:00,0.00,10849.67,903858.86
synb1_txn_6ffdbc2eea085333f38b18fd,2024-07-22T15:00:00,0.00,19795.83,923654.69
synb1_txn_7ec23fb49fa76446e8d21543,2024-07-23T09:00:00,9879.91,0.00,913774.78
synb1_txn_b3a06053b76c088a9ac29ed1,2024-07-23T15:00:00,0.00,70579.59,984354.37
synb1_txn_e527667c12fc6ef6017ab070,2024-07-24T09:00:00,7241.32,0.00,977113.05
synb1_txn_1ad5b08994e1446f39403b2e,2024-07-25T09:00:00,54098.37,0.00,923014.68
synb1_txn_d391e975cc84585348d45227,2024-07-25T09:00:00,33468.60,0.00,889546.08
synb1_txn_8a505eb47011b1c856df6109,2024-07-25T09:00:00,7268.11,0.00,882277.97
