calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1360000.00,0.00,1,1360000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_f571e8888d20b6d332a903be,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,442.20,1,1359557.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_3391468f66ae012894a5e629,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,76905.27,0.00,1,1436463.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_85417771c413895a9d85b575,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,1436463.07,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,7500.00,1,1428963.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_d794aa83e8d2399c6c98bcbc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,10682.65,1,1418280.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_4458c62dd26c4fff68a0406a,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,20000.00,1,1398280.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_119b1fcf14367a891e3bca98,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,1398280.42,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,57072.72,1,1341207.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_14991151a2fafe325163d5d4,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,1364.63,1,1339843.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_75e22e4286370d957030e65b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
