transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_960f73a059ea2aa05cc87c1d,2025-01-01T09:00:00,0.00,73092083.73,73092083.73
synb1_txn_a3270b531e1e06aacb2f830a,2025-01-06T09:31:04,55633.82,0.00,73036449.91
synb1_txn_c4b236aad8e35b6066bde0c8,2025-01-13T16:35:52,55225.90,0.00,72981224.01
synb1_txn_7716869dc4faa6f82210a3b6,2025-01-15T17:21:59,66726.49,0.00,72914497.52
synb1_txn_ad452f469d56d8e7ea66d859,2025-01-20T11:24:31,1996725.00,0.00,70917772.52
synb1_txn_24e09b779e0061beadac04ff,2025-01-22T14:43:19,369379.31,0.00,70548393.21
synb1_txn_afcc743c81441b04ae2c5cf9,2025-02-03T09:00:00,0.00,21310345.00,91858738.21
synb1_txn_6434adafe1c18cc1fd4f4394,2025-02-14T12:16:53,63754.97,0.00,91794983.24
synb1_txn_70e48237e72bee46eb7e8bb8,2025-02-17T12:16:48,1996725.00,0.00,89798258.24
synb1_txn_493d7f213ac21451b037b5e0,2025-02-17T14:31:08,55078.14,0.00,89743180.10
synb1_txn_466103cad24d83fd8d5927eb,2025-02-19T15:10:45,369379.31,0.00,89373800.79
synb1_txn_e7076e522adfc640eeb3f1f4,2025-02-28T14:00:46,58753.10,0.00,89315047.69
synb1_txn_16c5405c7c82872568742775,2025-03-03T09:00:00,62938.50,0.00,89252109.19
synb1_txn_5010d23525d2c28370f7887d,2025-03-07T17:55:42,6460967.42,0.00,82791141.77
synb1_txn_5e3c8b3cad9b062495819a41,2025-03-09T09:01:45,369379.31,0.00,82421762.46
synb1_txn_830616d378b5ee0dea374551,2025-03-11T14:43:07,1996725.00,0.00,80425037.46
synb1_txn_71cb42b566b318499ec570a7,2025-03-12T15:31:30,59628.09,0.00,80365409.37
synb1_txn_acd15c217a64571ab889d0d9,2025-03-15T09:45:47,51780.42,0.00,80313628.95
synb1_txn_03a3bb44b443a284194c2dcd,2025-03-15T17:14:04,66177.70,0.00,80247451.25
synb1_txn_162e97858174ec79632dfb03,2025-03-22T10:00:27,0.00,13805485.94,94052937.19
synb1_txn_2241976da314fbd5991e79c4,2025-04-03T09:00:00,69681.91,0.00,93983255.28
synb1_txn_91466f82aac164e33bf268f6,2025-04-12T10:52:21,64398.01,0.00,93918857.27
synb1_txn_dde257d2c36eebc668946797,2025-04-17T11:06:21,369379.31,0.00,93549477.96
synb1_txn_506acd5ca7056b490ed941dc,2025-04-19T13:22:26,4845725.56,0.00,88703752.40
synb1_txn_91582ae55e2f95f967f22099,2025-04-21T11:21:11,56157.74,0.00,88647594.66
synb1_txn_8cad699d1e5919f09ec67aed,2025-04-22T10:10:46,1996725.00,0.00,86650869.66
synb1_txn_b237e896795d83b95d6e1856,2025-04-27T09:00:00,2391439.99,0.00,84259429.67
synb1_txn_92f152a28aa4508bba46184b,2025-04-27T09:00:00,1375946.76,0.00,82883482.91
synb1_txn_3cd88108959d1058a4992726,2025-04-27T09:00:00,165113.61,0.00,82718369.30
synb1_txn_db977906beca5b243c25e848,2025-04-30T11:18:29,57030.46,0.00,82661338.84
synb1_txn_115143c3d64bf7a61f86e9df,2025-05-03T09:00:00,67434.11,0.00,82593904.73
synb1_txn_ee420c6981490ba25ba84b38,2025-05-03T17:04:19,16152418.55,0.00,66441486.18
