transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_7b079fa5d54d2fb2f6e522c6,2024-01-01T09:00:00,流入,3260000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_060c3b68f8bb94ef829a92d3,2024-01-02T09:00:00,流出,1262.54,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a54ad0414d5bdb4dba9c32c9,2024-01-02T15:00:00,流入,65454.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66665b1aeaddb3abbfe9c423,2024-01-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_14b360edb95fe20cb6ab282b,2024-01-06T09:00:00,流出,64477.01,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8f88e00ce382283be6a5551,2024-01-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2f925b6bcf08ddbaa631c3e,2024-01-08T09:00:00,流出,5751.40,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_442d9b0d99c9daa9fdc430f6,2024-01-08T09:00:00,流出,66644.07,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ffeb2ac6aa4111d5d71a6961,2024-01-10T09:00:00,流出,5428.97,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cce60094634d6e5e473c794b,2024-01-10T15:00:00,流入,103655.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97993ea3570002b3e7a90097,2024-01-11T09:00:00,流出,154848.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fce41c113209149d4cf2c888,2024-01-12T15:00:00,流入,151626.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5fd3f73f1a2a0101c2aee402,2024-01-14T15:00:00,流入,43347.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8bd064e0a2e2d4a696d62cd2,2024-01-17T15:00:00,流入,1891.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2843afbbf839a3ab55283364,2024-01-17T15:00:00,流入,12205.07,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fafd41277a9d157e998316b,2024-01-18T15:00:00,流入,3590.65,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9afa3a4be702238ebfe04ee2,2024-01-20T15:00:00,流入,118726.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6dd181484e432472257288c,2024-01-22T09:00:00,流出,57.09,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b64ff8edbf18815eb38f5d4e,2024-01-24T09:00:00,流出,257230.17,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fba73e05ff7aaa873b676947,2024-01-25T09:00:00,流出,290000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dfe557e40c4f75a1d3603388,2024-01-25T15:00:00,流入,27503.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d4790acfbad20f42f9246819,2024-02-04T09:00:00,流出,97947.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_985e20bcb423d3f106826f93,2024-02-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_59d32c2df48d7a53990bd230,2024-02-06T15:00:00,流入,118691.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ea8858b71ab7ce17da842d0,2024-02-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_999b1811c520fad5c324ee8f,2024-02-07T15:00:00,流入,67165.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_233d4a50d4330d12f719d9f0,2024-02-08T15:00:00,流入,4960.11,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_740b3d4e8c8c6ecf0d3a9947,2024-02-09T09:00:00,流出,208662.91,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ac9c100a34044d58b3e8e26,2024-02-10T15:00:00,流入,86906.41,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c999f058f57c8f6bdc4dbfda,2024-02-13T15:00:00,流入,19773.78,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_faa49fff4cb551dff4772910,2024-02-14T09:00:00,流出,54860.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_638d1ab27d6b04b8bb9352af,2024-02-17T09:00:00,流出,4464.42,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f939b893b3e247f8a168cb5,2024-02-17T09:00:00,流出,1930.99,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5668cda06869fd014d7a0da1,2024-02-17T09:00:00,流出,746.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b86ff3cfac7682713664a007,2024-02-17T09:00:00,流出,77514.31,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf89217e38df5c46599d4645,2024-02-17T09:00:00,流出,34100.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1a009fb577ecf12680bdae2,2024-02-17T09:00:00,流出,66324.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f2e348b7c5df32b90d8b235f,2024-02-18T09:00:00,流出,27628.80,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38ea67c7a85bdbfa2329f457,2024-02-18T09:00:00,流出,8800.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_98d8b4460ab4ab49f1f4e2a2,2024-02-18T09:00:00,流出,1056.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0e0fc69a0466f25c2228d958,2024-02-18T09:00:00,流出,31489.25,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b977e65476f529c3cfe5e1f6,2024-02-20T09:00:00,流出,5357.69,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_497b4d0c94978b7391c32c82,2024-02-22T09:00:00,流出,230000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8cecd256c97b2ea86390da77,2024-02-25T15:00:00,流入,58985.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_81d917ffc5f8c3bda5c2a741,2024-02-25T15:00:00,流入,21377.21,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_93868fa24ab3a95c1e719a51,2024-02-25T15:00:00,流入,131528.54,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a49af77bcf41136e3fa92dc1,2024-02-25T15:00:00,流入,14342.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9a9437723f6de4c82d3c80e1,2024-02-26T15:00:00,流入,85780.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a332b76c69111a3a2e90cf5a,2024-02-26T15:00:00,流入,156488.88,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f450b67e8f375f5dcbc5a6db,2024-03-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0f54021b420185672d78a40d,2024-03-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d1ac25426ae5b2a319fcd372,2024-03-07T09:00:00,流出,130756.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_09280c30a9fda9afa25def91,2024-03-08T15:00:00,流入,157359.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc9f074241b386d87a7f9df3,2024-03-12T09:00:00,流出,3758.11,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a827eb476a527c60c4684465,2024-03-13T09:00:00,流出,14143.35,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c89ef5f42e72d1df23bc1c3b,2024-03-13T15:00:00,流入,16869.70,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_694032f6b0ea15e05dc0e485,2024-03-13T15:00:00,流入,37944.35,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_02685ba901d59911e4bed26f,2024-03-14T09:00:00,流出,7689.66,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_76304be89ce56544e92751ca,2024-03-15T15:00:00,流入,87735.49,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4e4ae47e70d44edaa70baa64,2024-03-16T15:00:00,流入,12446.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b8b201a506f8bfc3547e4ef1,2024-03-16T15:00:00,流入,43876.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8ceff79fdc2b25313a0f85d,2024-03-17T15:00:00,流入,192104.62,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f31cdaf4ef94aa9f854f1d23,2024-03-18T09:00:00,流出,16654.40,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_997d5faf44c04ce9b271a932,2024-03-18T09:00:00,流出,6900.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_932da55c85f512170bbe0e6b,2024-03-18T09:00:00,流出,828.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_947fcee3b4701f8b7800d001,2024-03-19T15:00:00,流入,1532.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_82877e63e477d5f1822f463a,2024-03-19T15:00:00,流入,11195.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31138c45bf73e6143871fdca,2024-03-20T15:00:00,流入,1135.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cea238ab7354c8501f528757,2024-03-20T15:00:00,流入,75403.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e553ede31abd3f99dcb71a6,2024-03-22T09:00:00,流出,100.01,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97556ca159761a3a23cc5669,2024-03-22T09:00:00,流出,466641.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a5f00b0c90ac488c7696938,2024-03-23T15:00:00,流入,56249.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e833b1660ec1989ac73a64ca,2024-03-24T15:00:00,流入,6012.62,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f16d3a42cd084874b9be222,2024-03-25T09:00:00,流出,4710.33,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_739767135808951569f0b970,2024-03-25T15:00:00,流入,140957.93,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_76edf3f0f83080d69592ef97,2024-03-28T15:00:00,流入,11176.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_70c227db49005fc8d73a416d,2024-04-02T09:00:00,流出,68616.80,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8e6e326582646595320d8af,2024-04-02T15:00:00,流入,7910.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6feef726036f6d28ee49e2a3,2024-04-02T15:00:00,流入,46598.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39e6406c515072943ee03664,2024-04-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4c3ea5a04e70bdb45294e45,2024-04-05T15:00:00,流入,177102.99,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_651d6e7058df2ada280352ee,2024-04-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f73d61582a1ee7434def287e,2024-04-07T15:00:00,流入,42660.64,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9dcb561fd96867185dc4f134,2024-04-10T15:00:00,流入,21629.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1209c0f0680877acc398c468,2024-04-10T15:00:00,流入,30499.56,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_03c9409c6d08db5ac0030473,2024-04-11T15:00:00,流入,39834.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3e0a085ae9e6b86207daa5cd,2024-04-12T09:00:00,流出,59797.38,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b17d31f34d09b54b10a4f59,2024-04-12T15:00:00,流入,55577.52,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3d7e770ae56b38d8f3a577af,2024-04-13T09:00:00,流出,5208.27,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_820eb1f15c3f0a9c10c419fa,2024-04-13T09:00:00,流出,1906.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6991eeb129a48f3ff36d65e4,2024-04-13T09:00:00,流出,178715.45,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_84b8acd40be24376ac2bce8e,2024-04-13T15:00:00,流入,80039.11,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_96cdb60fdfb1845f5360a20b,2024-04-14T09:00:00,流出,104821.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e38ffb8967c94d984f29b7ee,2024-04-15T15:00:00,流入,172920.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_87d28c58ad435798d6616d79,2024-04-17T09:00:00,流出,75070.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7fe549f0337450145f3966b1,2024-04-17T15:00:00,流入,162967.10,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28462362aaa446c33090c459,2024-04-18T09:00:00,流出,30602.93,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e211500fe58fb4be547b9ecf,2024-04-18T09:00:00,流出,9600.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8fe817286fe42fe781d58f74,2024-04-18T09:00:00,流出,1152.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad5e7f3ef454f3b42d4fb40b,2024-04-21T09:00:00,流出,4111.99,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_376ca8203af2bf12a7030b38,2024-04-22T09:00:00,流出,90985.91,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe8cf0ca9b23dae96c29a3cf,2024-04-23T09:00:00,流出,2365.10,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06228efa26f91f03ee5ebf67,2024-04-23T09:00:00,流出,3886.38,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6390b65a0398a41b4b7f7443,2024-04-23T15:00:00,流入,12347.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_beafceee91c04c0d1c3e43e5,2024-04-24T15:00:00,流入,1912.37,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46999739cfbb686336612ee7,2024-04-28T09:00:00,流出,814.64,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc7ab1083a49d028062b948b,2024-05-02T09:00:00,流出,33989.92,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42a7b0ba998a38eb9f4d7ed7,2024-05-03T09:00:00,流出,47199.53,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2bf234a579dc8b83d17943a5,2024-05-04T15:00:00,流入,39979.48,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_018a3ba6b02c3b3cfd465019,2024-05-05T09:00:00,流出,19500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c95f81228e630f1c9655bd7,2024-05-05T09:00:00,流出,8065.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f6c50f5a58c43d4518aaaf0e,2024-05-07T09:00:00,流出,3584.11,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c0c17be1e6024f1eaa564e71,2024-05-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c2077c99c792d087b52b56e,2024-05-07T09:00:00,流出,20176.42,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bb03d7707afc1a9b547b8c86,2024-05-07T09:00:00,流出,241396.64,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a24fa39a10115a9576278e3b,2024-05-07T15:00:00,流入,12788.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5839e29ed100e627b750d43c,2024-05-07T15:00:00,流入,46057.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b201dd53e1c71028f24f17d3,2024-05-09T09:00:00,流出,939.03,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6a5552146614e7e294efee26,2024-05-09T15:00:00,流入,51091.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05a80a0ff129ed1a81be155d,2024-05-10T15:00:00,流入,63897.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb65b26cd6a9791abfb8cdde,2024-05-11T09:00:00,流出,2478.88,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39fb3d38207c48442bf14f27,2024-05-11T15:00:00,流入,137992.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4fde721ba6c52c6c4a401b1e,2024-05-12T15:00:00,流入,33186.32,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6be84ebdfc21ef2ab173ff51,2024-05-13T09:00:00,流出,5497.98,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7917d7911d2af5dc6b4f5283,2024-05-17T15:00:00,流入,326956.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9547e12a532d6bb77b4545ff,2024-05-18T09:00:00,流出,119940.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_221f7336e3681b333554d706,2024-05-20T09:00:00,流出,20206.13,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a9bbc1d42d11d25e02df186,2024-05-20T09:00:00,流出,7800.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_be6a03162670c8a412948a9d,2024-05-20T09:00:00,流出,936.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7a21fe8a8cceba1da7b0955a,2024-05-23T09:00:00,流出,7704.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3d6e3f5a0be805c6090a84ac,2024-05-23T15:00:00,流入,9833.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cc432143f17b7e669c524ce7,2024-05-24T09:00:00,流出,159581.52,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58b6186e5800c19317279cb3,2024-05-26T15:00:00,流入,296.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_12315e7a177132e9ffb59d4a,2024-05-26T15:00:00,流入,67378.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b5cf83fdc758e0a0132cd97e,2024-05-27T15:00:00,流入,53939.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e425b6c8c5916b48e483219a,2024-05-27T15:00:00,流入,140601.81,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a58d306b6a923df57282265,2024-05-28T09:00:00,流出,74544.66,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31b28083e8aa6f56586b5c0a,2024-06-02T09:00:00,流出,4231.02,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78957d039686cbf0380853fe,2024-06-02T15:00:00,流入,202237.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
