calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1800000.00,0.00,1,1800000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_585b96e8bd4ec89604398c09,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,30830.62,1,1769169.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_6b0206d90a91877ccd49d7c8,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,79800.00,115870.00,4,1733099.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_42511b5f8a25192c62edde3f,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,1733099.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,44940.00,0.00,1,1778039.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_c433f91c629ecf25facf338c,trusted,weekday_rule,base_calendar,True,5,2024-01-06,complete
2024-01-06,36120.00,36192.47,2,1777966.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_2de076a39a56044fccd4b5eb,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-08,complete
2024-01-07,0.00,0.00,0,1777966.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-08,0.00,0.00,0,1777966.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2024-01-09,complete
2024-01-09,0.00,0.00,0,1777966.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-10,complete
2024-01-10,0.00,0.00,0,1777966.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2024-01-11,complete
2024-01-11,0.00,0.00,0,1777966.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2024-01-12,complete
2024-01-12,0.00,0.00,0,1777966.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2024-01-13,complete
2024-01-13,27300.00,123308.39,3,1681958.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_c2e5e7b3dcc3c7a5617ebed9,trusted,historical_transaction_override,historical_transaction_override,True,12,2024-01-15,complete
2024-01-14,0.00,0.00,0,1681958.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-15,0.00,0.00,0,1681958.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2024-01-16,complete
2024-01-16,0.00,0.00,0,1681958.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2024-01-17,complete
2024-01-17,0.00,0.00,0,1681958.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2024-01-18,complete
2024-01-18,30240.00,0.00,1,1712198.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_8ee018cb78c1e006e28b3256,trusted,weekday_rule,base_calendar,True,16,2024-01-19,complete
2024-01-19,0.00,34291.00,1,1677907.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_db30ea69aff20a7304d7298d,trusted,weekday_rule,base_calendar,True,17,2024-01-21,complete
2024-01-20,0.00,0.00,0,1677907.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-21,37380.00,22787.85,2,1692499.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_9376fff61db19ae551946450,trusted,historical_transaction_override,historical_transaction_override,True,18,2024-01-22,complete
2024-01-22,0.00,0.00,0,1692499.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2024-01-23,complete
2024-01-23,0.00,0.00,0,1692499.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2024-01-24,complete
2024-01-24,0.00,0.00,0,1692499.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2024-01-25,complete
2024-01-25,0.00,0.00,0,1692499.67,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,22,2024-01-26,complete
2024-01-26,0.00,25468.79,1,1667030.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_0a81bea4eb4a9c329e77a852,trusted,weekday_rule,base_calendar,True,23,2024-01-29,complete
2024-01-27,0.00,0.00,0,1667030.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-28,0.00,0.00,0,1667030.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-29,0.00,0.00,0,1667030.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,24,2024-01-30,complete
2024-01-30,0.00,0.00,0,1667030.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2024-01-31,complete
2024-01-31,0.00,0.00,0,1667030.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2024-02-01,complete
2024-02-01,0.00,0.00,0,1667030.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2024-02-02,complete
2024-02-02,0.00,20150.73,1,1646880.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_b194f89f2c6c857cb14713ca,trusted,weekday_rule,base_calendar,True,28,2024-02-03,complete
2024-02-03,79800.00,25870.00,3,1700810.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_7477a6085a80aa67664c0bb8,trusted,historical_transaction_override,historical_transaction_override,True,29,2024-02-05,complete
2024-02-04,0.00,0.00,0,1700810.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-05,44940.00,0.00,1,1745750.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_68ef4922e8586783d1259f8f,trusted,weekday_rule,base_calendar,True,30,2024-02-06,complete
2024-02-06,36120.00,0.00,1,1781870.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_4ed6dbd37fd908372498455f,trusted,weekday_rule,base_calendar,True,31,2024-02-07,complete
2024-02-07,0.00,0.00,0,1781870.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2024-02-08,complete
2024-02-08,0.00,34291.00,1,1747579.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_fc6c8f2b95adf728dad83aeb,trusted,weekday_rule,base_calendar,True,33,2024-02-09,complete
2024-02-09,0.00,0.00,0,1747579.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,34,2024-02-12,complete
2024-02-10,0.00,0.00,0,1747579.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-11,0.00,0.00,0,1747579.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-12,0.00,0.00,0,1747579.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2024-02-13,complete
2024-02-13,27300.00,84435.00,2,1690444.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_b053a276b4ecf93a2607fa24,trusted,weekday_rule,base_calendar,True,36,2024-02-14,complete
2024-02-14,0.00,0.00,0,1690444.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,37,2024-02-15,complete
2024-02-15,0.00,0.00,0,1690444.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2024-02-16,complete
2024-02-16,0.00,0.00,0,1690444.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,39,2024-02-18,complete
2024-02-17,0.00,0.00,0,1690444.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
