transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_585b96e8bd4ec89604398c09,2024-01-01T09:00:00,流入,1800000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b0206d90a91877ccd49d7c8,2024-01-02T09:00:00,流出,30830.62,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0772a7fccafdc7d639c395fb,2024-01-03T09:00:00,流出,90000.00,开工设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6794342c70664d47643bcfa2,2024-01-03T09:00:00,流出,25870.00,固定场地租赁合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c1b1a7d925fff60c4addb99,2024-01-03T15:00:00,流入,33180.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42511b5f8a25192c62edde3f,2024-01-03T15:00:00,流入,46620.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c433f91c629ecf25facf338c,2024-01-05T15:00:00,流入,44940.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b5aac5813282e796966bd45,2024-01-06T09:00:00,流出,36192.47,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2de076a39a56044fccd4b5eb,2024-01-06T15:00:00,流入,36120.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe50c4f0a2594f575bd7c1ac,2024-01-13T09:00:00,流出,84435.00,在岗服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5107cb700e1ed71858eddd7,2024-01-13T09:00:00,流出,38873.39,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c2e5e7b3dcc3c7a5617ebed9,2024-01-13T15:00:00,流入,27300.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ee018cb78c1e006e28b3256,2024-01-18T15:00:00,流入,30240.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db30ea69aff20a7304d7298d,2024-01-19T09:00:00,流出,34291.00,本月持续合规和外部支持服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46d0f617586d750d3429adee,2024-01-21T09:00:00,流出,22787.85,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9376fff61db19ae551946450,2024-01-21T15:00:00,流入,37380.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0a81bea4eb4a9c329e77a852,2024-01-26T09:00:00,流出,25468.79,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b194f89f2c6c857cb14713ca,2024-02-02T09:00:00,流出,20150.73,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4bb1f39bc03e2bd43a04db0f,2024-02-03T09:00:00,流出,25870.00,固定场地租赁合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e668769e892c4b2637274a4e,2024-02-03T15:00:00,流入,33180.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7477a6085a80aa67664c0bb8,2024-02-03T15:00:00,流入,46620.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68ef4922e8586783d1259f8f,2024-02-05T15:00:00,流入,44940.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ed6dbd37fd908372498455f,2024-02-06T15:00:00,流入,36120.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc6c8f2b95adf728dad83aeb,2024-02-08T09:00:00,流出,34291.00,本月持续合规和外部支持服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d9f4c56f4b6fea264e77f14,2024-02-13T09:00:00,流出,84435.00,在岗服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b053a276b4ecf93a2607fa24,2024-02-13T15:00:00,流入,27300.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e69ac65569710380fa9d300,2024-02-18T15:00:00,流入,30240.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92233f152e8d5b59a0480f8a,2024-02-21T15:00:00,流入,37380.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3f4e1c2062f7c1b83d5f0a70,2024-02-23T09:00:00,流出,24180.89,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9477d71185738c3ba423747,2024-02-24T09:00:00,流出,34256.25,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7dfb06bd452cf661ec2b0e9b,2024-02-25T09:00:00,流出,58437.13,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_868b3a0126a087ce3a668371,2024-02-28T09:00:00,流出,2557.80,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_174736de224aa4ccbcf5933f,2024-02-28T09:00:00,流出,306.93,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_10fb97d666455b6ee72358b5,2024-03-02T09:00:00,流出,33675.65,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e50bb13b64015890cddad58,2024-03-03T09:00:00,流出,25870.00,固定场地租赁合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21ccc0964dc0ac10f69ac8e3,2024-03-03T09:00:00,流出,11612.28,已签本月到货采购合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a8f4e8821fe20de943c2c8a6,2024-03-03T15:00:00,流入,33180.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aaaa143700e9613c38b09168,2024-03-03T15:00:00,流入,46620.00,本月已交付服务合同回款,仅供人工查看；不得作为模型输入或导入数据库
