calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f3fcc4fa72d965db5289439,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,96542.97,2,3503457.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_d2f3a9b37ef37781b654e13a,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3503457.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3503457.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3503457.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,164513.96,1,3338943.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_d992c8f11341ed191ddba2c6,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-19,complete
2025-01-18,0.00,0.00,0,3338943.07,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,66329.12,2,3272613.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_2933c7253407c97b6c7cb06e,trusted,historical_transaction_override,historical_transaction_override,True,14,2025-01-20,complete
2025-01-20,79800.00,47399.13,2,3305014.82,last_posted_transaction_or_prior_closing_balance,synb1_txn_722d8499a31fedf9150686f9,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,38431.72,1,3266583.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_34f05eb453dedd9ba172be8f,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,68696.56,3,3197886.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_78aeef6ec0204012380f94c3,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,47399.14,1,3150487.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_bb31ffbc36bdffed67e6e8fc,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,188427.27,18447.23,3,3320467.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_596a160fe49e4cb256bfd362,trusted,weekday_rule,base_calendar,True,19,2025-01-25,complete
2025-01-25,0.00,123897.48,2,3196569.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_8a851520ee0a3d05a63edf0e,trusted,historical_transaction_override,historical_transaction_override,True,20,2025-01-26,complete
2025-01-26,149124.70,0.00,2,3345694.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_02603e6b00c0a01ed81095f8,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,21,2025-01-27,complete
2025-01-27,49636.36,29752.06,2,3365578.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_03aebcc048db86af95af13e7,trusted,weekday_rule,base_calendar,True,22,2025-01-28,complete
2025-01-28,120272.73,0.00,1,3485851.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_91b99babc93bb5a07bf474f7,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-01-30,complete
2025-01-29,0.00,0.00,0,3485851.69,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,71375.30,34710.75,3,3522516.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_d5866f47ad04dbd708e4fcfb,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-01-31,complete
