transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_713b297fe382d5a2089592b9,2024-01-01T09:00:00,流入,4672022.95,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52469e64ca7c154697b17593,2024-01-02T09:00:00,流出,1234.71,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c77a275c52e6431f5ab9385,2024-01-04T09:00:00,流出,5152.56,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_35a77e951d371c4ed54440db,2024-01-05T09:00:00,流出,58900.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_94e8027f097dc086b79070af,2024-01-05T15:00:00,流入,223984.88,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ecae22257480de718509c7d,2024-01-06T15:00:00,流入,78986.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b858b6f5da646684f2fd7fde,2024-01-07T09:00:00,流出,155000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9d86a54d5c1fc40b6146ee3,2024-01-07T09:00:00,流出,296023.51,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf0e4d5f5b7148c3a8c5bdf6,2024-01-08T09:00:00,流出,8385.82,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_899eb68c1d33a708747afad0,2024-01-10T15:00:00,流入,6811.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_106471804301cd0d64a09fde,2024-01-11T09:00:00,流出,504.17,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cdc80fb405b8f34b75ddfc40,2024-01-11T15:00:00,流入,1042304.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_769c8b82981ea9d6bc716743,2024-01-12T09:00:00,流出,14318.82,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af14962d8433c5e1329d0ff7,2024-01-14T09:00:00,流出,248179.71,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e034cfc318b5eb781465b3cb,2024-01-16T15:00:00,流入,129980.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92595050482a25d24d65ad9e,2024-01-17T09:00:00,流出,41866.76,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c4dd16b53dbb1cdaa47d5cf,2024-01-17T09:00:00,流出,7499.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3121df974648a7829871d256,2024-01-21T15:00:00,流入,73975.52,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_333f9d6a122e4840d8557b0d,2024-01-23T09:00:00,流出,1268735.08,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6423ffc85bf49efff3b108cf,2024-01-23T15:00:00,流入,671796.41,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53b43f4867d002a1730a5ae6,2024-01-27T09:00:00,流出,21922.74,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69fb2754c7824346ac487990,2024-02-02T15:00:00,流入,275747.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e07b74e785f98a61b3b967d4,2024-02-03T09:00:00,流出,945740.05,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4e60056b6162da37a151ad66,2024-02-03T15:00:00,流入,1066114.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69fd39f39393fdda84ef90ad,2024-02-04T09:00:00,流出,255417.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15239df3d7424db2f9e84515,2024-02-05T09:00:00,流出,58900.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f6ef8b6885b89b80f15735c4,2024-02-05T15:00:00,流入,8245.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fffd83eb159e851531937c40,2024-02-06T09:00:00,流出,14817.08,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e834e652583e4691f3582a0,2024-02-07T09:00:00,流出,155000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_91e703b1fc049c0044938b8e,2024-02-07T15:00:00,流入,103348.44,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba78ee8f89a2c79a9ccfafc2,2024-02-09T15:00:00,流入,65055.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e1131b22bc4e7b75e46daff,2024-02-11T09:00:00,流出,540235.52,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b868fcaac83932f7559193c3,2024-02-12T09:00:00,流出,8613.80,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0166e2fd481dbb611c028cfc,2024-02-13T15:00:00,流入,871623.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_681b87c84aa2d7c63df9f1f6,2024-02-15T09:00:00,流出,272.22,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0f9399b8bcd2d7b0780291c3,2024-02-18T09:00:00,流出,157804.56,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_968803a04d39cf1af23a3105,2024-02-18T09:00:00,流出,34810.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d95087a7e84351f0c9c50886,2024-02-18T09:00:00,流出,4177.20,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_07a01f8b2b9c834cc80d9dba,2024-02-20T09:00:00,流出,303800.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7faccda2f244d1cbcafc5bc0,2024-02-20T15:00:00,流入,350795.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57a0bd3f62e3a278467229d9,2024-02-24T09:00:00,流出,18038.66,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b6708650e7a97e0770a7b7b,2024-02-26T09:00:00,流出,522869.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0462c0dea57e57b95be5d0bb,2024-02-27T15:00:00,流入,458212.99,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a7c5686d7e6ff36a87ab010a,2024-02-28T09:00:00,流出,4072.04,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b12e71d84ec42be298782ff6,2024-03-03T09:00:00,流出,137667.60,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_baa1317d8ca8f17f9ed8ff62,2024-03-05T09:00:00,流出,5114.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7711f7f41e52df7e92bf1f98,2024-03-05T09:00:00,流出,58900.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8cd41833a7a9bdb6d051485c,2024-03-05T09:00:00,流出,331624.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_86cfb033109204813620035a,2024-03-06T09:00:00,流出,10307.85,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_453c38bbc4e10a88415faaba,2024-03-06T15:00:00,流入,518713.00,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3cf31702fc307784b2a9b5e7,2024-03-06T15:00:00,流入,513159.29,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31fd37ac89f3b86e4a9a4700,2024-03-07T09:00:00,流出,155000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e34336ec8c00efec72d67e16,2024-03-12T09:00:00,流出,12081.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c335f2a451e7cdcd4902a07c,2024-03-12T15:00:00,流入,243347.54,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fcda0e23f1cec35e059888b8,2024-03-13T09:00:00,流出,11895.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bbbdcebb41643688ab4fb8df,2024-03-14T09:00:00,流出,20014.79,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61e6bd90cd454dac372058b8,2024-03-15T15:00:00,流入,138067.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba55750f5fb1f73a4d0a6dcd,2024-03-15T15:00:00,流入,131266.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc32a120b0804652f97047d4,2024-03-16T09:00:00,流出,1762.46,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_def00ed577b06504d672e065,2024-03-16T09:00:00,流出,131418.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bd9dc1ecf54f735311cd3e96,2024-03-16T09:00:00,流出,91535.61,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e588449fd747b7a737f82501,2024-03-18T09:00:00,流出,131486.25,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7a30d475a0b28409e97d0ba7,2024-03-18T09:00:00,流出,30406.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_12c7faf0f54fb1314a4eec4e,2024-03-18T09:00:00,流出,3648.72,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe50ab78ad3739870c227551,2024-03-18T09:00:00,流出,270558.61,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
