transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_10fff9c0f562808d87cf3b00,2025-01-01T09:00:00,流入,420016.55,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cae66e425a87bc739df19789,2025-01-01T09:39:54,流出,12819.57,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb9c03fd446cc67a95944332,2025-01-11T09:27:13,流出,12408.69,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b1a098d094ed1833fabec7dd,2025-01-15T17:22:56,流出,12159.80,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6fc66af7fe041657f7bb3da,2025-01-16T14:50:48,流出,4830.18,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b7efd6a3f7af5184f56c752,2025-01-19T11:25:26,流出,10007.94,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb9d07945c17258a222c5b70,2025-01-24T13:54:36,流出,4884.42,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bbe356519f723964153556c5,2025-01-24T17:11:47,流出,5589.03,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_50afba2a56c8095273f5cabe,2025-01-26T13:45:25,流出,4010.24,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5cbebdcea5932239f4a5be53,2025-02-01T17:53:28,流出,4871.63,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1cb1596a641633a92c152640,2025-02-03T09:00:00,流入,1777350.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_36caf697cf262ed435754db3,2025-02-04T15:45:07,流入,130215.19,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_12f2cfe2adefb582c1c517c4,2025-02-05T15:01:03,流出,267365.09,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_96a92086a2ac4b90c21d3059,2025-02-08T10:48:27,流出,12541.64,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a724443253fe6e5c4c872894,2025-02-09T14:39:35,流出,11806.52,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_df0282a6b71c9d8cfb94c6f7,2025-02-10T09:21:20,流入,116425.97,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d3b8429933c9dffe7e1cfe15,2025-02-12T11:13:32,流出,5153.91,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b6dc89d6a751ac03a3ebcc56,2025-02-17T14:23:55,流出,297082.02,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb95ea3cf8022b4d63c97854,2025-02-20T11:02:16,流出,3914.71,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_485f876bf7d3513d5416f0fc,2025-02-20T11:36:15,流出,5373.62,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af59877d56b60ce1ade79d47,2025-02-20T12:52:27,流出,297023.86,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5d68807f2d048296d92a1f2,2025-02-20T13:04:06,流出,11145.14,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_041d67e998b7ab4055b9e293,2025-02-23T12:37:01,流出,251081.84,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1fc8987fbceaaa8a9d295d5d,2025-02-24T13:05:43,流入,137317.12,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bee323d3f6cfd621e9834bd3,2025-02-28T12:14:12,流出,11902.70,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b56bc7985130b3f62b6abb7f,2025-02-28T13:47:50,流入,128155.50,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_657bf46ea48c62b8242810ec,2025-03-01T10:43:03,流出,4464.45,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46a2a8f92b4180c9e0c3a346,2025-03-03T09:00:00,流出,5453.79,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f9c196538570ddad248e6a3,2025-03-05T15:16:39,流出,9961.10,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5e2cc78d93041a13bc5b3cdd,2025-03-07T13:42:09,流入,244248.14,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_88f4dca12472ae82a7a944a6,2025-03-08T12:09:59,流出,371981.43,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95e9d48479cf7dab12d128b6,2025-03-09T14:05:17,流出,360533.99,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
