transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_91f667d257198822cff23e74,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_869ee8bf557751be3e6d3a31,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f6ddac4974a067b95aa2efcb,2024-01-03T09:00:00,流出,34039.19,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4abcc2b5d89a15b188963514,2024-01-03T09:00:00,流出,67216.65,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_41e07e466164407414e20e37,2024-01-07T09:00:00,流出,152928.67,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8cbc4799f12dbeb19f45481b,2024-01-14T09:00:00,流出,63855.81,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8a302a3f307717ee4cd56d6,2024-01-16T09:00:00,流出,87381.64,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cfabc7e4f781404075f74ebf,2024-01-19T09:00:00,流出,84020.85,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3edf0650769fd19c8ad65fc0,2024-01-21T15:00:00,流入,42291.15,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc3451b6d121b5b0b8dd4062,2024-01-25T09:00:00,流出,84332.43,合规、技术支持及外部服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9877c4c7312bbc84f793b7d2,2024-01-25T15:00:00,流入,27066.34,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8a438ca14da767533a17ac6e,2024-01-26T09:00:00,流出,67216.65,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f58d386235fceaa69511f01a,2024-01-26T15:00:00,流入,6889.95,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_30be959fa5e3987dda7be9cb,2024-01-28T09:00:00,流出,77299.14,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9cb5c9ae9f4bd09b499bccc4,2024-01-29T15:00:00,流入,23683.04,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2217a48e806172a26a397d89,2024-01-30T15:00:00,流入,14545.45,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7008eec2a54ba6ea7e41cb23,2024-01-31T15:00:00,流入,20166.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f4120f746f27888eac47da1e,2024-02-02T15:00:00,流入,43982.80,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d47a9da1b9250c08ed6ae38d,2024-02-03T09:00:00,流出,34039.19,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bc92f14d5b62b279110ec757,2024-02-03T15:00:00,流入,18373.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7dfd0e6ad005022f6d6fed82,2024-02-04T15:00:00,流入,13444.13,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e028ea804b97588ee12ea3a,2024-02-05T15:00:00,流入,15302.77,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_02d2d04d5f52aead72955664,2024-02-06T15:00:00,流入,37216.21,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_515c2f2cf36beaffdaf42870,2024-02-07T09:00:00,流出,152928.67,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_368f3415a666bf949efc485f,2024-02-07T15:00:00,流入,13779.90,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e46d35cfee8b64a7b454d13,2024-02-08T15:00:00,流入,20166.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5e810a0223fc1de2ec967df2,2024-02-09T09:00:00,流出,54314.71,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_91c5f738a428b05ed273bda3,2024-02-09T15:00:00,流入,15302.77,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b00df280b937334656d9b4c9,2024-02-10T15:00:00,流入,21991.40,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef6111e170a5e8987be05728,2024-02-11T09:00:00,流出,54314.66,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c248e82baad94211989d2dda,2024-02-11T15:00:00,流入,10717.70,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c384ae48d1c07adf78da5e36,2024-02-12T15:00:00,流入,15364.72,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8e0bb9303ec28746f2671cf,2024-02-12T15:00:00,流入,17800.59,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_252d5033a11581e19b8b0361,2024-02-13T15:00:00,流入,36344.08,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7263f729610855affaebf0f8,2024-02-14T09:00:00,流出,70577.48,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_252a00b51fd4dd595920d2b8,2024-02-14T15:00:00,流入,25374.69,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31be1e571538dcdf617d0bcc,2024-02-15T15:00:00,流入,15311.00,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5daadbe376eb2f06b4cbf6d1,2024-02-16T09:00:00,流出,60494.98,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a0abb1133e94948d8c76990e,2024-02-16T09:00:00,流出,31036.95,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92a5c81c2fe6fe648eedae2c,2024-02-16T15:00:00,流入,18245.61,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a5a86dbccf571f91e2b48d0c,2024-02-16T15:00:00,流入,13350.44,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f9d8cc4112633032d873697,2024-02-17T15:00:00,流入,36344.08,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f541eb5b954bf49515e3d530,2024-02-18T09:00:00,流出,96990.46,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_62956f53c3d3f86cb83485e8,2024-02-18T15:00:00,流入,33832.96,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6c7076efa2e3e415b4537b65,2024-02-19T15:00:00,流入,18373.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0106ca415454c7cd3546320c,2024-02-20T15:00:00,流入,25927.97,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ce2e6effb1bb931977871ce9,2024-02-20T15:00:00,流入,7120.23,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb20656b0c0da80c2a3ccea1,2024-02-21T15:00:00,流入,24867.00,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d71cbe3d5e891233e76af203,2024-02-23T09:00:00,流出,38796.18,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_553302551987b75559510861,2024-02-23T15:00:00,流入,11483.28,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aca930f3be1b317860a38571,2024-02-24T15:00:00,流入,14404.43,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_897332d37183b405c613cb6d,2024-02-24T15:00:00,流入,9790.32,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f145588261ac993903224804,2024-02-25T09:00:00,流出,84332.43,合规、技术支持及外部服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa0c0903e310308c6b5767e1,2024-02-25T09:00:00,流出,100870.08,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_22bafaea92bebd5c2fc48e94,2024-02-25T15:00:00,流入,36344.08,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_964785f65d12a3587e496e98,2024-02-25T15:00:00,流入,15957.03,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f9d3bce37d29b93b6007041,2024-02-25T15:00:00,流入,38264.01,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e2b1d855bd6c6121000d9c47,2024-02-28T09:00:00,流出,35607.70,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e01b515193b30df55090724f,2024-02-28T09:00:00,流出,10400.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_16ea137746a95597310f535e,2024-02-28T09:00:00,流出,1248.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bd6d4311793f2ad40b012493,2024-02-28T15:00:00,流入,18245.65,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cc67a186ce6f92ab8b5f4773,2024-02-28T15:00:00,流入,8010.26,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b882a086f5961d890d9dc203,2024-02-29T15:00:00,流入,49734.01,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ee23f8ab96273f0942809ae4,2024-02-29T15:00:00,流入,13563.48,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c37f6475336d92efc775c10,2024-02-29T15:00:00,流入,46582.28,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_70c4bceac777c447eeeb5fed,2024-03-01T15:00:00,流入,9066.14,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4128690f2da2d7bf8fac2ff0,2024-03-01T15:00:00,流入,9796.87,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_331da80a57739b0d607d904d,2024-03-03T09:00:00,流出,34039.19,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_03a34c2af024f9fcd17d88ff,2024-03-03T15:00:00,流入,19580.65,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42e163af406514145befd2ad,2024-03-04T15:00:00,流入,22954.21,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e9078f5ede169472832f8e86,2024-03-04T15:00:00,流入,11169.92,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d7e1918b442e1fd1fd11dd8,2024-03-04T15:00:00,流入,36600.36,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6a97ce2c8ddedd3d4a5e575,2024-03-05T15:00:00,流入,28331.69,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_32180bb1529e3c39d1434c3a,2024-03-05T15:00:00,流入,8164.06,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a13a08c330a05c908beee79,2024-03-06T15:00:00,流入,30914.52,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6928c60da9ba45bf477b8aea,2024-03-07T09:00:00,流出,152928.67,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3b48dccfbbb422ff4d6d4e3f,2024-03-07T15:00:00,流入,24920.83,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1308e345e98090432995f878,2024-03-08T15:00:00,流入,20744.14,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_373e014640895f87fb7c97ba,2024-03-08T15:00:00,流入,31609.40,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_41983fcd9435ab40b2b2f48f,2024-03-09T15:00:00,流入,22665.35,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af99ea975aaf1313846865c7,2024-03-09T15:00:00,流入,10613.28,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b6ebea399c3489916feec87,2024-03-10T15:00:00,流入,37940.54,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e1028c4ef3a2d150941b7827,2024-03-11T15:00:00,流入,8900.36,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_109652ba55f6389b79e2272d,2024-03-12T15:00:00,流入,18350.59,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4ef3050daf2b4722e31b2e0,2024-03-12T15:00:00,流入,39927.67,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68b3f113ccd5b629231b2b28,2024-03-13T09:00:00,流出,100870.08,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53b5e1ba267ed86d4ce7f66b,2024-03-13T09:00:00,流出,88932.80,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2d63db009f87ab1992d64c01,2024-03-13T15:00:00,流入,23798.62,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_486bb718dc908e8227a7a8d1,2024-03-13T15:00:00,流入,16328.13,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6af13fd677c2a6689e5b0025,2024-03-13T15:00:00,流入,15061.14,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_794e75cd6c9008944c8265b6,2024-03-14T15:00:00,流入,28104.11,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4b444071972384f443b9bbd,2024-03-15T09:00:00,流出,100870.08,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8002070ca78a2030e6344027,2024-03-15T09:00:00,流出,75250.83,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_303da857ca29b7f8f0f35dac,2024-03-16T15:00:00,流入,18350.59,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9068166b1b35096f92ef2b81,2024-03-16T15:00:00,流入,26618.44,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de027fe64971279a6018b527,2024-03-17T15:00:00,流入,28331.69,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e834084896c42914b1d92e7b,2024-03-17T15:00:00,流入,13878.91,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_49512ce824d4897c5b32c712,2024-03-17T15:00:00,流入,11044.83,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d2d5cb611f86d6f54361ee0,2024-03-18T09:00:00,流出,47886.91,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78ab643ed6cf873423f36f9a,2024-03-18T15:00:00,流入,25293.69,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
