calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_5c1fa55f0a2028f5f7c23f5d,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,95251.11,2,3504748.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_95e93e6626e105bb0fd9419a,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3504748.89,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3504748.89,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3504748.89,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,162754.93,1,3341993.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_82fdccc082c03eef3aeeee9f,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3341993.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3341993.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,15539.60,1,3326454.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_6a2610f4f520b1a9c9d1cab8,trusted,weekday_rule,base_calendar,True,8,2025-01-12,complete
2025-01-11,0.00,0.00,0,3326454.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,27130.75,1,3299323.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_405f722cd0c8b0dda37840e0,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-13,complete
2025-01-13,49459.17,44134.38,3,3304648.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_d6d76ed1037976e9aa9e6436,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,12932.32,1,3291716.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_8eed3b15cea97300ca14b825,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,20964.68,1,3270751.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_8ed3baf867894be1c8acec1c,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,17813.15,1,3252938.25,last_posted_transaction_or_prior_closing_balance,synb1_txn_cbc717049c5ef597f4b78d7c,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,53263.74,47538.53,3,3258663.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_ad7ce2c7da48882a7866fc15,trusted,weekday_rule,base_calendar,True,14,2025-01-20,complete
2025-01-18,0.00,0.00,0,3258663.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,3258663.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,14344.26,1,3244319.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_3c3a6a7bedc8c6816c9e85b4,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,3244319.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,0.00,0,3244319.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,13359.84,1,3230959.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_479f3055e647b14517f138ac,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,20747.04,1,3210212.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_9a73b117cb20b1747f721440,trusted,weekday_rule,base_calendar,True,19,2025-01-25,complete
2025-01-25,40763.05,56084.33,2,3194891.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_6849aa8c9dd1da4be3de2cd4,trusted,historical_transaction_override,historical_transaction_override,True,20,2025-01-26,complete
