transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_23f589499fe2df6a749a02bc,2025-01-01T09:00:00,0.00,767868.54,767868.54
synb1_txn_56e6d96704b70f398afc567a,2025-01-01T13:40:29,1963.35,0.00,765905.19
synb1_txn_6e8dc47469debc514e005812,2025-01-07T17:11:58,2454.14,0.00,763451.05
synb1_txn_60e33f9e639f75f80c37982f,2025-01-07T17:48:42,8086.55,0.00,755364.50
synb1_txn_805c4d4737336cfde9094aaa,2025-01-13T17:04:11,2046.36,0.00,753318.14
synb1_txn_296e522fb35816eed9c0b2e7,2025-01-17T16:35:40,7212.34,0.00,746105.80
synb1_txn_14b45b58b5c2510a36b3a20d,2025-01-22T12:57:44,6598.97,0.00,739506.83
synb1_txn_226ef622fa29186df38eb6ad,2025-01-24T14:46:41,2125.39,0.00,737381.44
synb1_txn_55a1311eb0bd2e47603bebae,2025-01-28T14:25:23,7022.14,0.00,730359.30
synb1_txn_9102e2bd8c65d0b2adde866c,2025-02-01T12:28:01,1862.66,0.00,728496.64
synb1_txn_62766c95ffb62d019b0a89f1,2025-02-02T09:59:35,7960.01,0.00,720536.63
synb1_txn_1777bcdcc432775da8135599,2025-02-02T11:34:29,5816.08,0.00,714720.55
synb1_txn_4113052637de884e4a15e300,2025-02-13T14:03:06,7717.73,0.00,707002.82
synb1_txn_376f8553d226f1f30e2c5ebf,2025-02-14T15:27:53,2720.83,0.00,704281.99
synb1_txn_5e30592e4f0c4a7647e6a857,2025-02-19T17:31:41,7426.18,0.00,696855.81
synb1_txn_f105ccd97929a63f20b4f259,2025-02-26T10:11:38,2011.10,0.00,694844.71
synb1_txn_bc85570f5bdcea23e88ccc3b,2025-02-28T09:00:00,7840.09,0.00,687004.62
synb1_txn_b12c90480d7426bb3ab12f1e,2025-02-28T09:00:00,2776.32,0.00,684228.30
synb1_txn_1da62396041ee43530397c46,2025-02-28T09:00:00,333.15,0.00,683895.15
synb1_txn_e7d83f45bb0eba977f421bf8,2025-02-28T13:16:43,1994.65,0.00,681900.50
synb1_txn_229818832c1b1c51bbf4e5f3,2025-03-02T14:30:30,189893.89,0.00,492006.61
synb1_txn_08ec9b262f2128cdbbfc136f,2025-03-03T11:14:42,6027.96,0.00,485978.65
synb1_txn_0b58734e0cb8897ea3fba42c,2025-03-04T10:11:45,140988.34,0.00,344990.31
synb1_txn_f459173642974899a1876386,2025-03-04T11:39:57,0.00,35964.82,380955.13
synb1_txn_b000776c1cfc78cf0a146690,2025-03-04T12:16:34,0.00,33797.98,414753.11
synb1_txn_45e2835c47bd83bbe1c6eca1,2025-03-09T12:01:59,0.00,32042.99,446796.10
synb1_txn_fcda82508ee59ce4fc97c71d,2025-03-09T15:20:12,2391.91,0.00,444404.19
synb1_txn_31e79bfe2855d82629cf2237,2025-03-11T16:18:30,0.00,37010.21,481414.40
synb1_txn_504c758a2e5a91f5463b0b50,2025-03-14T12:34:01,6739.85,0.00,474674.55
synb1_txn_829c59adfd9fff77c5227309,2025-03-18T16:01:57,197377.06,0.00,277297.49
synb1_txn_0f5d0380fb5f59f43b8e27df,2025-03-23T17:50:15,8690.83,0.00,268606.66
synb1_txn_6ba0fc656ff38d41eb20d2ce,2025-03-24T10:53:31,2175.19,0.00,266431.47
synb1_txn_2a5f665920dae7ff71929120,2025-03-26T11:37:02,136634.19,0.00,129797.28
synb1_txn_39ebbed1b18bbee20506866a,2025-03-28T09:00:00,7144.91,0.00,122652.37
synb1_txn_97743219f7566661dc23c13b,2025-03-28T09:00:00,2650.51,0.00,120001.86
synb1_txn_ed3055b7761a50643c050e0e,2025-03-28T09:00:00,318.06,0.00,119683.80
synb1_txn_4c574243970aaf145b8c76cf,2025-03-28T10:24:42,1851.96,0.00,117831.84
synb1_txn_065a6f1264009f54db0f9af3,2025-03-28T11:51:27,7461.36,0.00,110370.48
synb1_txn_28e13dac404836a745b3aef1,2025-03-29T17:34:44,2170.18,0.00,108200.30
synb1_txn_13c43a7a65e609eccfd0dac6,2025-04-03T13:43:06,45109.77,0.00,63090.53
synb1_txn_4b3f87f6e72bcd84ca26c077,2025-04-04T14:21:58,0.00,67264.13,130354.66
synb1_txn_8e643764d60e64560ce57fb1,2025-04-04T16:41:53,44047.88,0.00,86306.78
synb1_txn_f886a2382df2c08607641b07,2025-04-09T13:59:10,0.00,63952.96,150259.74
synb1_txn_69a424bd06e801d3287b9d82,2025-04-09T14:54:27,0.00,75945.57,226205.31
synb1_txn_1bbf17a96acd77d4e1accfe0,2025-04-09T16:56:58,8283.74,0.00,217921.57
synb1_txn_3a66583dbd8e38c156159dfd,2025-04-10T15:29:46,40978.53,0.00,176943.04
synb1_txn_fea9135c242f10793d06a657,2025-04-12T10:28:29,6232.12,0.00,170710.92
synb1_txn_8c56353745b83bc8459354d8,2025-04-16T15:14:29,0.00,64179.24,234890.16
synb1_txn_d4a1849bedff730e0ddff673,2025-04-17T13:47:56,1937.52,0.00,232952.64
synb1_txn_6f5cb2435733394341f03719,2025-04-18T11:09:07,6725.70,0.00,226226.94
synb1_txn_2e434e4e3fa7136c97bbd890,2025-04-20T09:21:30,7678.44,0.00,218548.50
synb1_txn_b3ab1e86a5168d6168459709,2025-04-22T11:08:30,59844.65,0.00,158703.85
synb1_txn_f35a6c6814486df87434f0ee,2025-04-24T12:40:22,2436.85,0.00,156267.00
synb1_txn_c7752a0874acaaf1c4a330bf,2025-04-24T14:54:27,2487.03,0.00,153779.97
synb1_txn_6e8826cf1033390d67d474d2,2025-04-28T09:00:00,7073.00,0.00,146706.97
synb1_txn_90e1501d7d4895bd4ba829b0,2025-04-28T09:00:00,2637.50,0.00,144069.47
synb1_txn_213a6be14a45bf8b3bf963f5,2025-04-28T09:00:00,316.50,0.00,143752.97
synb1_txn_5dd9ac913690594fbef153f5,2025-04-29T10:34:38,1727.84,0.00,142025.13
synb1_txn_784e385a9ddd04f91278ede7,2025-05-04T09:43:56,0.00,73984.23,216009.36
synb1_txn_25a4b6c292ca3fbd8afa573f,2025-05-06T11:31:50,2119.22,0.00,213890.14
synb1_txn_7f1192f9d8290a3a60234ffe,2025-05-08T12:14:47,81943.02,0.00,131947.12
synb1_txn_ec45b37dd0dc48cd7704770f,2025-05-12T15:12:57,64705.47,0.00,67241.65
synb1_txn_88355db53c79f873e9d7f9db,2025-05-14T17:48:31,0.00,65228.85,132470.50
synb1_txn_dfc7ca7c144f7ed3b9350d57,2025-05-15T15:12:34,2269.37,0.00,130201.13
synb1_txn_3ffe39905c54dca18b51b69e,2025-05-15T15:37:59,69881.91,0.00,60319.22
synb1_txn_b1787d648430fca4cc75dad4,2025-05-17T09:58:29,7569.19,0.00,52750.03
synb1_txn_8258a1ebd98f797bed6bf152,2025-05-20T13:44:29,0.00,69827.96,122577.99
