calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_e7ba7b9a38d7bbadb641baa8,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,0.00,96445.65,2,3503554.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_75a0c6238db5dd7810f76782,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,3503554.35,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,0.00,0.00,0,3503554.35,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2024-01-07,complete
2024-01-06,0.00,0.00,0,3503554.35,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-07,0.00,157534.05,1,3346020.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_316fb8e9965822873aaa472a,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-08,complete
2024-01-08,0.00,0.00,0,3346020.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2024-01-09,complete
2024-01-09,0.00,0.00,0,3346020.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-10,complete
2024-01-10,0.00,0.00,0,3346020.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2024-01-11,complete
2024-01-11,0.00,0.00,0,3346020.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2024-01-12,complete
2024-01-12,0.00,114821.01,1,3231199.29,last_posted_transaction_or_prior_closing_balance,synb1_txn_b492e7d8e8fd8fc866f30e26,trusted,weekday_rule,base_calendar,True,11,2024-01-15,complete
2024-01-13,0.00,0.00,0,3231199.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-14,0.00,0.00,0,3231199.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-15,0.00,0.00,0,3231199.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2024-01-16,complete
2024-01-16,0.00,0.00,0,3231199.29,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2024-01-17,complete
2024-01-17,80888.88,0.00,1,3312088.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_d07fccd8afaa277c70bd75c9,trusted,weekday_rule,base_calendar,True,14,2024-01-18,complete
2024-01-18,0.00,0.00,0,3312088.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2024-01-19,complete
2024-01-19,0.00,0.00,0,3312088.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2024-01-22,complete
2024-01-20,0.00,0.00,0,3312088.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-21,0.00,0.00,0,3312088.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-22,0.00,0.00,0,3312088.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2024-01-23,complete
2024-01-23,0.00,0.00,0,3312088.17,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2024-01-24,complete
2024-01-24,0.00,70659.08,1,3241429.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_71dff315e51ba91b3ae35d8a,trusted,weekday_rule,base_calendar,True,19,2024-01-25,complete
2024-01-25,0.00,78360.78,1,3163068.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_cdc63d40eac1649e1b2c0b3c,trusted,weekday_rule,base_calendar,True,20,2024-01-26,complete
2024-01-26,0.00,0.00,0,3163068.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2024-01-27,complete
2024-01-27,161777.77,0.00,1,3324846.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_28a53f9083415e4bfbcb6544,trusted,historical_transaction_override,historical_transaction_override,True,22,2024-01-29,complete
2024-01-28,0.00,0.00,0,3324846.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-29,0.00,0.00,0,3324846.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,23,2024-01-30,complete
2024-01-30,0.00,0.00,0,3324846.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,24,2024-01-31,complete
2024-01-31,0.00,0.00,0,3324846.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2024-02-01,complete
2024-02-01,0.00,0.00,0,3324846.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2024-02-02,complete
2024-02-02,0.00,0.00,0,3324846.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2024-02-03,complete
2024-02-03,0.00,36445.65,1,3288400.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_e31c273f1d8fc9c9c1c5582c,trusted,historical_transaction_override,historical_transaction_override,True,28,2024-02-05,complete
2024-02-04,0.00,0.00,0,3288400.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-05,0.00,0.00,0,3288400.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2024-02-06,complete
2024-02-06,0.00,0.00,0,3288400.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,30,2024-02-07,complete
2024-02-07,0.00,157534.05,1,3130866.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_4f36e3eb625d63b3901b08a2,trusted,weekday_rule,base_calendar,True,31,2024-02-08,complete
2024-02-08,149333.35,0.00,1,3280199.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_c4ff364fd1679f30cdc0c3bf,trusted,weekday_rule,base_calendar,True,32,2024-02-09,complete
2024-02-09,0.00,0.00,0,3280199.73,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2024-02-12,complete
2024-02-10,0.00,0.00,0,3280199.73,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-11,0.00,0.00,0,3280199.73,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-12,0.00,39745.75,1,3240453.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_7cf02b134d24d0cb25ce9833,trusted,weekday_rule,base_calendar,True,34,2024-02-13,complete
2024-02-13,0.00,0.00,0,3240453.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2024-02-14,complete
2024-02-14,0.00,64350.24,1,3176103.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_76e595885009097670a71aa4,trusted,weekday_rule,base_calendar,True,36,2024-02-15,complete
2024-02-15,0.00,0.00,0,3176103.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,37,2024-02-16,complete
2024-02-16,0.00,0.00,0,3176103.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2024-02-19,complete
2024-02-17,0.00,0.00,0,3176103.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-18,0.00,0.00,0,3176103.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-19,0.00,0.00,0,3176103.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,39,2024-02-20,complete
2024-02-20,0.00,0.00,0,3176103.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,40,2024-02-21,complete
2024-02-21,0.00,75075.28,1,3101028.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_ea04fced5e1086c05a6c21b4,trusted,weekday_rule,base_calendar,True,41,2024-02-22,complete
2024-02-22,0.00,0.00,0,3101028.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2024-02-23,complete
2024-02-23,0.00,0.00,0,3101028.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,43,2024-02-25,complete
2024-02-24,0.00,0.00,0,3101028.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-25,0.00,78360.78,1,3022667.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_480b58403e4628b8bda1b9e6,trusted,historical_transaction_override,historical_transaction_override,True,44,2024-02-26,complete
2024-02-26,163927.27,0.00,1,3186594.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_57a8f360c5e18a3087767132,trusted,weekday_rule,base_calendar,True,45,2024-02-27,complete
2024-02-27,0.00,0.00,0,3186594.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,46,2024-02-28,complete
2024-02-28,0.00,4390.40,2,3182204.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_60ff7cb95c47b8b6de868a1d,trusted,weekday_rule,base_calendar,True,47,2024-02-29,complete
2024-02-29,0.00,0.00,0,3182204.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,48,2024-03-01,complete
2024-03-01,0.00,0.00,0,3182204.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,49,2024-03-03,complete
2024-03-02,0.00,0.00,0,3182204.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-03-03,0.00,36445.65,1,3145758.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_52286cf4921777c3c7366f40,trusted,historical_transaction_override,historical_transaction_override,True,50,2024-03-04,complete
2024-03-04,0.00,0.00,0,3145758.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,51,2024-03-05,complete
2024-03-05,0.00,0.00,0,3145758.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,52,2024-03-06,complete
2024-03-06,0.00,0.00,0,3145758.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2024-03-07,complete
2024-03-07,0.00,157534.05,1,2988224.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_b19af9276ebbf90d9df24134,trusted,weekday_rule,base_calendar,True,54,2024-03-08,complete
2024-03-08,0.00,0.00,0,2988224.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,55,2024-03-09,complete
2024-03-09,171054.54,0.00,1,3159279.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_62b5cc4c00a59935d128af99,trusted,historical_transaction_override,historical_transaction_override,True,56,2024-03-11,complete
2024-03-10,0.00,0.00,0,3159279.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-03-11,0.00,130845.48,2,3028433.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_134033ce79406b6265cc760c,trusted,weekday_rule,base_calendar,True,57,2024-03-12,complete
2024-03-12,0.00,0.00,0,3028433.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,58,2024-03-13,complete
2024-03-13,0.00,0.00,0,3028433.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,59,2024-03-14,complete
2024-03-14,0.00,0.00,0,3028433.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,60,2024-03-15,complete
2024-03-15,0.00,0.00,0,3028433.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,61,2024-03-18,complete
2024-03-16,0.00,0.00,0,3028433.91,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
