calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,1595495.40,463297.90,2,1132197.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_81aac402697b7a686efdb690,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,39906.03,2,1092291.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_88c5503d72ba8e8f7fc9255f,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,1092291.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,1092291.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,1092291.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,1092291.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,81843.18,1,1010448.29,last_posted_transaction_or_prior_closing_balance,synb1_txn_38be2090932174117ffe43bc,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,452298.24,1,558150.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_cbf9402cfb147f539dbe6cbe,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,558150.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,710234.82,0.00,1,1268384.87,last_posted_transaction_or_prior_closing_balance,synb1_txn_1d828e5b16e6f59cc95930e2,trusted,weekday_rule,base_calendar,True,8,2025-01-11,complete
2025-01-11,0.00,455376.33,1,813008.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_1c0d9f667eaf335013d2a5d5,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-12,complete
2025-01-12,0.00,68221.17,1,744787.37,last_posted_transaction_or_prior_closing_balance,synb1_txn_4ed79991d894f7b378f2f114,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-13,complete
2025-01-13,638348.41,0.00,1,1383135.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_e59dd39aff11430c9f1017e5,trusted,weekday_rule,base_calendar,True,11,2025-01-14,complete
2025-01-14,0.00,466285.46,1,916850.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_b42b8c6b4fc5b052691528dc,trusted,weekday_rule,base_calendar,True,12,2025-01-15,complete
2025-01-15,0.00,92778.13,2,824072.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_2e7921adcd87e015f75aed6f,trusted,weekday_rule,base_calendar,True,13,2025-01-16,complete
2025-01-16,0.00,0.00,0,824072.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-17,complete
2025-01-17,0.00,0.00,0,824072.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-19,complete
2025-01-18,0.00,0.00,0,824072.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,81301.35,1,742770.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_a421d7d27840883c8d32f8c7,trusted,historical_transaction_override,historical_transaction_override,True,16,2025-01-20,complete
2025-01-20,0.00,25642.54,1,717128.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_c59ab1231f6ec223579fc0fa,trusted,weekday_rule,base_calendar,True,17,2025-01-21,complete
2025-01-21,0.00,0.00,0,717128.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-22,complete
2025-01-22,0.00,22687.43,1,694440.87,last_posted_transaction_or_prior_closing_balance,synb1_txn_7a1761e743cc612d376bd111,trusted,weekday_rule,base_calendar,True,19,2025-01-23,complete
2025-01-23,0.00,33591.60,1,660849.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_9e240b191512fb81b4195c92,trusted,weekday_rule,base_calendar,True,20,2025-01-24,complete
2025-01-24,0.00,0.00,0,660849.27,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-25,complete
2025-01-25,0.00,26383.20,1,634466.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_42b4ed4662eadf7bed4b9b02,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-01-26,complete
2025-01-26,0.00,27649.37,1,606816.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_908ebce3bba99ccb42eabc50,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,23,2025-01-27,complete
2025-01-27,715865.81,0.00,1,1322682.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_336f709c38f804aa8dc6f427,trusted,weekday_rule,base_calendar,True,24,2025-01-31,complete
2025-01-28,0.00,0.00,0,1322682.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,0.00,0,1322682.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,0.00,0.00,0,1322682.51,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-31,876750.96,0.00,1,2199433.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_2aa1f8a8011527c03d62dae0,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-02-01,complete
2025-02-01,0.00,863688.13,3,1335745.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_5bb3fe6c9750466a47ca1b42,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-04,complete
2025-02-02,0.00,0.00,0,1335745.34,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,0.00,0.00,0,1335745.34,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-04,0.00,31395.98,1,1304349.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_f400ef07f5ffcc0ab8f547aa,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-02-05,complete
2025-02-05,0.00,0.00,0,1304349.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2025-02-06,complete
2025-02-06,0.00,0.00,0,1304349.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-07,complete
2025-02-07,380811.47,18662.72,2,1666498.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_5b8e57f4f2b4ffbf4f5c19c2,trusted,weekday_rule,base_calendar,True,30,2025-02-08,complete
2025-02-08,0.00,0.00,0,1666498.11,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,31,2025-02-10,complete
2025-02-09,0.00,0.00,0,1666498.11,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,622146.41,1,1044351.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_2b36444e85047e47ef1a6661,trusted,weekday_rule,base_calendar,True,32,2025-02-11,complete
2025-02-11,0.00,63662.82,1,980688.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_9073b88cee92f39691159240,trusted,weekday_rule,base_calendar,True,33,2025-02-12,complete
2025-02-12,0.00,0.00,0,980688.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,34,2025-02-13,complete
2025-02-13,0.00,0.00,0,980688.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-14,complete
2025-02-14,0.00,0.00,0,980688.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2025-02-15,complete
2025-02-15,0.00,25817.31,1,954871.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_9ffb0d734e3c538758400e6c,trusted,historical_transaction_override,historical_transaction_override,True,37,2025-02-17,complete
2025-02-16,0.00,0.00,0,954871.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-17,0.00,53633.49,2,901238.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_dcb97559a08aa267003b2ef1,trusted,weekday_rule,base_calendar,True,38,2025-02-18,complete
2025-02-18,0.00,0.00,0,901238.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,39,2025-02-19,complete
2025-02-19,0.00,0.00,0,901238.08,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,40,2025-02-20,complete
2025-02-20,0.00,711253.67,2,189984.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_11930f773104ace418d7401c,trusted,weekday_rule,base_calendar,True,41,2025-02-21,complete
2025-02-21,0.00,0.00,0,189984.41,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,42,2025-02-22,complete
2025-02-22,0.00,18681.28,1,171303.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_4fa050c7485ded9f48a29793,trusted,historical_transaction_override,historical_transaction_override,True,43,2025-02-23,complete
2025-02-23,0.00,24243.13,1,147060.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_5dab29ee7dfdd8a50b86b2f6,trusted,historical_transaction_override,historical_transaction_override,True,44,2025-02-24,complete
2025-02-24,451366.01,0.00,1,598426.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_fcfd1d17f75bb470eab6e298,trusted,weekday_rule,base_calendar,True,45,2025-02-25,complete
2025-02-25,0.00,0.00,0,598426.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,46,2025-02-26,complete
2025-02-26,0.00,0.00,0,598426.01,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,47,2025-02-27,complete
2025-02-27,0.00,76929.51,1,521496.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_7b505e1f5c1aa26400e8ab2f,trusted,weekday_rule,base_calendar,True,48,2025-02-28,complete
2025-02-28,967836.92,730813.85,3,758519.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_4b053740127acca15c8e2a31,trusted,weekday_rule,base_calendar,True,49,2025-03-01,complete
2025-03-01,0.00,505613.52,1,252906.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_775e819e264daa209350cdb3,trusted,historical_transaction_override,historical_transaction_override,True,50,2025-03-02,complete
2025-03-02,0.00,22135.70,1,230770.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_70b913fcac7da232070de496,trusted,historical_transaction_override,historical_transaction_override,True,51,2025-03-03,complete
2025-03-03,0.00,28321.33,1,202449.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_0bad09d1cf67b03a9ad35fa1,trusted,weekday_rule,base_calendar,True,52,2025-03-04,complete
2025-03-04,0.00,24504.40,1,177944.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_b370a2056eda6bbdb50f06c3,trusted,weekday_rule,base_calendar,True,53,2025-03-05,complete
2025-03-05,0.00,0.00,0,177944.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,54,2025-03-06,complete
2025-03-06,0.00,0.00,0,177944.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,55,2025-03-07,complete
2025-03-07,0.00,0.00,0,177944.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,56,2025-03-09,complete
2025-03-08,0.00,0.00,0,177944.62,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-09,0.00,28922.65,1,149021.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_62c4efa5db7c64e5441aa5a8,trusted,historical_transaction_override,historical_transaction_override,True,57,2025-03-10,complete
2025-03-10,908127.17,0.00,1,1057149.14,last_posted_transaction_or_prior_closing_balance,synb1_txn_487253e206019360994a8647,trusted,weekday_rule,base_calendar,True,58,2025-03-11,complete
