transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_97b1453ebaecac0016f0606c,2024-01-01T09:00:00,流入,1714000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_016d34d6a038f6a5fb4a2c63,2024-01-02T09:00:00,流出,99868.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e09a1a27c2a2ae552031e48c,2024-01-03T09:00:00,流出,68843.20,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_da2d2a4af731d155e1798c1e,2024-01-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ff521aae94f35f49a731ca6,2024-01-06T09:00:00,流出,12933.43,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff3146c9fbc0c6bbba090d9f,2024-01-06T15:00:00,流入,156088.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2ac7a784a48c39a81c1d23ab,2024-01-07T09:00:00,流出,74000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af40adc032f51b3244b1ea58,2024-01-07T15:00:00,流入,28655.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b7a1f9e0f0db253695015ca,2024-01-10T15:00:00,流入,280567.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bda2b66c660142ed5a3d309e,2024-01-11T15:00:00,流入,64990.54,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_55b86842406761bb34974bf1,2024-01-12T15:00:00,流入,41878.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92d8e872a5244ee99d42c36d,2024-01-15T15:00:00,流入,475619.58,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bc9e87f897a4d0155a80d0ec,2024-01-17T09:00:00,流出,3066.57,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_19e1673df36259ab1592c5d5,2024-01-23T09:00:00,流出,655298.51,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c57504abb00d81bf78185053,2024-02-03T09:00:00,流出,717.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d82819c95e3fbdfcdb1cd81,2024-02-04T09:00:00,流出,55217.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_485ed7f10bc2d8c88983daff,2024-02-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0dbf92255dc84834cdd6b222,2024-02-07T09:00:00,流出,74000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e026a53120dabc89836bb3d6,2024-02-07T15:00:00,流入,295.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d4422f671ee7f58ca6b9671d,2024-02-08T15:00:00,流入,57902.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_308529ba7746c268a594a790,2024-02-09T09:00:00,流出,150110.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_29c3d0f627ef2bf62718d929,2024-02-09T09:00:00,流出,23381.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b318aa5ff60f37dfc4848a0,2024-02-09T15:00:00,流入,92900.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_86b807e481896eecb019ef41,2024-02-09T15:00:00,流入,68886.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8b03acad79f0a2407dcfbcd5,2024-02-11T09:00:00,流出,14689.02,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52a38e39d0d3c44063c68ebc,2024-02-11T09:00:00,流出,1310.98,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_674b68e5e4fd4b3879927d10,2024-02-11T15:00:00,流入,32995.70,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c11859b7a864591c8db59704,2024-02-13T09:00:00,流出,68853.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_50f14f71873fe6a6ae541675,2024-02-13T09:00:00,流出,24633.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_020ed1f3e9964ccbc488047c,2024-02-13T15:00:00,流入,4647.54,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39d0b58e1c59c840c5b317f1,2024-02-15T15:00:00,流入,50189.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_80e9c24e055cac4a9f688dcf,2024-02-16T09:00:00,流出,112000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63ee6d060ca0d9cafe48a682,2024-02-16T09:00:00,流出,758612.07,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1b3451bb810e264743c30921,2024-02-17T15:00:00,流入,438526.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e8aa329296eecc8d0682d625,2024-02-18T09:00:00,流出,91314.40,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b69e5f6f7a40baa2c14460c8,2024-02-18T09:00:00,流出,16900.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d170182ef734113039b2e385,2024-02-18T09:00:00,流出,2028.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d106d0ec73449bb54ed9456f,2024-02-20T09:00:00,流出,23710.85,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_490a553aa61b38bfa70db97a,2024-02-22T15:00:00,流入,94923.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_80becb4ec7747f74e15381af,2024-02-23T15:00:00,流入,9427.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ede0297f77702f1afc90fec,2024-02-24T09:00:00,流出,78582.20,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
