calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,16071078.74,0.00,1,16071078.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_5435b497f781a519bbd69222,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,16071078.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,16071078.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,16071078.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,16071078.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,16071078.74,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,28093.75,1,16042984.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_a034c51f678ed33211ac45dc,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,20594.53,1,16022390.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_cc5cc18fffee07b4ae8d591f,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,16022390.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,25562.82,1,15996827.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_638c9c117549141bbc19c531,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,15996827.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,15996827.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,161165.78,2,15835661.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_5e588b810ac7dbee404e95f3,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,0.00,0,15835661.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,15835661.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,0.00,0,15835661.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,15835661.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-20,complete
2025-01-18,0.00,0.00,0,15835661.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,15835661.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,29346.90,1,15806314.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_41c469bed5013c712bab5961,trusted,weekday_rule,base_calendar,True,14,2025-01-21,complete
2025-01-21,0.00,0.00,0,15806314.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-22,complete
2025-01-22,0.00,0.00,0,15806314.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-23,complete
2025-01-23,0.00,0.00,0,15806314.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-24,complete
2025-01-24,0.00,0.00,0,15806314.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-26,complete
2025-01-25,0.00,0.00,0,15806314.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,97279.11,1,15709035.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_07e9d63b3ddc603d61703984,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,19,2025-01-27,complete
2025-01-27,0.00,0.00,0,15709035.85,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-30,complete
2025-01-28,0.00,0.00,0,15709035.85,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,0.00,0,15709035.85,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,0.00,73586.70,1,15635449.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_fcd823b56d3bdd561df7387d,trusted,historical_transaction_override,historical_transaction_override,True,21,2025-02-03,complete
2025-01-31,0.00,0.00,0,15635449.15,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,0.00,0.00,0,15635449.15,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,0.00,0,15635449.15,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,0.00,26224.82,1,15609224.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_839fcdbaa92d1899bee947ef,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-02-05,complete
2025-02-04,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,23,2025-02-06,complete
2025-02-06,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,24,2025-02-07,complete
2025-02-07,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2025-02-08,complete
2025-02-08,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,26,2025-02-10,complete
2025-02-09,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,27,2025-02-11,complete
2025-02-11,0.00,0.00,0,15609224.33,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2025-02-12,complete
2025-02-12,0.00,92365.22,1,15516859.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_a3d8fa0e634469a6fdfd26b4,trusted,weekday_rule,base_calendar,True,29,2025-02-13,complete
2025-02-13,0.00,23723.46,1,15493135.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_a96591a51fab8f9ee1be6cbc,trusted,weekday_rule,base_calendar,True,30,2025-02-14,complete
2025-02-14,0.00,147734.99,2,15345400.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_a35a529b3153872b32b8f892,trusted,weekday_rule,base_calendar,True,31,2025-02-16,complete
2025-02-15,0.00,0.00,0,15345400.66,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-16,0.00,91931.38,1,15253469.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_130a8fe0dcaf2d65aac3360d,trusted,historical_transaction_override,historical_transaction_override,True,32,2025-02-17,complete
2025-02-17,0.00,0.00,0,15253469.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,33,2025-02-18,complete
2025-02-18,0.00,0.00,0,15253469.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,34,2025-02-19,complete
2025-02-19,0.00,0.00,0,15253469.28,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-20,complete
2025-02-20,0.00,29549.65,1,15223919.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_6ff3b468881bbfcb41068e0f,trusted,weekday_rule,base_calendar,True,36,2025-02-21,complete
2025-02-21,0.00,0.00,0,15223919.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,37,2025-02-24,complete
2025-02-22,0.00,0.00,0,15223919.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-23,0.00,0.00,0,15223919.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-24,0.00,24100.07,1,15199819.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_4eeae6a77d726c3cbda427e6,trusted,weekday_rule,base_calendar,True,38,2025-02-25,complete
2025-02-25,0.00,0.00,0,15199819.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,39,2025-02-26,complete
2025-02-26,0.00,0.00,0,15199819.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,40,2025-02-27,complete
2025-02-27,0.00,0.00,0,15199819.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,41,2025-02-28,complete
2025-02-28,0.00,235451.34,3,14964368.22,last_posted_transaction_or_prior_closing_balance,synb1_txn_6e9c1e1e78d6486e6ad76b65,trusted,weekday_rule,base_calendar,True,42,2025-03-01,complete
2025-03-01,0.00,22932.17,1,14941436.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_4ee4556e3e152caec9001ffc,trusted,historical_transaction_override,historical_transaction_override,True,43,2025-03-02,complete
2025-03-02,0.00,26787.81,1,14914648.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_88b3b152b0400b35f2b955dd,trusted,historical_transaction_override,historical_transaction_override,True,44,2025-03-03,complete
2025-03-03,486527.61,5352947.20,3,10048228.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_41bc5462fb5e5e26f4fe5782,trusted,weekday_rule,base_calendar,True,45,2025-03-04,complete
2025-03-04,0.00,0.00,0,10048228.65,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,46,2025-03-05,complete
2025-03-05,0.00,2568490.62,1,7479738.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_d06021908b6216c8112dc974,trusted,weekday_rule,base_calendar,True,47,2025-03-06,complete
2025-03-06,0.00,0.00,0,7479738.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,48,2025-03-07,complete
2025-03-07,0.00,0.00,0,7479738.03,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,49,2025-03-08,complete
2025-03-08,0.00,74968.84,1,7404769.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_3e6fdabd073a3dffad85a59b,trusted,historical_transaction_override,historical_transaction_override,True,50,2025-03-09,complete
2025-03-09,668793.02,0.00,1,8073562.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_171fa256d16c01c731a90475,trusted,historical_transaction_override,historical_transaction_override,True,51,2025-03-10,complete
2025-03-10,0.00,27110.37,1,8046451.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_d2f4a4268c69ec6130213c6d,trusted,weekday_rule,base_calendar,True,52,2025-03-11,complete
2025-03-11,0.00,0.00,0,8046451.84,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,53,2025-03-12,complete
2025-03-12,0.00,0.00,0,8046451.84,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,54,2025-03-13,complete
2025-03-13,0.00,26767.65,1,8019684.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_f0be5c8c9dcc5064b857e817,trusted,weekday_rule,base_calendar,True,55,2025-03-14,complete
2025-03-14,0.00,0.00,0,8019684.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,56,2025-03-15,complete
2025-03-15,647203.35,0.00,1,8666887.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_b0dffd9a3d17f836b8b01374,trusted,historical_transaction_override,historical_transaction_override,True,57,2025-03-17,complete
2025-03-16,0.00,0.00,0,8666887.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-17,0.00,0.00,0,8666887.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,58,2025-03-18,complete
2025-03-18,699626.71,0.00,1,9366514.25,last_posted_transaction_or_prior_closing_balance,synb1_txn_9adaeef478a34dcc77fdae3c,trusted,weekday_rule,base_calendar,True,59,2025-03-19,complete
2025-03-19,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,60,2025-03-20,complete
2025-03-20,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,61,2025-03-21,complete
2025-03-21,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,62,2025-03-24,complete
2025-03-22,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-23,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-24,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,63,2025-03-25,complete
2025-03-25,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,64,2025-03-26,complete
2025-03-26,0.00,0.00,0,9366514.25,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,65,2025-03-27,complete
2025-03-27,0.00,96219.07,1,9270295.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_43b56ac0cf747adc2b85fb93,trusted,weekday_rule,base_calendar,True,66,2025-03-28,complete
2025-03-28,0.00,333612.35,4,8936682.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_89cb9c8c3ad68c8b8a091fea,trusted,weekday_rule,base_calendar,True,67,2025-03-31,complete
2025-03-29,0.00,0.00,0,8936682.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-30,0.00,0.00,0,8936682.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-03-31,0.00,2934469.13,2,6002213.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_8ecfb6cba324633f469bbd85,trusted,weekday_rule,base_calendar,True,68,2025-04-01,complete
2025-04-01,0.00,0.00,0,6002213.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,69,2025-04-02,complete
2025-04-02,0.00,0.00,0,6002213.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,70,2025-04-03,complete
2025-04-03,0.00,0.00,0,6002213.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,71,2025-04-05,complete
