transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_009c532898b0f574dab5c570,2025-01-01T09:00:00,流入,173676.66,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_27c83c7295979e2289499c15,2025-01-05T13:16:45,流入,65713.07,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_133ba52a739ff0a5e05b8f25,2025-01-05T13:45:13,流出,1476.27,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_98a981832a4039ab231b3e4f,2025-01-05T16:17:04,流出,4976.22,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26640a1a7941609742bc5ecd,2025-01-06T10:15:51,流入,57071.42,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a07af05c00d7473a3d9927c3,2025-01-09T16:36:47,流出,2037.71,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9c25f6ed301522fadb9d6462,2025-01-11T16:01:21,流出,5916.59,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2196bdadcfafc1f4c228f240,2025-01-12T12:45:19,流出,2255.47,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f2851ec1982aafe3eea3f8ef,2025-01-13T12:23:48,流出,1808.06,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6582a1d0155e0a65649f1288,2025-01-14T13:06:18,流出,2075.76,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8eb0220c253a36a2f693c2ba,2025-01-16T17:25:12,流出,5693.48,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e934982fa9d00dcf95992ce8,2025-01-17T15:25:11,流出,4943.71,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7827801d33756755df6fb814,2025-01-21T10:05:20,流出,1439.41,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18288ee1190502e4c3130fc8,2025-01-23T14:13:51,流出,44845.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b8122735f964bdb8aafdb2c,2025-01-24T17:02:55,流出,46617.48,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8efab0289ae55aeaab712b63,2025-01-26T12:56:14,流入,72973.29,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea9ae190a032987a2ef17c29,2025-01-26T15:08:00,流出,40868.92,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ca180ce80da718ee081ac56,2025-01-27T15:45:03,流出,38122.13,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7467fcfe078c627ee48108eb,2025-01-28T14:05:00,流出,1735.26,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_81ac19730fb7e7fdecdd9b23,2025-01-31T11:56:10,流入,66972.81,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cdb38ead38b4a772c509fc3c,2025-01-31T13:54:47,流出,2243.06,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f1fdd1f1cb110a27a03a1159,2025-02-01T17:40:45,流出,2009.03,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c778332da1891bc48d8c8923,2025-02-02T10:59:29,流入,32266.93,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_acfb4e9d75565d2b8cf49cf2,2025-02-02T16:15:49,流出,4591.56,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b0789f43b64139c2a97ec310,2025-02-04T11:53:16,流出,1519.38,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e9ffca3b974cf2c02a2b995,2025-02-04T16:58:29,流入,35937.18,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9c6caa0c7e71544e08e10798,2025-02-07T09:20:53,流出,1914.17,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_75809e2650bbfe79a0cd64b1,2025-02-10T11:29:31,流出,52113.74,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b0b32fe068951b2e71cf599,2025-02-10T16:20:51,流出,1659.84,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ddee8b358584562faa557a00,2025-02-13T14:02:39,流出,4454.64,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a5efa66d6f19c9aaa9717ff9,2025-02-13T15:37:46,流出,2312.33,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e35cb27042444e6ff73d6e3,2025-02-13T16:07:15,流出,1670.31,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f400cf3a02afe4ecc5f3aea,2025-02-16T17:22:36,流出,69091.35,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_910fe78bf1431bcd54a5e1bd,2025-02-21T16:04:35,流入,34194.93,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f57d2e06019a49c8982c1cda,2025-02-22T11:02:01,流出,6204.90,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9672bf88c9f625dc9eb7a4e7,2025-02-24T09:18:12,流出,6278.90,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cc34162e35367b5b7f0d282d,2025-02-25T10:22:50,流入,38284.95,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1946ada12c452daf0a417557,2025-02-25T14:26:40,流出,2376.47,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e1abe33bf2f11a660dba904,2025-02-25T14:34:28,流出,70531.92,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ab3ae978d06cfe4e5891c62,2025-02-25T15:25:06,流出,1609.47,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eccfd752fdc63164ac3c2f1c,2025-02-27T13:40:09,流出,69264.47,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd2419912083a0190dfa0878,2025-02-28T09:00:00,流出,9562.87,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c36d15bb24931f3364d5abe,2025-02-28T09:00:00,流出,2627.30,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63ac700239975a989b87df82,2025-02-28T09:00:00,流出,315.27,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_88881980e4e53a5a84f3665c,2025-03-02T13:44:17,流出,4875.33,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_164128e198366eacc06ea9e0,2025-03-03T17:47:00,流出,44288.25,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f16865d06c6f7b1ec31bd942,2025-03-06T10:47:13,流入,73138.41,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9bfef33954ae7b1ebd34a146,2025-03-08T14:42:11,流出,1781.53,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ffa172f91eb0c412bd81b77,2025-03-09T09:42:21,流入,77129.36,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48cf607b4fd3bdffe449604b,2025-03-09T14:04:07,流出,1994.28,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f31e0732a8c48a7de21cc19,2025-03-10T12:14:42,流出,2404.80,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
