transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_6885c9f9cb06aae4af50b0e4,2025-01-01T09:00:00,0.00,155608.24,155608.24
synb1_txn_90415895e28055260ec70865,2025-01-02T09:28:02,0.00,245540.70,401148.94
synb1_txn_f1fc214437d29c5bfa339357,2025-01-02T16:57:40,4329.44,0.00,396819.50
synb1_txn_2b9402a66f3a95812d555f63,2025-01-05T10:19:45,5821.72,0.00,390997.78
synb1_txn_0a5e59cc081776f35ba9eaa1,2025-01-08T15:29:54,120463.58,0.00,270534.20
synb1_txn_a665cb34a1d871670df9c67a,2025-01-11T12:47:46,5159.64,0.00,265374.56
synb1_txn_747a8769b987eab027cc3f1d,2025-01-14T15:04:24,16595.15,0.00,248779.41
synb1_txn_5219607f8ea0b0ae08667966,2025-01-16T14:49:44,15216.65,0.00,233562.76
synb1_txn_063cf8cba27b334a2234e6d7,2025-01-16T16:30:58,20553.23,0.00,213009.53
synb1_txn_593d1730203305553afbfc09,2025-01-17T14:15:59,144690.56,0.00,68318.97
synb1_txn_e1a22756ced4c9ab7e00096f,2025-01-20T14:47:14,18033.97,0.00,50285.00
synb1_txn_9c0469ae9345648dc0c10789,2025-01-23T13:35:50,0.00,237172.56,287457.56
synb1_txn_157b7c3d1fa107b4ccf16ff3,2025-01-23T16:37:07,146480.74,0.00,140976.82
synb1_txn_e252f3d57a36e9daa30a7330,2025-01-25T09:36:12,0.00,266756.61,407733.43
synb1_txn_6c11d542f271f16bac2dc5bd,2025-01-27T11:40:29,131920.67,0.00,275812.76
synb1_txn_add9ef4578228bb256d9f39a,2025-01-27T14:58:15,4803.20,0.00,271009.56
synb1_txn_0aeda9dbd930474f762dc91b,2025-01-31T11:38:14,0.00,216002.13,487011.69
synb1_txn_daa8dfb7f53d5b696e85f504,2025-02-01T11:41:38,0.00,134643.63,621655.32
synb1_txn_eec093cf06a1a74b237e9b5d,2025-02-03T09:00:00,0.00,1508550.00,2130205.32
synb1_txn_083643bdc01896b1b7aceb51,2025-02-03T16:52:17,5815.43,0.00,2124389.89
synb1_txn_1e1eed910d0bad3ba5cd0683,2025-02-07T14:45:08,4918.63,0.00,2119471.26
synb1_txn_bbad24bda28c067274b7acc4,2025-02-09T15:22:15,15020.83,0.00,2104450.43
