transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_6d146ff885a1c4d9a9439402,2024-01-01T09:00:00,0.00,5600000.00,5600000.00
synb1_txn_3195522b17a0808dbda1e1fa,2024-01-03T15:00:00,0.00,61324.83,5661324.83
synb1_txn_614196f377a07795f17d9896,2024-01-05T09:00:00,75000.00,0.00,5586324.83
synb1_txn_9c86df77c6ba5314cbe5b9c8,2024-01-07T09:00:00,270000.00,0.00,5316324.83
synb1_txn_1acaa5ca93e07bd3241205b2,2024-01-12T09:00:00,1407516.54,0.00,3908808.29
synb1_txn_437d7d573a3e37e29a39e768,2024-01-15T15:00:00,0.00,232455.87,4141264.16
synb1_txn_760b40b8dda7f5772a201a36,2024-01-18T09:00:00,178007.79,0.00,3963256.37
synb1_txn_cfec7b5800fa10fee8543775,2024-01-20T09:00:00,16642.09,0.00,3946614.28
synb1_txn_09014ea33c8782cf0322e44c,2024-01-22T09:00:00,33855.67,0.00,3912758.61
synb1_txn_c488bffe74d8bfb4ef27948a,2024-01-22T15:00:00,0.00,990219.30,4902977.91
synb1_txn_55d87ea0b81878c8ebc5e497,2024-01-24T09:00:00,28357.91,0.00,4874620.00
synb1_txn_b8a000dfab029d722a2a72ae,2024-02-04T15:00:00,0.00,112573.84,4987193.84
synb1_txn_6f77d61080be3e84c9516cfd,2024-02-05T09:00:00,75000.00,0.00,4912193.84
synb1_txn_4a4968a3805dc727f943cab0,2024-02-07T09:00:00,270000.00,0.00,4642193.84
synb1_txn_bf38b5ffc812900b10f1b9aa,2024-02-07T09:00:00,222681.22,0.00,4419512.62
synb1_txn_4337540c31ecc4e9cdbf8dc0,2024-02-07T15:00:00,0.00,213653.72,4633166.34
synb1_txn_bf4bcde87ed6bd86e4149f52,2024-02-08T09:00:00,30982.87,0.00,4602183.47
synb1_txn_f81077a010555df6dd66d038,2024-02-08T09:00:00,647949.03,0.00,3954234.44
synb1_txn_66fe759c9546e7b1d473c068,2024-02-12T09:00:00,52495.84,0.00,3901738.60
synb1_txn_647144ce3233c7ea461bb027,2024-02-13T09:00:00,2981.04,0.00,3898757.56
synb1_txn_707175a341078a82399974df,2024-02-13T09:00:00,95103.22,0.00,3803654.34
synb1_txn_dbb500c73a2fcba8b4fa5fc6,2024-02-15T09:00:00,2522.47,0.00,3801131.87
synb1_txn_2343f4d13da5650083366e43,2024-02-15T09:00:00,15088.10,0.00,3786043.77
synb1_txn_d97f344fa7b98f51cb10f757,2024-02-18T09:00:00,21400.00,0.00,3764643.77
synb1_txn_7d9eaa1a30c00e8ec3e044d0,2024-02-18T09:00:00,2568.00,0.00,3762075.77
synb1_txn_1942a28e837a5e2ebb78a9e8,2024-02-18T15:00:00,0.00,700790.47,4462866.24
synb1_txn_cd1e523d22cde136b2968506,2024-02-19T09:00:00,139853.65,0.00,4323012.59
synb1_txn_862bc0da4494e0385b017457,2024-02-19T15:00:00,0.00,45049.15,4368061.74
synb1_txn_5842de83208ec3a75109b1db,2024-02-20T09:00:00,330332.14,0.00,4037729.60
synb1_txn_9b9882601e45e99ab1364a17,2024-02-23T09:00:00,350000.00,0.00,3687729.60
synb1_txn_61a3516914783aed09a594c7,2024-02-23T09:00:00,446623.93,0.00,3241105.67
synb1_txn_ce91f79adcd4f9efec4f8e19,2024-02-24T09:00:00,38388.93,0.00,3202716.74
synb1_txn_5d72d8a403eb7354a30efde0,2024-02-25T15:00:00,0.00,105710.86,3308427.60
synb1_txn_d4bc8bb862a214876641ec7b,2024-02-25T15:00:00,0.00,447555.81,3755983.41
synb1_txn_cc40e1f2c382beb3ef249a2e,2024-02-26T09:00:00,1107.56,0.00,3754875.85
synb1_txn_1debd1304462a503570fe37c,2024-02-27T15:00:00,0.00,592666.15,4347542.00
synb1_txn_05b44d75a6ec37d713e34b28,2024-03-03T09:00:00,22632.92,0.00,4324909.08
synb1_txn_b59680c3def9844620ff7eb2,2024-03-03T09:00:00,268666.51,0.00,4056242.57
synb1_txn_7d8a83d05209c226290ece1f,2024-03-03T15:00:00,0.00,601944.14,4658186.71
synb1_txn_0efab12016e245bcb9df3f88,2024-03-04T09:00:00,124320.82,0.00,4533865.89
synb1_txn_19ab8bf0c70e365ca7eb88b0,2024-03-05T09:00:00,75000.00,0.00,4458865.89
