transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_8a8f84973b1647dd4adcf50b,2025-01-01T09:00:00,0.00,1170320.61,1170320.61
synb1_txn_9522dfe3bb8bc880033a0cc8,2025-01-01T15:21:32,2230.07,0.00,1168090.54
synb1_txn_3fdd0800f1bac16202df28bf,2025-01-03T10:43:14,6653.56,0.00,1161436.98
synb1_txn_5a7534658c4f2bab397e85f9,2025-01-13T16:26:06,2198.98,0.00,1159238.00
synb1_txn_4a2224cd28913e164cb473af,2025-01-16T14:57:45,2064.47,0.00,1157173.53
synb1_txn_5596af02a2199fc78084a841,2025-01-18T13:40:32,1668.48,0.00,1155505.05
synb1_txn_71ecf0b244fe31515a9ad8e5,2025-01-19T12:10:39,7194.38,0.00,1148310.67
synb1_txn_c6df2a28592e559bd7e904da,2025-01-23T09:19:16,5257.02,0.00,1143053.65
synb1_txn_65667577ddaede2e62a9420c,2025-01-29T14:30:24,6238.05,0.00,1136815.60
synb1_txn_be9b19dfdfdc3e03b4c3252a,2025-02-01T09:16:43,5275.22,0.00,1131540.38
synb1_txn_834d3cae8a8dcd7ba2d5ece4,2025-02-14T13:18:02,1744.98,0.00,1129795.40
synb1_txn_24e3cade9ee09e2f7631e870,2025-02-21T11:10:52,2070.85,0.00,1127724.55
synb1_txn_aa640eb6b32e06de1783c558,2025-02-21T13:31:10,2122.96,0.00,1125601.59
synb1_txn_002f02ed970d4301fcb13e74,2025-02-24T12:35:54,2223.21,0.00,1123378.38
synb1_txn_18b37c3efa55cd4a15122435,2025-02-24T13:57:13,6922.78,0.00,1116455.60
synb1_txn_0e0409a89e95a4781eea7d76,2025-02-24T17:59:45,5653.76,0.00,1110801.84
synb1_txn_5853111dc335b388cbe443a9,2025-02-26T15:02:31,7491.25,0.00,1103310.59
synb1_txn_8ce96e094c43013330042f7f,2025-02-28T09:00:00,9318.72,0.00,1093991.87
synb1_txn_776ed1e77e1f283965d86a40,2025-02-28T09:00:00,3836.14,0.00,1090155.73
synb1_txn_2063ac8c7c6a474fda420e1c,2025-02-28T09:00:00,460.33,0.00,1089695.40
synb1_txn_b4b910672f6ba97265fb045f,2025-03-01T14:49:21,6240.80,0.00,1083454.60
synb1_txn_8844ca135a0d05b4b82c4648,2025-03-01T16:33:30,5780.46,0.00,1077674.14
synb1_txn_5f969eb52d219217c0cfffc3,2025-03-09T17:56:34,2349.72,0.00,1075324.42
synb1_txn_e50c19851c05715bb262b09b,2025-03-10T16:13:20,0.00,45157.60,1120482.02
synb1_txn_0678d2114ef008eb10d2e405,2025-03-15T15:52:44,1888.21,0.00,1118593.81
synb1_txn_46a1274d86d953537268153f,2025-03-16T10:11:50,1788.06,0.00,1116805.75
synb1_txn_da52aa9cba4b5a0b5ce2b97a,2025-03-18T11:22:11,0.00,45567.75,1162373.50
synb1_txn_466dce71b30c88dcee94276c,2025-03-18T13:29:04,0.00,58733.59,1221107.09
synb1_txn_e228b106aab8f8c7a33d64fc,2025-03-19T11:13:10,197889.05,0.00,1023218.04
synb1_txn_e9f3f362ea8bb385f5af2359,2025-03-20T16:07:43,229282.54,0.00,793935.50
synb1_txn_0a12a83bab333c2db518dd2b,2025-03-22T17:06:15,232765.72,0.00,561169.78
synb1_txn_3ce5a1eaca5e727dd791a49b,2025-03-24T09:25:40,233260.10,0.00,327909.68
synb1_txn_695cf9ea5892b8305f5683fd,2025-03-27T14:28:12,2136.01,0.00,325773.67
synb1_txn_d6e0e3dee365300de7a1830b,2025-03-28T09:00:00,9659.56,0.00,316114.11
synb1_txn_1069393c051544a065bb46c3,2025-03-28T09:00:00,3917.76,0.00,312196.35
synb1_txn_1828c199af344d2d876e532c,2025-03-28T09:00:00,470.13,0.00,311726.22
synb1_txn_e234c178218e994647e200e9,2025-03-28T12:41:03,0.00,42348.06,354074.28
synb1_txn_dc1415f5de3a87ecbcaee4e8,2025-03-30T12:58:50,6180.41,0.00,347893.87
synb1_txn_d5650530ce93d308f02957ea,2025-03-30T17:55:04,7141.34,0.00,340752.53
synb1_txn_ac5655ba2eef2d13557337f0,2025-04-01T13:37:18,0.00,93192.91,433945.44
synb1_txn_1164b35274f8b4a2dc85923c,2025-04-05T14:55:13,2345.38,0.00,431600.06
synb1_txn_0dc0003bef137fe7e5787e28,2025-04-11T10:48:34,0.00,89728.74,521328.80
synb1_txn_ed15aa0a57b33461ea812fe1,2025-04-13T14:35:33,1929.53,0.00,519399.27
synb1_txn_1f32bed9698cad6f28ab922c,2025-04-14T11:36:05,6091.94,0.00,513307.33
synb1_txn_be8af3bc6cd321561e8d577e,2025-04-17T11:17:10,6991.59,0.00,506315.74
synb1_txn_9ccf3da5359c66813f176b49,2025-04-17T16:25:41,6570.41,0.00,499745.33
synb1_txn_3437ed50e2e86dd58cfeeb0c,2025-04-18T12:10:03,1942.25,0.00,497803.08
synb1_txn_c8aee7ed7ad7c770c5381444,2025-04-19T11:47:09,1944.84,0.00,495858.24
synb1_txn_e2757dd571e58163444a6b9b,2025-04-22T16:02:31,0.00,94825.90,590684.14
synb1_txn_d64390fd902ab046c823fec3,2025-04-26T10:26:27,75629.62,0.00,515054.52
synb1_txn_f395a2e7708e1c9d4880036f,2025-04-27T17:59:08,81846.63,0.00,433207.89
synb1_txn_7f5ab556f3a87554f3a39df8,2025-04-28T09:00:00,10000.41,0.00,423207.48
synb1_txn_13067a389ac31ded3c7ef9f9,2025-04-28T09:00:00,3999.38,0.00,419208.10
synb1_txn_23976dd32eaa91c5e62de4dd,2025-04-28T09:00:00,479.92,0.00,418728.18
synb1_txn_9f1fc7b4c11be1832dfbb4f2,2025-04-29T09:10:04,81000.89,0.00,337727.29
synb1_txn_8035f9e57dad100ccce1a30e,2025-04-29T13:08:36,5689.07,0.00,332038.22
synb1_txn_dacd07a967ad523408af7364,2025-04-29T14:24:53,0.00,109947.45,441985.67
synb1_txn_c01ba634433a7ed042fcfc05,2025-04-29T17:29:44,91761.43,0.00,350224.24
synb1_txn_2bd2366bd2eb3a59a84513b6,2025-05-02T11:17:31,122119.57,0.00,228104.67
synb1_txn_e4433d739f4edb312712ea84,2025-05-04T13:59:57,137392.57,0.00,90712.10
synb1_txn_7e79c96aafa21097f0b9dd9c,2025-05-05T16:39:46,7133.26,0.00,83578.84
synb1_txn_324af6f18b9d6b14129a3c6c,2025-05-08T11:50:38,2190.38,0.00,81388.46
synb1_txn_0c69bd2dc7ed9358af15a65c,2025-05-10T15:50:21,0.00,92653.95,174042.41
synb1_txn_edd0f73ab21d621f85a0183c,2025-05-11T15:33:12,1751.51,0.00,172290.90
synb1_txn_d35e3e57ba8603170a14c272,2025-05-12T10:09:29,0.00,87950.48,260241.38
synb1_txn_75ecd31c93ab23949f86e41e,2025-05-15T13:04:20,2280.43,0.00,257960.95
synb1_txn_ea226fca6e8cea2a819288c2,2025-05-20T10:32:04,0.00,101145.72,359106.67
synb1_txn_32a1dcb39fd2a8edbaaf3d0c,2025-05-20T17:09:00,1939.68,0.00,357166.99
synb1_txn_8064cb75b47665d141a81bf7,2025-05-25T12:59:53,5915.78,0.00,351251.21
synb1_txn_29f67339366a9a72be4eaefc,2025-05-28T09:00:00,10341.25,0.00,340909.96
synb1_txn_0df8ef6d0ae496d6e50db2a6,2025-05-28T09:00:00,4081.00,0.00,336828.96
synb1_txn_7a853b9585bfcda357ecbf7a,2025-05-28T09:00:00,489.72,0.00,336339.24
synb1_txn_86b22449b44c613de49d7dad,2025-05-28T09:37:41,146057.54,0.00,190281.70
synb1_txn_beff0e531f6b4e57bce41cee,2025-05-29T09:01:48,105098.17,0.00,85183.53
synb1_txn_73705650aac83709775157f3,2025-05-30T11:29:23,6340.75,0.00,78842.78
synb1_txn_e984b763fec6088d6e339216,2025-05-30T15:57:26,0.00,114106.85,192949.63
synb1_txn_9a55399af83ae31461968084,2025-05-31T17:07:38,5953.22,0.00,186996.41
synb1_txn_24836fa503402a4fc85a4772,2025-06-04T12:48:18,0.00,107793.22,294789.63
synb1_txn_f420c2d5abc8c899a566e827,2025-06-05T15:59:57,2243.02,0.00,292546.61
synb1_txn_dcde2fb1774ff9b6525577f3,2025-06-07T12:12:48,90603.57,0.00,201943.04
synb1_txn_79c382695d35014accfd2126,2025-06-12T10:41:31,7168.02,0.00,194775.02
synb1_txn_e36e103058e3c9ba28057215,2025-06-15T10:10:50,5960.52,0.00,188814.50
