transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_a9d4f0007cb0a8287bcdced3,2024-01-01T09:00:00,流入,1100000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_612854398ac87e735e7388a2,2024-01-03T09:00:00,流出,14531.53,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f0d53875d9e17b69003bc8f,2024-01-04T09:00:00,流出,12144.53,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_576defe7392b013cdb1b55a2,2024-01-05T09:00:00,流出,7500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_07021c07850b668da26187e4,2024-01-07T09:00:00,流出,26000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1053371c1374a8dd2310487a,2024-01-07T09:00:00,流出,2632.24,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f4bf4d52b4e4b52887d92f3,2024-01-07T15:00:00,流入,2050.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eaaf66cdf068be21ed50208e,2024-01-07T15:00:00,流入,26966.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c03389077897d45c4be2dfe,2024-01-09T15:00:00,流入,4273.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a3fb2bbe06b32a2b6a98082,2024-01-09T15:00:00,流入,10443.15,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d4ae0cc253bc68b79a00330,2024-01-10T09:00:00,流出,7326.47,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0605767ab92ca352038632b2,2024-01-10T15:00:00,流入,2126.41,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f4e4a408ec59e58d394aa97,2024-01-12T09:00:00,流出,19787.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
