transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_80cfb800ecaf52ed3c34906b,2024-01-01T09:00:00,0.00,1658292.86,1658292.86
synb1_txn_18f5fa43b88913a0107c9434,2024-01-02T09:00:00,235.80,0.00,1658057.06
synb1_txn_acadbdee3f783cdeffe10243,2024-01-03T09:00:00,13114.19,0.00,1644942.87
synb1_txn_c7942b31dedb6f59ebf69874,2024-01-04T09:00:00,4884.92,0.00,1640057.95
synb1_txn_69a4354e0aa0d755887f9433,2024-01-05T09:00:00,18000.00,0.00,1622057.95
synb1_txn_8a80baea90adb4b782a1f345,2024-01-05T09:00:00,85710.63,0.00,1536347.32
synb1_txn_b860119436da8aeaf43ee76d,2024-01-07T09:00:00,52000.00,0.00,1484347.32
synb1_txn_59e09b39920235193d3518c5,2024-01-07T09:00:00,201676.25,0.00,1282671.07
synb1_txn_3f007f60df98648585df8895,2024-01-12T09:00:00,15540.77,0.00,1267130.30
synb1_txn_011cd620a277e4daf783b213,2024-01-12T15:00:00,0.00,140605.67,1407735.97
synb1_txn_6ef310eb4e726443d2c311ad,2024-01-12T15:00:00,0.00,130069.86,1537805.83
synb1_txn_a0cfe3415d1c7e333281c0a2,2024-01-13T09:00:00,5615.49,0.00,1532190.34
synb1_txn_354a1c812ed071cc72ce0185,2024-01-15T09:00:00,263.79,0.00,1531926.55
synb1_txn_1bf14b19a1a159a81c2f13db,2024-01-21T15:00:00,0.00,327188.47,1859115.02
synb1_txn_7bdb615b061126507d9db253,2024-01-26T09:00:00,260637.84,0.00,1598477.18
synb1_txn_bbfc7dae0ec7c2385125ec17,2024-02-03T09:00:00,118669.23,0.00,1479807.95
synb1_txn_38a4758ebedeeab1e7e2110d,2024-02-04T15:00:00,0.00,134871.76,1614679.71
synb1_txn_06d22b1d57246816b9120de0,2024-02-05T09:00:00,18000.00,0.00,1596679.71
synb1_txn_8692315826093419809b49d3,2024-02-05T15:00:00,0.00,96081.48,1692761.19
