transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_a2962f945b6bf554ba5ff237,2024-01-01T09:00:00,流入,1550000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7dc9ed916484ac2e9c6f49d3,2024-01-02T09:00:00,流出,7021.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4182ebcf5eb974bbc47086ae,2024-01-02T15:00:00,流入,5931.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f73c5d4e51302b03f1da2357,2024-01-05T09:00:00,流出,30000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2bd42e9b67d653e1831bb8b,2024-01-06T09:00:00,流出,7129.06,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed303e3c795f2aeb056aa629,2024-01-11T15:00:00,流入,2423.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57bfdf42b38582370f59756c,2024-01-12T09:00:00,流出,2093.38,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c27a9129f9e777deedff816,2024-01-12T15:00:00,流入,68020.47,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4f4d99161fe07ec1a32cf22,2024-01-14T09:00:00,流出,281296.87,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_73c3aa96d2c7e18672a187b1,2024-01-15T15:00:00,流入,16879.38,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68ffd3637a1c4fcd3bc754d9,2024-01-16T15:00:00,流入,16997.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_87773fb3071ace32c1660570,2024-01-22T15:00:00,流入,25222.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63bd8b053e6c798448b6332d,2024-01-25T09:00:00,流出,10777.56,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4e0a86a223a1cedd8a9dcfa9,2024-01-27T15:00:00,流入,39161.22,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7ad941b21709619b7e166d5,2024-01-28T09:00:00,流出,100000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b4d6cafb95239dc654c2b1d,2024-01-28T15:00:00,流入,27763.77,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa8140d968494a0fe74c5176,2024-02-05T09:00:00,流出,30000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b2ebb193ad29920e21902eb,2024-02-05T15:00:00,流入,17274.58,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eacbeb2218168df34ae75ee3,2024-02-05T15:00:00,流入,73585.63,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f97ed92593396b047148acf4,2024-02-07T09:00:00,流出,171449.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ff707616b9ca81924a1a863,2024-02-07T09:00:00,流出,44592.11,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8b33ac33afddff34e1b7da66,2024-02-07T15:00:00,流入,16193.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a3fe7b4c807dc353cb1de68a,2024-02-07T15:00:00,流入,3746.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5be6b126f42fe42d6ad141e9,2024-02-08T15:00:00,流入,81338.50,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b9becc11e8d873057e81fe2c,2024-02-10T09:00:00,流出,31927.45,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f8d07642b6244aa4a3c3442e,2024-02-10T15:00:00,流入,215480.29,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f05f257ca851a17c4a59ce2,2024-02-13T09:00:00,流出,9532.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9fe73c5ef401ce528863ac8f,2024-02-14T09:00:00,流出,1835.19,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c22c9faceb5c63389508de53,2024-02-14T09:00:00,流出,64447.57,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c5a049f439468800a35517a1,2024-02-14T09:00:00,流出,47876.73,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3665337a6bbcc84568da31f9,2024-02-16T09:00:00,流出,1597.36,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b81904b1e2b3edc1c846576,2024-02-16T09:00:00,流出,42400.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ba45f81ba93ad2b16b833a4,2024-02-16T15:00:00,流入,16627.12,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d13cb007adcf3af442bf194,2024-02-17T09:00:00,流出,1861.88,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5123b427fa85a27da330077a,2024-02-18T09:00:00,流出,5060.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ca9f463e9ba24b5a411457cd,2024-02-18T09:00:00,流出,607.20,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66b54beac378876aca3581f5,2024-02-18T09:00:00,流出,62579.35,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
