transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_01e9b10944b63ee386d1796c,2024-01-01T09:00:00,0.00,5800000.00,5800000.00
synb1_txn_e4aa7e60e8f34e0abe883656,2024-01-04T15:00:00,0.00,83616.26,5883616.26
synb1_txn_dbca5634a7a6b4bb072bba20,2024-01-05T09:00:00,80000.00,0.00,5803616.26
synb1_txn_15212c7c40c625cd45f66a58,2024-01-05T09:00:00,535842.10,0.00,5267774.16
synb1_txn_fcf503613e8a672cfd70a040,2024-01-06T09:00:00,159952.39,0.00,5107821.77
synb1_txn_a34317584ea13c46a4448f02,2024-01-07T09:00:00,300000.00,0.00,4807821.77
synb1_txn_ab1b31337b41c940ee8a1c68,2024-01-08T09:00:00,361.66,0.00,4807460.11
synb1_txn_eced0ec86d92660448f8cb46,2024-01-08T09:00:00,313656.84,0.00,4493803.27
synb1_txn_9472595917b9e0741310e621,2024-01-10T09:00:00,262.92,0.00,4493540.35
synb1_txn_3f7b959c7b5ca220cfba1adc,2024-01-11T15:00:00,0.00,181718.76,4675259.11
synb1_txn_32ac31617e0b9a834190baba,2024-01-12T09:00:00,23030.84,0.00,4652228.27
synb1_txn_13bb7ec2be518c0e31256d5c,2024-01-13T09:00:00,30578.99,0.00,4621649.28
synb1_txn_ee896c46f19b3d2517b80b19,2024-01-15T15:00:00,0.00,375162.08,4996811.36
synb1_txn_a5d9373a5c215a1cb56a8e15,2024-01-16T09:00:00,19936.39,0.00,4976874.97
synb1_txn_f964a43f05f95b612370ac7e,2024-01-18T15:00:00,0.00,482279.36,5459154.33
synb1_txn_250e9c04b50df4f66fbc2aa4,2024-01-20T09:00:00,550744.01,0.00,4908410.32
synb1_txn_9dfdc85e3f4eb4ef21e896f5,2024-01-20T15:00:00,0.00,305223.54,5213633.86
synb1_txn_8d9f70da36b750e4e20f4233,2024-01-22T09:00:00,86704.00,0.00,5126929.86
synb1_txn_d7aa6c2fa74ba14ad8493cef,2024-01-22T09:00:00,111271.67,0.00,5015658.19
synb1_txn_6c37483c3068cee4db810089,2024-01-25T09:00:00,6408.19,0.00,5009250.00
synb1_txn_b0e1d2b473b600ce1b404ec5,2024-02-02T15:00:00,0.00,77567.79,5086817.79
synb1_txn_551bc7e81850aa745f9f8d4f,2024-02-02T15:00:00,0.00,342351.64,5429169.43
synb1_txn_57552dd253fa92b88dc5d522,2024-02-03T09:00:00,50183.52,0.00,5378985.91
synb1_txn_6369ddd6bb05949fb9534204,2024-02-03T15:00:00,0.00,177282.74,5556268.65
synb1_txn_ddbc3ef7e2cb1cd36ba9babc,2024-02-05T09:00:00,80000.00,0.00,5476268.65
synb1_txn_769b8f9912b2346dff41780d,2024-02-07T09:00:00,300000.00,0.00,5176268.65
synb1_txn_f60e6f7fc71086158cf77ee0,2024-02-07T15:00:00,0.00,1979.77,5178248.42
synb1_txn_a39b5b0aaeb93040a946abb3,2024-02-07T15:00:00,0.00,33991.69,5212240.11
synb1_txn_f6cfdcdf5c431c4d2784a287,2024-02-10T15:00:00,0.00,208164.37,5420404.48
synb1_txn_2ccb62c15b37bb426acef553,2024-02-11T09:00:00,123347.10,0.00,5297057.38
synb1_txn_4136e5c57561289f4433faaa,2024-02-12T15:00:00,0.00,195177.20,5492234.58
synb1_txn_ea05eb8a2b02040b40c5b788,2024-02-12T15:00:00,0.00,115693.61,5607928.19
synb1_txn_b235c1018c1be80be1efd226,2024-02-13T09:00:00,31494.87,0.00,5576433.32
synb1_txn_f1a8f3c6aba2e521c5460fc0,2024-02-14T09:00:00,7098.61,0.00,5569334.71
synb1_txn_0ff5551ce84f14ba2cf25b32,2024-02-16T09:00:00,465804.29,0.00,5103530.42
synb1_txn_fc93fae28d5bf76b3c5b006d,2024-02-17T09:00:00,8063.04,0.00,5095467.38
synb1_txn_13a949109d4c6d2f71b4c810,2024-02-17T09:00:00,6655.68,0.00,5088811.70
synb1_txn_dd14c1e49425f170963e1709,2024-02-18T09:00:00,27668.80,0.00,5061142.90
synb1_txn_261cffaae9d6b1bee4432b00,2024-02-18T09:00:00,23800.00,0.00,5037342.90
synb1_txn_1571c6fc45e12575dff59766,2024-02-18T09:00:00,2856.00,0.00,5034486.90
