calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3820742.19,0.00,1,3820742.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_8fc9d23a91669b42ed682cc0,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,1075182.76,0.00,1,4895924.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_589d8c6d6ee84f0966733cd4,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,0.00,0,4895924.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,0.00,26525.59,1,4869399.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_bf5c3a1680934709e851d378,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,4869399.36,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,1111105.88,187611.34,3,5792893.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_4ca30b44541f96fefe5677a1,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,0.00,0,5792893.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,65439.79,2,5727454.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_d37479e3f709ef60c1dec3be,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,661942.71,1,5065511.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_d964ffe4c747f42f6f38294b,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,858341.63,1,4207169.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_71fc1d95616f51b76943f270,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,4207169.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,4207169.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,4207169.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,4207169.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,626711.14,1,3580458.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_7f26d9d6bcdce6b39aa22825,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,0.00,0,3580458.63,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,34244.02,1,3546214.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_7b36d6a58f363c0c673d4514,trusted,weekday_rule,base_calendar,True,14,2025-01-20,complete
2025-01-18,0.00,0.00,0,3546214.61,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,3546214.61,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,852401.49,0.00,1,4398616.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_add37bc8bb730dd9dc360a1e,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,4398616.10,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,0.00,0,4398616.10,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,4398616.10,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
2025-01-24,0.00,152729.79,2,4245886.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_6ecfb80157c1c00c67e0d813,trusted,weekday_rule,base_calendar,True,19,2025-01-25,complete
2025-01-25,786445.87,0.00,1,5032332.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_95695e56fddab1923fdb2d1e,trusted,historical_transaction_override,historical_transaction_override,True,20,2025-01-26,complete
2025-01-26,0.00,0.00,0,5032332.18,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,21,2025-01-27,complete
2025-01-27,0.00,814815.80,1,4217516.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_b8bbdaa59e5a77e47718433a,trusted,weekday_rule,base_calendar,True,22,2025-01-29,complete
2025-01-28,0.00,0.00,0,4217516.38,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,40369.75,1,4177146.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_ab2607c106ab8ee854ae5750,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-01-30,complete
2025-01-30,0.00,156623.72,3,4020522.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_d4b846f1fec35a8b08fe052d,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-02-01,complete
2025-01-31,0.00,0.00,0,4020522.91,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,486314.37,39576.33,2,4467260.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_f4da3108f2ab8645f2806f98,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-02-02,complete
2025-02-02,0.00,65398.87,2,4401862.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_1783d85fc273dfa583b137f7,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-03,complete
2025-02-03,0.00,1302646.56,1,3099215.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_45194c537cc5cfdb8b142da3,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-02-04,complete
2025-02-04,0.00,83989.33,1,3015226.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_e6541c18a5fc9af87a693015,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-05,complete
