calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_6d49397e53bfc65263d85b41,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,0.00,93994.52,2,3506005.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_a2f33b1a8a6cc550a9f50ddb,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,3506005.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,0.00,0.00,0,3506005.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2024-01-06,complete
2024-01-06,0.00,80427.00,1,3425578.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_78dd1c97b2b3a23a0c5ca0f2,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-07,complete
2024-01-07,0.00,169159.04,1,3256419.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_73bf3ab5f1ccd42c63794025,trusted,historical_transaction_override,historical_transaction_override,True,7,2024-01-08,complete
2024-01-08,0.00,0.00,0,3256419.44,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-09,complete
2024-01-09,0.00,0.00,0,3256419.44,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2024-01-10,complete
2024-01-10,0.00,0.00,0,3256419.44,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2024-01-11,complete
2024-01-11,41827.33,0.00,1,3298246.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_7f9d01eb98cd7020f258ff46,trusted,weekday_rule,base_calendar,True,11,2024-01-12,complete
2024-01-12,0.00,0.00,0,3298246.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2024-01-15,complete
2024-01-13,0.00,0.00,0,3298246.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-14,0.00,0.00,0,3298246.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-15,0.00,0.00,0,3298246.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2024-01-16,complete
2024-01-16,0.00,0.00,0,3298246.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2024-01-17,complete
2024-01-17,0.00,55029.00,1,3243217.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_de9bc843cd7860a0dfe0ab46,trusted,weekday_rule,base_calendar,True,15,2024-01-18,complete
