transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_2642fd227a6aaee26290b619,2024-01-01T09:00:00,0.00,1813000.00,1813000.00
synb1_txn_d7d2b5cf4c351c763e796254,2024-01-05T09:00:00,7800.00,0.00,1805200.00
synb1_txn_3d0479ee90cf5a47623fa3c6,2024-01-07T09:00:00,31500.00,0.00,1773700.00
synb1_txn_c73427185cb941785b231c1e,2024-01-08T09:00:00,2477.82,0.00,1771222.18
synb1_txn_f7c00bd17eeaee254897f1a5,2024-01-11T09:00:00,34162.11,0.00,1737060.07
synb1_txn_f0e0ef2ec16c58e1f959304e,2024-01-11T15:00:00,0.00,178265.36,1915325.43
synb1_txn_f258dc0a87f8a2eff6903bc5,2024-01-12T09:00:00,10969.88,0.00,1904355.55
synb1_txn_b4086f96b17c4d9b97c071bb,2024-01-12T15:00:00,0.00,67245.99,1971601.54
synb1_txn_5e9b9e59eb09e37c28aa0c6e,2024-01-13T09:00:00,3722.18,0.00,1967879.36
synb1_txn_095d4e11042862850b2fd532,2024-01-15T09:00:00,47825.17,0.00,1920054.19
synb1_txn_be0500f2849b69dd7126e55b,2024-01-16T09:00:00,100408.18,0.00,1819646.01
synb1_txn_f110e021ffdc0840414cbcd9,2024-01-17T09:00:00,2089.22,0.00,1817556.79
synb1_txn_a54b5883f7a61b480e00dbe6,2024-01-17T09:00:00,78611.51,0.00,1738945.28
synb1_txn_e9f5e86a0e3a2bb91549199b,2024-01-23T09:00:00,70000.00,0.00,1668945.28
synb1_txn_e41ee84ec489ea1f247352b1,2024-01-24T15:00:00,0.00,9132.65,1678077.93
synb1_txn_da8e770795af48357df16ea2,2024-01-25T09:00:00,77167.59,0.00,1600910.34
synb1_txn_0198069d59476e1bf14cec0f,2024-02-05T09:00:00,7800.00,0.00,1593110.34
synb1_txn_c11f9ac68feda67d945c81f5,2024-02-05T15:00:00,0.00,32384.11,1625494.45
synb1_txn_d3bbe52189a4deee23c2fdef,2024-02-05T15:00:00,0.00,54202.90,1679697.35
synb1_txn_bc5cd4ed904ab68e291d2bce,2024-02-05T15:00:00,0.00,3274.66,1682972.01
synb1_txn_e03d309526f8f932698c361d,2024-02-07T09:00:00,31500.00,0.00,1651472.01
synb1_txn_c4304e1e425c98251bbf3220,2024-02-08T15:00:00,0.00,84057.00,1735529.01
synb1_txn_f7eb528ea7cb6ab7fcd8c083,2024-02-10T09:00:00,1870.96,0.00,1733658.05
synb1_txn_6cd8e46dc8bc94fa9b020deb,2024-02-10T15:00:00,0.00,25727.57,1759385.62
synb1_txn_506d3d3d7ae81645b13564a3,2024-02-12T15:00:00,0.00,43816.09,1803201.71
synb1_txn_a5195474887a811ecd5da2c0,2024-02-12T15:00:00,0.00,943.15,1804144.86
synb1_txn_fa3c61a9ed3e08ad5bb393e9,2024-02-13T09:00:00,12924.19,0.00,1791220.67
synb1_txn_5f798534198d989edfabdb7e,2024-02-13T15:00:00,0.00,3979.62,1795200.29
synb1_txn_918ee259834abf9401a39307,2024-02-14T09:00:00,651.84,0.00,1794548.45
synb1_txn_655971beade277a163c36892,2024-02-15T09:00:00,1628.78,0.00,1792919.67
synb1_txn_f7628aae87cbac6c43421fb0,2024-02-15T09:00:00,8966.62,0.00,1783953.05
synb1_txn_c439272e8e6752ec73cb0e97,2024-02-16T09:00:00,83382.92,0.00,1700570.13
synb1_txn_2774cf3aa74622a89a6531a7,2024-02-16T15:00:00,0.00,25773.54,1726343.67
synb1_txn_caecbc8ef2d448b5c401fc69,2024-02-18T09:00:00,3514.67,0.00,1722829.00
synb1_txn_44374b883cf0e1042346e16a,2024-02-18T09:00:00,4897.00,0.00,1717932.00
synb1_txn_4b9db944042347787f18d4ee,2024-02-18T09:00:00,587.64,0.00,1717344.36
synb1_txn_fed41f0db4b673ca6888478d,2024-02-18T09:00:00,672.09,0.00,1716672.27
synb1_txn_6be3972850290302c0eba0c1,2024-02-18T15:00:00,0.00,1616.90,1718289.17
synb1_txn_c08f5437af7169fdc448de9d,2024-02-19T09:00:00,608.34,0.00,1717680.83
synb1_txn_ebb1ded2dc106e498c38629e,2024-02-19T09:00:00,33723.44,0.00,1683957.39
synb1_txn_8d4a34cf85e7c0241c267a16,2024-02-19T15:00:00,0.00,9502.06,1693459.45
synb1_txn_6550422fe41cf6cc60caf9b9,2024-02-20T09:00:00,50000.00,0.00,1643459.45
synb1_txn_a9127c8a01335d4ad2dc0609,2024-02-20T15:00:00,0.00,9497.56,1652957.01
synb1_txn_013e32d15dfc2c26d78b1b28,2024-02-21T09:00:00,7590.71,0.00,1645366.30
synb1_txn_a9c21f8d59f9daa93f3ee0fe,2024-02-21T09:00:00,52106.37,0.00,1593259.93
synb1_txn_89b20393fa9fc4259337790c,2024-02-24T09:00:00,1440.08,0.00,1591819.85
synb1_txn_6d3ed5e33aebbca5ae624a72,2024-02-24T09:00:00,2584.27,0.00,1589235.58
synb1_txn_df5d6445f94a41abbcc83b2f,2024-02-24T15:00:00,0.00,19260.26,1608495.84
synb1_txn_ef0aaafd409379e3c13b27dc,2024-02-24T15:00:00,0.00,8015.06,1616510.90
synb1_txn_aecb19b53545e8690140e847,2024-02-25T09:00:00,4539.18,0.00,1611971.72
synb1_txn_6a806ef022e162651f71a3ea,2024-02-25T09:00:00,29346.64,0.00,1582625.08
synb1_txn_4799aef0e8cec542dd189958,2024-02-25T15:00:00,0.00,8134.44,1590759.52
synb1_txn_f9a7ca811249624689883591,2024-02-25T15:00:00,0.00,6367.74,1597127.26
synb1_txn_48360cf8f1266e90f363911f,2024-02-26T09:00:00,27856.09,0.00,1569271.17
synb1_txn_effd530525b5e5bb8c93d57f,2024-02-28T15:00:00,0.00,9315.34,1578586.51
synb1_txn_fac2a15c87507b27882cc72f,2024-03-02T09:00:00,11655.78,0.00,1566930.73
synb1_txn_426a85a83815e97eeadd1440,2024-03-02T09:00:00,19657.02,0.00,1547273.71
synb1_txn_80405c982ba96664d92cf013,2024-03-05T09:00:00,2519.00,0.00,1544754.71
synb1_txn_05e4fdafc94c06c061adc700,2024-03-05T09:00:00,7800.00,0.00,1536954.71
synb1_txn_99272c0987b7418484fc983d,2024-03-06T15:00:00,0.00,25504.45,1562459.16
synb1_txn_f664dea40ce0e017e5bfddae,2024-03-06T15:00:00,0.00,11642.09,1574101.25
synb1_txn_5620bb0873029f770fc29733,2024-03-06T15:00:00,0.00,22600.63,1596701.88
synb1_txn_ed0c6becb371f8c23348cf8f,2024-03-07T09:00:00,31500.00,0.00,1565201.88
synb1_txn_eb3c3e662e7df392137a9910,2024-03-09T09:00:00,87014.16,0.00,1478187.72
synb1_txn_7497131cbc56ffe967070bfd,2024-03-12T09:00:00,2906.26,0.00,1475281.46
synb1_txn_d97235fa5e45c44dc4776ef7,2024-03-12T15:00:00,0.00,4018.17,1479299.63
synb1_txn_4ff018408f7a5ca17902c949,2024-03-12T15:00:00,0.00,12390.04,1491689.67
synb1_txn_fea3e7853a64ea843c72b666,2024-03-13T09:00:00,774.74,0.00,1490914.93
synb1_txn_f82afb0fe5a2d15553ec3bba,2024-03-14T09:00:00,3895.62,0.00,1487019.31
synb1_txn_48637e3134a5d547ad00b7b6,2024-03-14T09:00:00,8270.52,0.00,1478748.79
synb1_txn_43fe2bac7ab341ccf3b15b8f,2024-03-18T09:00:00,2131.00,0.00,1476617.79
synb1_txn_3df6bd6f04ee694185e1d046,2024-03-18T09:00:00,255.72,0.00,1476362.07
synb1_txn_43d8741dbcab5b3c4f18c431,2024-03-18T09:00:00,3931.89,0.00,1472430.18
synb1_txn_130720846911119e43edb12d,2024-03-18T15:00:00,0.00,22406.22,1494836.40
synb1_txn_ae7549d1100581c9e43d12d5,2024-03-20T09:00:00,202801.57,0.00,1292034.83
synb1_txn_0fb414cbdb43acdadd1ec996,2024-03-20T15:00:00,0.00,29975.68,1322010.51
synb1_txn_0f01777e3d394b27505e4be5,2024-03-21T15:00:00,0.00,2899.52,1324910.03
synb1_txn_e3e2844dc90391c46801466f,2024-03-24T15:00:00,0.00,140147.13,1465057.16
synb1_txn_df7542e5444ab296cfb08184,2024-03-25T15:00:00,0.00,45763.98,1510821.14
synb1_txn_bbcdaebf7f9716072a67511f,2024-03-26T09:00:00,4040.83,0.00,1506780.31
synb1_txn_7f1677f4c5fc14a8f5d3c961,2024-03-26T15:00:00,0.00,11232.74,1518013.05
synb1_txn_80063638394ee9401bffea8d,2024-03-28T09:00:00,1962.05,0.00,1516051.00
synb1_txn_2ce87f3ada7340e66f7216e0,2024-03-28T15:00:00,0.00,17015.35,1533066.35
synb1_txn_ea2b47832ba55e51b3b093e4,2024-04-02T09:00:00,94780.04,0.00,1438286.31
synb1_txn_012dc87b7a36f1752d1ad15b,2024-04-03T09:00:00,75894.07,0.00,1362392.24
synb1_txn_6522161bcce47292658cfa33,2024-04-05T09:00:00,2366.10,0.00,1360026.14
synb1_txn_506ed9550904e5c72a7966e1,2024-04-05T09:00:00,7800.00,0.00,1352226.14
synb1_txn_7306594b2851498731991a13,2024-04-07T09:00:00,31500.00,0.00,1320726.14
synb1_txn_525a927951a7602f959a9585,2024-04-09T09:00:00,13223.57,0.00,1307502.57
synb1_txn_c402e33784c42f445f20be39,2024-04-09T15:00:00,0.00,74011.30,1381513.87
synb1_txn_2685d27c99a370dd41da27d1,2024-04-10T09:00:00,1492.72,0.00,1380021.15
