transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_96dc77dcbcb7524f1c4e1ddc,2025-01-01T09:00:00,流入,151648.70,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1420ed9f19930bdec6fb61fa,2025-01-02T14:26:53,流出,13879.62,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af1a866eb962640bde3ed3a7,2025-01-03T17:35:03,流入,139914.55,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_88f9d0fe049c3bb5b7f3f0d5,2025-01-04T13:24:56,流入,95541.94,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a08707d4d17d5a397d9ead2,2025-01-06T15:09:55,流出,4780.00,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_031f403403a36a8a2b1ca922,2025-01-06T15:54:34,流出,4509.79,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e3678eba978ab8eb0f11978,2025-01-07T09:38:39,流出,101198.36,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad22b03f074ec18e3c292c3d,2025-01-12T13:45:00,流出,3794.51,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0595bb332f6212706dcc6bb0,2025-01-13T16:26:04,流出,5776.04,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_106b5cae109d1f777be6c386,2025-01-15T15:11:57,流出,86184.12,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb8dfd65789638d95620601f,2025-01-16T12:47:37,流出,6033.24,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef60cd3221f582ebcf6bfeb5,2025-01-18T14:19:58,流出,4477.70,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_84dc130e542ed261ff86f6e2,2025-01-18T17:57:21,流入,112117.11,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f395ba552e87e987e09de80f,2025-01-19T11:46:02,流出,15688.83,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_36139f524d29cc7c14df5a5d,2025-01-21T14:22:54,流入,98910.98,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4be7e3738ac5eed7da7d376d,2025-01-24T12:58:30,流出,14631.80,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34be9fac1869cf7ecbee5b84,2025-01-25T17:56:35,流出,81379.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63beae17f479cde727011037,2025-01-27T14:32:31,流出,6227.87,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7222650b4a64df2f21c38b47,2025-01-28T13:10:17,流出,14339.75,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_406a915ad32fc57682a42982,2025-01-28T13:19:22,流出,5378.85,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ebbcd430c03eb75a5933d68a,2025-01-31T13:18:31,流出,69700.53,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b53ca03cb9c9481ab484146,2025-02-01T15:20:53,流出,4493.26,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
