calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3264000.00,0.00,1,3264000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_0bc67d6167d701632b08c56f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,40033.09,8171.95,2,3295861.14,last_posted_transaction_or_prior_closing_balance,synb1_txn_4b9037a047b0efaaf1b10b79,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,33810.59,0.00,1,3329671.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_9c085b59064d33a798c08bc0,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,3329671.73,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,24810.06,3,3304861.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_e19201d039644f0314bc1c14,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,66583.39,1,3238278.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_3eef1192341339edb9551df9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,82000.00,1,3156278.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_0729203fdbd85bd4af94500c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,69835.24,1,3086443.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_ec9f2dce23cd6b66e271a51e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,48665.12,1,3037777.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_9e08eb6fef5af4dc512d440d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,4350.88,1,3033427.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_98ee1b006c804d66cc677432,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,0.00,0,3033427.04,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,17985.64,0.00,1,3051412.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_29687dd5f40d4669fad91980,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,0.00,0,3051412.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,198.93,1365.77,2,3050245.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_3cf83f1ffb9a6d95f7e313b1,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,46546.19,5647.00,2,3091145.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_a31dc63b1fd82cab25de8f25,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,0.00,0.00,0,3091145.03,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
