transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_90208ed4298a5fca9ab93e65,2024-01-01T09:00:00,0.00,4620000.00,4620000.00
synb1_txn_acdea43281d1c3c1efa17ab1,2024-01-02T09:00:00,2936.13,0.00,4617063.87
synb1_txn_63d44a15d3fa9e397468b328,2024-01-04T09:00:00,960.13,0.00,4616103.74
synb1_txn_0a4c55ed5752fa4410eb6e89,2024-01-04T09:00:00,161918.13,0.00,4454185.61
synb1_txn_07d3eb4ec75a65987f5f9172,2024-01-05T09:00:00,24000.00,0.00,4430185.61
synb1_txn_e507a8fa302faab3336eee1c,2024-01-07T09:00:00,67000.00,0.00,4363185.61
synb1_txn_4a0a5f592c8b56c868d28206,2024-01-12T09:00:00,98411.87,0.00,4264773.74
synb1_txn_e880536ba6145cfdff2bbb86,2024-01-13T15:00:00,0.00,377873.54,4642647.28
synb1_txn_4e7629204f6e527da170664b,2024-01-13T15:00:00,0.00,8687.78,4651335.06
synb1_txn_8c1058b83530224fcfca58d1,2024-01-15T09:00:00,5013.75,0.00,4646321.31
synb1_txn_c43e2fb4fde0cfff6e8285cc,2024-01-15T15:00:00,0.00,9953.31,4656274.62
synb1_txn_cf64899875269a99bc2df061,2024-01-16T15:00:00,0.00,1539.15,4657813.77
synb1_txn_4a909846633c3a1229407ef9,2024-01-20T09:00:00,368.33,0.00,4657445.44
synb1_txn_4874cccba522bc560852a597,2024-01-22T09:00:00,3221.66,0.00,4654223.78
synb1_txn_875c3b49fe0bd201a6124a1b,2024-01-22T15:00:00,0.00,7546.22,4661770.00
synb1_txn_b39e0f5234e7d6baecedf5ed,2024-02-02T09:00:00,3333.62,0.00,4658436.38
synb1_txn_d9e78d2737ddaf980ba87f9f,2024-02-03T09:00:00,25430.41,0.00,4633005.97
synb1_txn_4ea288fe32f4f1c205034ab0,2024-02-03T15:00:00,0.00,108336.14,4741342.11
synb1_txn_50182e0a36ada473d55efc87,2024-02-04T15:00:00,0.00,36156.86,4777498.97
synb1_txn_0ff2c58a55004690a2ba6182,2024-02-05T09:00:00,24000.00,0.00,4753498.97
synb1_txn_a04bb81ccf94e81b545357a7,2024-02-05T15:00:00,0.00,13689.00,4767187.97
synb1_txn_a400289d9677a78d12246181,2024-02-07T09:00:00,67000.00,0.00,4700187.97
synb1_txn_7ad59efed27e34c83e9c4a42,2024-02-07T09:00:00,827.94,0.00,4699360.03
synb1_txn_0d1d7b88fd47fc75d71a3212,2024-02-08T15:00:00,0.00,88085.27,4787445.30
synb1_txn_8d53a117bf3270db226cf93b,2024-02-10T09:00:00,55699.76,0.00,4731745.54
synb1_txn_e718336f3723ffb31125932d,2024-02-14T09:00:00,8014.05,0.00,4723731.49
synb1_txn_c24b6c6939c78f6c5f7ece48,2024-02-14T09:00:00,233.89,0.00,4723497.60
synb1_txn_70c47c3174ca62c5a8cf288c,2024-02-14T15:00:00,0.00,24051.99,4747549.59
synb1_txn_6062995d0a382a280369b23a,2024-02-15T15:00:00,0.00,51695.10,4799244.69
synb1_txn_4ca7351b439b609547c60402,2024-02-16T09:00:00,25162.93,0.00,4774081.76
synb1_txn_9fa24cabb8f50ef4284c290b,2024-02-16T09:00:00,98832.88,0.00,4675248.88
synb1_txn_2d02355246ab7c254e6aef07,2024-02-18T09:00:00,22792.80,0.00,4652456.08
synb1_txn_02aeac6a86433003e46dd680,2024-02-18T09:00:00,7800.00,0.00,4644656.08
synb1_txn_2f4fad91926893f3ff7f56f3,2024-02-18T09:00:00,936.00,0.00,4643720.08
synb1_txn_7acd01bd7bcd5a467a472724,2024-02-18T15:00:00,0.00,40024.05,4683744.13
synb1_txn_39af1668809102aeac2535fc,2024-02-19T09:00:00,26426.11,0.00,4657318.02
synb1_txn_d77ead3192fdb9844d3288c7,2024-02-19T15:00:00,0.00,90612.34,4747930.36
synb1_txn_5c5d7429b6ab0ea8d5c8b7e9,2024-02-24T15:00:00,0.00,88542.50,4836472.86
synb1_txn_1ac780f04557d3b2b690ebbc,2024-02-25T09:00:00,918.44,0.00,4835554.42
synb1_txn_26f175919a6cd29ad33f9e53,2024-02-25T09:00:00,412686.77,0.00,4422867.65
synb1_txn_d2e2487367bb89f71be977a2,2024-02-26T09:00:00,18926.71,0.00,4403940.94
synb1_txn_985c704a4c3d5e5e6cb8c30f,2024-02-27T15:00:00,0.00,96288.83,4500229.77
synb1_txn_da9b2cd6e5c11007ddb3f72c,2024-02-28T09:00:00,3366.49,0.00,4496863.28
synb1_txn_9fb71290103935958ab6b0b6,2024-02-28T15:00:00,0.00,121717.92,4618581.20
synb1_txn_f5ab86fcae81c5ea86f1b8a4,2024-03-04T09:00:00,19567.25,0.00,4599013.95
synb1_txn_ec92f839cd4b286b8ed7fb59,2024-03-04T15:00:00,0.00,11118.24,4610132.19
synb1_txn_a4a5b577f161771baead7653,2024-03-05T09:00:00,24000.00,0.00,4586132.19
synb1_txn_8b39882441966db3a2b9eccc,2024-03-05T15:00:00,0.00,69740.03,4655872.22
synb1_txn_3fd2e549bb39ab2e3715cbdf,2024-03-06T09:00:00,284493.22,0.00,4371379.00
synb1_txn_3cf1d6c8233b617f19f5889c,2024-03-06T15:00:00,0.00,67501.43,4438880.43
synb1_txn_c66478c482a9f477ab58aded,2024-03-07T09:00:00,67000.00,0.00,4371880.43
synb1_txn_ebfd0673d01d8bbff495c60f,2024-03-08T09:00:00,23261.94,0.00,4348618.49
synb1_txn_594b4814b652b515dd6da45b,2024-03-08T09:00:00,74978.44,0.00,4273640.05
synb1_txn_ea455bfd5baa43c8b011cffd,2024-03-10T15:00:00,0.00,18522.07,4292162.12
synb1_txn_e2bc997825e765453f288f1e,2024-03-10T15:00:00,0.00,41110.17,4333272.29
synb1_txn_de43789e36d56e1211431068,2024-03-11T09:00:00,2281.55,0.00,4330990.74
synb1_txn_d4acb8849954fe335020782e,2024-03-11T15:00:00,0.00,187206.34,4518197.08
synb1_txn_dcf133f159088371b805c2d6,2024-03-14T15:00:00,0.00,128943.10,4647140.18
synb1_txn_439f6f0024410d755b8b040b,2024-03-15T15:00:00,0.00,149471.59,4796611.77
synb1_txn_9ff65fc8931f471e08481e0f,2024-03-17T15:00:00,0.00,17841.54,4814453.31
synb1_txn_0d28e05463a3502bcc4776a6,2024-03-18T09:00:00,20562.40,0.00,4793890.91
synb1_txn_27617f2e8497cca5cb90b8ef,2024-03-18T09:00:00,7400.00,0.00,4786490.91
synb1_txn_6b9ca00bca62916d8ee26174,2024-03-18T09:00:00,888.00,0.00,4785602.91
synb1_txn_2ed4342bf01574aceafc262c,2024-03-19T09:00:00,25974.38,0.00,4759628.53
synb1_txn_35b0ac17c9655813f256985c,2024-03-20T09:00:00,57016.78,0.00,4702611.75
synb1_txn_b7666c255515279d83be1639,2024-03-22T15:00:00,0.00,79745.49,4782357.24
synb1_txn_5b767aba268864631cf3660b,2024-03-23T09:00:00,2748.16,0.00,4779609.08
synb1_txn_78ce9f0b2eee0fe80560f99d,2024-03-25T09:00:00,52269.83,0.00,4727339.25
synb1_txn_420f488eb2f4903a6d37a178,2024-03-27T09:00:00,10218.45,0.00,4717120.80
synb1_txn_94896a15ce72b221082eeb79,2024-04-05T09:00:00,24000.00,0.00,4693120.80
synb1_txn_0a312d0dd2295e7fd523a651,2024-04-07T09:00:00,7491.91,0.00,4685628.89
synb1_txn_e85a5fbbd72dae506a2603f7,2024-04-07T09:00:00,67000.00,0.00,4618628.89
synb1_txn_41617a5f7c6c8a03e41a654f,2024-04-08T09:00:00,71637.02,0.00,4546991.87
synb1_txn_0ef7f65dd9a5b21754ff91bf,2024-04-08T15:00:00,0.00,43304.77,4590296.64
synb1_txn_238fa387ea77fc64fec5f46a,2024-04-09T09:00:00,11447.77,0.00,4578848.87
synb1_txn_036c19e72585aeccde4e9d5e,2024-04-11T09:00:00,12077.79,0.00,4566771.08
synb1_txn_296164bebb0a5596eafcb281,2024-04-12T09:00:00,182437.80,0.00,4384333.28
synb1_txn_c8e032c69fd8307d42187fd7,2024-04-13T15:00:00,0.00,75902.66,4460235.94
synb1_txn_7ea4aaa24b5949f0d6d85e22,2024-04-17T09:00:00,68891.02,0.00,4391344.92
