calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_b331d6bf30c22c315a745a41,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,14090.08,87519.52,3,3526570.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_fab8111573f9d2afef3c6ad6,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,12534.04,0.00,2,3539104.60,last_posted_transaction_or_prior_closing_balance,synb1_txn_be096d1d48c4838e3dde7aac,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,13122.16,0.00,1,3552226.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_7ee9b7b84ed2be83b759fe26,trusted,weekday_rule,base_calendar,True,5,2024-01-07,complete
2024-01-06,0.00,0.00,0,3552226.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-07,17612.62,133129.58,2,3436709.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_1e87e94bd19a089d1942eb81,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-08,complete
2024-01-08,16411.90,0.00,2,3453121.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_a7f99390fd9030036b2da2ac,trusted,weekday_rule,base_calendar,True,7,2024-01-09,complete
2024-01-09,10310.27,0.00,1,3463431.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_0b770367351cd59bc6b4b530,trusted,weekday_rule,base_calendar,True,8,2024-01-10,complete
2024-01-10,3675.67,0.00,1,3467107.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_4829dde3c470a4a29d47b0e2,trusted,weekday_rule,base_calendar,True,9,2024-01-11,complete
2024-01-11,26689.71,0.00,2,3493797.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_9f69168fe662b0660b642797,trusted,weekday_rule,base_calendar,True,10,2024-01-12,complete
2024-01-12,46130.86,152039.79,4,3387888.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_e476c9042f8ac9fc29da1a7e,trusted,weekday_rule,base_calendar,True,11,2024-01-13,complete
