calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,735361.83,0.00,1,735361.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_c79d043a8b8afc404f1f1a66,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,735361.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,735361.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,735361.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,23859.33,2,711502.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_ec976100cdc4a7e0f11de60d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,711502.50,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,43270.02,49084.04,3,705688.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_35b792002bddcd031d9625bc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,705688.48,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,7385.80,0.00,1,713074.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_6f104775fc96ca3b3c53ad29,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,713074.28,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,0.00,0,713074.28,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,7473.47,1,705600.81,last_posted_transaction_or_prior_closing_balance,synb1_txn_a4d5860fbcf9934d2cef5bec,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,0.00,0,705600.81,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,0.00,0.00,0,705600.81,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,0.00,86917.20,1,618683.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_b5763f82456975a957adac17,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,5642.31,0.00,1,624325.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_8f5bdcc65c94bcf8206b6b44,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
2024-01-17,0.00,0.00,0,624325.92,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,12,2024-01-18,complete
2024-01-18,0.00,0.00,0,624325.92,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,13,2024-01-19,complete
2024-01-19,0.00,39338.81,1,584987.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_d665d9e45ee9141b6b14ac8d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,14,2024-01-22,complete
2024-01-20,0.00,0.00,0,584987.11,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-21,0.00,2526.53,1,582460.58,last_posted_transaction_or_prior_closing_balance,synb1_txn_2eb0afd20dc8f22fb779262b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-22,0.00,0.00,0,582460.58,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,15,2024-01-23,complete
2024-01-23,0.00,460.32,1,582000.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_c0833748afb944a1551dc5d1,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,16,2024-01-24,complete
2024-01-24,0.00,0.00,0,582000.26,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,17,2024-01-25,complete
2024-01-25,233677.03,63647.29,2,752030.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_e888398bcc508faa0982a6ff,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,18,2024-01-26,complete
2024-01-26,0.00,48629.01,1,703400.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_9853f9ecd534ab0e2d3c1590,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,19,2024-01-29,complete
2024-01-27,0.00,0.00,0,703400.99,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-28,16174.84,0.00,1,719575.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_715855f2d2c49fea04b6cbb9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-29,0.00,0.00,0,719575.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,20,2024-01-30,complete
2024-01-30,0.00,0.00,0,719575.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,21,2024-01-31,complete
2024-01-31,0.00,0.00,0,719575.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,22,2024-02-01,complete
2024-02-01,0.00,0.00,0,719575.83,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,23,2024-02-02,complete
2024-02-02,20615.85,0.00,1,740191.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_d730b6a7379ceaeeb0684d1a,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,24,2024-02-04,complete
2024-02-03,26670.42,118340.34,2,648521.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_d1b12721a4e9f4df72a6b78b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-04,24509.20,0.00,1,673030.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_9e152ed6f9d4b57a1dea4e45,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,25,2024-02-05,complete
2024-02-05,0.00,16000.00,1,657030.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_fb901d2df3fd2318745dad68,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,26,2024-02-06,complete
2024-02-06,0.00,0.00,0,657030.96,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,27,2024-02-07,complete
2024-02-07,0.00,67367.10,2,589663.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_a13849e7e554fc8c0eee4e2b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,28,2024-02-08,complete
2024-02-08,0.00,0.00,0,589663.86,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,29,2024-02-09,complete
2024-02-09,0.00,0.00,0,589663.86,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,30,2024-02-18,complete
2024-02-10,22029.27,54405.14,2,557287.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_cbb46f7352759dff6e5fa17b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-11,0.00,3757.78,1,553530.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_00ffa166be46382b19d9f1c1,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-12,0.00,72500.00,1,481030.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_1ffeee013d1c7745cca077d1,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-13,5612.68,0.00,1,486642.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_1a0472d4e906853ad92a1af2,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-14,0.00,0.00,0,486642.89,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-15,89742.38,0.00,1,576385.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_2efeeb3566e28ed82c47089b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-16,0.00,2482.32,1,573902.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_7e0d5ab0df2b7b008e675316,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-17,26217.85,0.00,1,600120.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_1d02ed1fe24705bf7f24e5b9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-18,0.00,23332.16,3,576788.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_c549077ce101daa476d2dbfe,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,31,2024-02-19,complete
2024-02-19,0.00,27387.54,1,549401.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_6f29c09bd9820dd15c7fc939,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,32,2024-02-20,complete
2024-02-20,187001.98,0.00,2,736403.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_fd9e091879f8f32cb15e9a16,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,33,2024-02-21,complete
2024-02-21,0.00,0.00,0,736403.08,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,34,2024-02-22,complete
2024-02-22,0.00,0.00,0,736403.08,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,35,2024-02-23,complete
2024-02-23,0.00,74401.27,2,662001.81,last_posted_transaction_or_prior_closing_balance,synb1_txn_f29583ca41e3b6eb166465bc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,36,2024-02-26,complete
2024-02-24,6739.89,1598.83,2,667142.87,last_posted_transaction_or_prior_closing_balance,synb1_txn_5d4ff744c447fccc6fbf601b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-25,35227.54,0.00,1,702370.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_cb5fc112abe84c13a59d3b54,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-26,0.00,39768.03,1,662602.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_85b017cd52a60dfbcb6853ab,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,37,2024-02-27,complete
