transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_108c889f5f5fb1060c7e0f04,2024-01-01T09:00:00,0.00,1017407.37,1017407.37
synb1_txn_0d91856706a18099c4b3f875,2024-01-02T09:00:00,28288.71,0.00,989118.66
synb1_txn_815d9cd3ee6b33585a21b9d1,2024-01-04T09:00:00,4014.00,0.00,985104.66
synb1_txn_dfee26f34fad3b7d3ecbeedc,2024-01-05T09:00:00,22000.00,0.00,963104.66
synb1_txn_5cae56eafcf15b8adee0cab1,2024-01-07T09:00:00,93.07,0.00,963011.59
synb1_txn_4419ccf4e1fd0d0ed69c5ff2,2024-01-07T09:00:00,62000.00,0.00,901011.59
synb1_txn_4a19f7ec40aaf1efc9e7426c,2024-01-07T09:00:00,127109.35,0.00,773902.24
synb1_txn_125a1ff61f01f486e83297b3,2024-01-08T09:00:00,2010.94,0.00,771891.30
synb1_txn_f79a14af7339a55f05f580e2,2024-01-08T09:00:00,36614.04,0.00,735277.26
synb1_txn_70cf7574ee5d02b1d2c5f085,2024-01-08T15:00:00,0.00,276434.81,1011712.07
synb1_txn_a03b5abae615eb19fc05c3a5,2024-01-10T09:00:00,2371.75,0.00,1009340.32
synb1_txn_e3870ba9a827d132e820c77f,2024-01-10T15:00:00,0.00,64007.81,1073348.13
synb1_txn_197c870add91a374160b83f1,2024-01-12T15:00:00,0.00,19157.38,1092505.51
synb1_txn_6aed3e93585fb3f74c5887e2,2024-01-14T09:00:00,30717.02,0.00,1061788.49
synb1_txn_692aed6b0b999da7e468f0b2,2024-01-16T09:00:00,118659.57,0.00,943128.92
synb1_txn_18f6f851eda9bf21fcbf2350,2024-01-21T09:00:00,515.31,0.00,942613.61
synb1_txn_a429746ffc8d246bc9f63288,2024-01-24T09:00:00,5510.24,0.00,937103.37
synb1_txn_eadd70b6deb2dcfdd91c78fe,2024-02-02T15:00:00,0.00,23802.14,960905.51
synb1_txn_9d68c227b762854201083bdb,2024-02-05T09:00:00,22000.00,0.00,938905.51
synb1_txn_4342c9db590afe7c258c574a,2024-02-06T15:00:00,0.00,63579.43,1002484.94
synb1_txn_ab0e55f38101f29ac922e495,2024-02-07T09:00:00,62000.00,0.00,940484.94
synb1_txn_ded2641c3f22202b603052a1,2024-02-07T15:00:00,0.00,55376.64,995861.58
synb1_txn_fd764f9a593136a141eac3d9,2024-02-08T09:00:00,105000.00,0.00,890861.58
synb1_txn_692df82be80bd3941578679f,2024-02-09T09:00:00,6607.99,0.00,884253.59
synb1_txn_6271d5db23c6742d830aa588,2024-02-09T09:00:00,6532.97,0.00,877720.62
synb1_txn_b189776cc6521258a1c1bdbb,2024-02-10T09:00:00,38404.42,0.00,839316.20
synb1_txn_0b5ca393c0c2651ab6a5b052,2024-02-10T15:00:00,0.00,13227.84,852544.04
synb1_txn_38129ad7750700a9fb5e19ef,2024-02-12T15:00:00,0.00,17047.13,869591.17
synb1_txn_3893bf473be2757e152e71dc,2024-02-13T09:00:00,166418.21,0.00,703172.96
synb1_txn_827edb9c9a5d34397de939db,2024-02-14T15:00:00,0.00,41491.36,744664.32
synb1_txn_b256c90fcb27d259f117d8f7,2024-02-15T15:00:00,0.00,14063.18,758727.50
synb1_txn_1eb9fee88ca58994ed279570,2024-02-15T15:00:00,0.00,146907.06,905634.56
