calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_e32960eab63a745974eabc9c,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,2481.63,0.00,1,3602481.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_37f3ecb077d8f6a4c3ccc9b5,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,101170.06,2,3501311.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_7a436a90a0cf0e7e84974a42,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,12420.00,0.00,2,3513731.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_b8fced8e27143bd86ac6a029,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-05,complete
2025-01-05,2714.28,8959.93,2,3507485.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_e84814a7ca6885654d647c83,trusted,historical_transaction_override,historical_transaction_override,True,5,2025-01-06,complete
2025-01-06,3102.04,16606.25,2,3493981.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_e80fef065eebadc5611d9a1d,trusted,weekday_rule,base_calendar,True,6,2025-01-07,complete
2025-01-07,10135.38,142519.85,2,3361597.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_994d414248124c369c195df9,trusted,weekday_rule,base_calendar,True,7,2025-01-08,complete
2025-01-08,11355.76,17023.87,3,3355929.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_3947c66263fc124e05b1f72c,trusted,weekday_rule,base_calendar,True,8,2025-01-09,complete
2025-01-09,21118.51,22141.67,4,3354905.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_39df614b038f2ff0be98f0a2,trusted,weekday_rule,base_calendar,True,9,2025-01-10,complete
2025-01-10,8375.50,0.00,1,3363281.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_0633a46ff3335149f938a173,trusted,weekday_rule,base_calendar,True,10,2025-01-11,complete
2025-01-11,17282.19,36420.92,4,3344142.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_e20bd1ba160a568b334d98a2,trusted,historical_transaction_override,historical_transaction_override,True,11,2025-01-12,complete
2025-01-12,24710.34,40350.28,5,3328502.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_aa791bb96b31ec203a62ee89,trusted,historical_transaction_override,historical_transaction_override,True,12,2025-01-13,complete
2025-01-13,29902.52,6124.51,5,3352280.81,last_posted_transaction_or_prior_closing_balance,synb1_txn_7edc6e02d7879f8bc701fbff,trusted,weekday_rule,base_calendar,True,13,2025-01-14,complete
2025-01-14,16685.29,25281.54,5,3343684.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_ab10954e26136907c77cb6fa,trusted,weekday_rule,base_calendar,True,14,2025-01-15,complete
2025-01-15,34357.44,45119.59,5,3332922.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_b22be6286afb45b7ec2e22ba,trusted,weekday_rule,base_calendar,True,15,2025-01-16,complete
2025-01-16,39819.95,31670.26,7,3341072.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_39e5155de62cd7c8b91130d0,trusted,weekday_rule,base_calendar,True,16,2025-01-17,complete
2025-01-17,39422.48,40955.40,6,3339539.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_baa5f97eda890db43b83529d,trusted,weekday_rule,base_calendar,True,17,2025-01-18,complete
2025-01-18,30216.93,35893.91,7,3333862.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_a362f828421085ca2fc93e92,trusted,historical_transaction_override,historical_transaction_override,True,18,2025-01-19,complete
2025-01-19,36436.89,24245.15,7,3346053.94,last_posted_transaction_or_prior_closing_balance,synb1_txn_db7d9eb46d57179d6822b9ff,trusted,historical_transaction_override,historical_transaction_override,True,19,2025-01-20,complete
2025-01-20,51589.31,14874.70,6,3382768.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_bbdac2a040c7f335d04ee750,trusted,weekday_rule,base_calendar,True,20,2025-01-21,complete
2025-01-21,30331.05,18939.65,5,3394159.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_a6629c88c0fa01d92822e8d0,trusted,weekday_rule,base_calendar,True,21,2025-01-22,complete
2025-01-22,34730.46,37586.61,6,3391303.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_478649c25977ab260981b2ff,trusted,weekday_rule,base_calendar,True,22,2025-01-23,complete
2025-01-23,44822.79,13730.52,7,3422396.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f6aea33663ca49197fa032f,trusted,weekday_rule,base_calendar,True,23,2025-01-24,complete
2025-01-24,30592.56,14483.28,4,3438505.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_2a4d81a4644655e98f29bb2b,trusted,weekday_rule,base_calendar,True,24,2025-01-25,complete
2025-01-25,26184.73,123923.47,7,3340766.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_ce819b5c0713ec8eb930071f,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-01-26,complete
2025-01-26,44409.06,0.00,6,3385175.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_462a4a87f3a26c8f33f300dd,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,26,2025-01-27,complete
2025-01-27,46088.24,0.00,6,3431263.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_699ce866845f1115ee12b0cd,trusted,weekday_rule,base_calendar,True,27,2025-01-28,complete
2025-01-28,27802.87,33160.45,5,3425906.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_f94f27229a4a3f3c9649d5e7,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-01-29,complete
2025-01-29,3489.80,0.00,1,3429396.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_d5f6e2180cbcbb1ece467f5e,trusted,historical_transaction_override,historical_transaction_override,True,29,2025-01-30,complete
2025-01-30,39513.81,0.00,6,3468909.94,last_posted_transaction_or_prior_closing_balance,synb1_txn_00376c8ed3c6e4765e908bbf,trusted,historical_transaction_override,historical_transaction_override,True,30,2025-01-31,complete
2025-01-31,21319.15,11347.71,6,3478881.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_a97cfdd62296f396b1f3c573,trusted,historical_transaction_override,historical_transaction_override,True,31,2025-02-01,complete
2025-02-01,18852.04,0.00,2,3497733.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_2ad978e358c3cc1d2a80beb4,trusted,historical_transaction_override,historical_transaction_override,True,32,2025-02-03,complete
2025-02-02,0.00,0.00,0,3497733.42,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,32795.90,60373.88,7,3470155.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_d07a0f9d88db3b2ab7bdd89c,trusted,historical_transaction_override,historical_transaction_override,True,33,2025-02-04,complete
2025-02-04,26632.68,0.00,4,3496788.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_eb00471fc9f96d7412394482,trusted,historical_transaction_override,historical_transaction_override,True,34,2025-02-05,complete
2025-02-05,0.00,0.00,0,3496788.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-06,complete
2025-02-06,6965.08,12220.64,2,3491532.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_e8ab490fef1bcc4663bcc2d3,trusted,weekday_rule,base_calendar,True,36,2025-02-07,complete
2025-02-07,21750.90,142519.85,4,3370763.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_7011cc12d776234481019052,trusted,weekday_rule,base_calendar,True,37,2025-02-08,complete
2025-02-08,11598.65,14138.08,3,3368224.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_be03540db9c95f7c0014d35f,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,38,2025-02-09,complete
2025-02-09,12001.51,0.00,2,3380225.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_94dde42569a65e0ac42efb4f,trusted,historical_transaction_override,historical_transaction_override,True,39,2025-02-10,complete
2025-02-10,17628.22,0.00,2,3397853.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_3076c30f6661c70794339048,trusted,weekday_rule,base_calendar,True,40,2025-02-11,complete
2025-02-11,25665.13,8482.84,5,3415036.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_20a51f0421fca118829e64e0,trusted,weekday_rule,base_calendar,True,41,2025-02-12,complete
2025-02-12,21953.42,52451.79,6,3384537.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_b1ad8f72ab05e979d3cb1d3c,trusted,weekday_rule,base_calendar,True,42,2025-02-13,complete
2025-02-13,17907.12,12962.15,4,3389482.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_4a317155635ff52ce0fba8c8,trusted,weekday_rule,base_calendar,True,43,2025-02-14,complete
2025-02-14,19982.98,9425.38,4,3400040.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_64ec212b2c4d7d51eb7fb838,trusted,weekday_rule,base_calendar,True,44,2025-02-15,complete
2025-02-15,12357.96,85134.19,7,3327264.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_a2a023d7dd53fc68737de57f,trusted,historical_transaction_override,historical_transaction_override,True,45,2025-02-16,complete
2025-02-16,41938.70,12962.15,5,3356240.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_c2208a392760f28132a6e321,trusted,historical_transaction_override,historical_transaction_override,True,46,2025-02-17,complete
2025-02-17,18179.49,11310.46,4,3363109.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_890d2877d9986be5212f9945,trusted,weekday_rule,base_calendar,True,47,2025-02-18,complete
2025-02-18,49029.08,80651.27,10,3331487.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_7f6cae1ac6925660656e723e,trusted,weekday_rule,base_calendar,True,48,2025-02-19,complete
2025-02-19,27437.91,9551.05,6,3349374.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_a1c5db7b989ec85281ae690b,trusted,weekday_rule,base_calendar,True,49,2025-02-20,complete
2025-02-20,41302.76,20735.87,6,3369941.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_077c39daa57a1578a8429eb1,trusted,weekday_rule,base_calendar,True,50,2025-02-21,complete
2025-02-21,20137.46,108899.28,8,3281179.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_e1636672ef2b675dac981abb,trusted,weekday_rule,base_calendar,True,51,2025-02-22,complete
2025-02-22,58439.73,17055.46,7,3322563.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_f71a00b398a05bedefac349d,trusted,historical_transaction_override,historical_transaction_override,True,52,2025-02-23,complete
2025-02-23,29119.43,0.00,4,3351683.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_c24d25d952e0242d66dca035,trusted,historical_transaction_override,historical_transaction_override,True,53,2025-02-24,complete
2025-02-24,48122.63,81386.70,10,3318419.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_fa4c7fefe5279e2dafea08a7,trusted,weekday_rule,base_calendar,True,54,2025-02-25,complete
2025-02-25,30396.51,88762.36,6,3260053.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_29f2722aa659fa60f6785976,trusted,weekday_rule,base_calendar,True,55,2025-02-26,complete
2025-02-26,43163.74,0.00,6,3303217.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_38506924b732dd875cf1cd13,trusted,weekday_rule,base_calendar,True,56,2025-02-27,complete
2025-02-27,30354.24,13330.19,6,3320241.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_91359908f54c6c0b852964ff,trusted,weekday_rule,base_calendar,True,57,2025-02-28,complete
2025-02-28,49022.23,11679.99,9,3357583.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_7a1ba2b8e3784cca58fa74bb,trusted,weekday_rule,base_calendar,True,58,2025-03-01,complete
