transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_c3d87531770f6a32b439b177,2023-01-01T09:00:00,流入,31000000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_deac90d9d7077873e05e1da7,2023-01-04T15:00:00,流入,55375.32,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1e132c8e82f60e8cbe9864d6,2023-01-05T09:00:00,流出,95000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61de4a86f083636be46eebb9,2023-01-05T15:00:00,流入,332088.16,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b878895b8ce8f96f394d2902,2023-01-05T15:00:00,流入,223447.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0add051a123da0ed34239247,2023-01-08T09:00:00,流出,11189.23,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b956a9b4397ddbe7f0fb28bf,2023-01-08T15:00:00,流入,6422.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ac4fb08cd6a23309544aae3,2023-01-09T15:00:00,流入,9684.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4733338f44047627a2c60c2a,2023-01-11T09:00:00,流出,4366.87,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61c8e89135cb711068ccb2ba,2023-01-12T09:00:00,流出,145242.41,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d97dd92742fd03d08a4cd3fd,2023-01-13T15:00:00,流入,331478.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d89a642afa21db93c491946,2023-01-14T09:00:00,流出,225086.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3146c426fc77357d60f0b28,2023-01-17T15:00:00,流入,148496.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5693971745469f0913103c42,2023-01-18T09:00:00,流出,28205.67,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4552297a2649d0d88553ad66,2023-01-20T09:00:00,流出,740331.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26c01c98d0cb79380580598a,2023-01-21T09:00:00,流出,269755.24,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_36f73a33c8529d0b17bd17dc,2023-01-22T15:00:00,流入,218255.54,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c02c7f28d7c3e8c13e3d30f0,2023-01-24T09:00:00,流出,27427.46,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0c5e2e24b3b58e2487c7c783,2023-01-28T09:00:00,流出,280000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
