transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_c3d87531770f6a32b439b177,2023-01-01T09:00:00,0.00,31000000.00,31000000.00
synb1_txn_deac90d9d7077873e05e1da7,2023-01-04T15:00:00,0.00,55375.32,31055375.32
synb1_txn_1e132c8e82f60e8cbe9864d6,2023-01-05T09:00:00,95000.00,0.00,30960375.32
synb1_txn_61de4a86f083636be46eebb9,2023-01-05T15:00:00,0.00,332088.16,31292463.48
synb1_txn_b878895b8ce8f96f394d2902,2023-01-05T15:00:00,0.00,223447.97,31515911.45
synb1_txn_0add051a123da0ed34239247,2023-01-08T09:00:00,11189.23,0.00,31504722.22
synb1_txn_b956a9b4397ddbe7f0fb28bf,2023-01-08T15:00:00,0.00,6422.89,31511145.11
synb1_txn_6ac4fb08cd6a23309544aae3,2023-01-09T15:00:00,0.00,9684.92,31520830.03
synb1_txn_4733338f44047627a2c60c2a,2023-01-11T09:00:00,4366.87,0.00,31516463.16
synb1_txn_61c8e89135cb711068ccb2ba,2023-01-12T09:00:00,145242.41,0.00,31371220.75
synb1_txn_d97dd92742fd03d08a4cd3fd,2023-01-13T15:00:00,0.00,331478.94,31702699.69
synb1_txn_8d89a642afa21db93c491946,2023-01-14T09:00:00,225086.28,0.00,31477613.41
synb1_txn_c3146c426fc77357d60f0b28,2023-01-17T15:00:00,0.00,148496.26,31626109.67
synb1_txn_5693971745469f0913103c42,2023-01-18T09:00:00,28205.67,0.00,31597904.00
synb1_txn_4552297a2649d0d88553ad66,2023-01-20T09:00:00,740331.48,0.00,30857572.52
synb1_txn_26c01c98d0cb79380580598a,2023-01-21T09:00:00,269755.24,0.00,30587817.28
synb1_txn_36f73a33c8529d0b17bd17dc,2023-01-22T15:00:00,0.00,218255.54,30806072.82
synb1_txn_c02c7f28d7c3e8c13e3d30f0,2023-01-24T09:00:00,27427.46,0.00,30778645.36
synb1_txn_0c5e2e24b3b58e2487c7c783,2023-01-28T09:00:00,280000.00,0.00,30498645.36
synb1_txn_24779966e70f2145d8f33f38,2023-01-28T09:00:00,234605.36,0.00,30264040.00
synb1_txn_0820a42852287b4c48d3bb8f,2023-02-03T09:00:00,20533.05,0.00,30243506.95
synb1_txn_cb0feae24526e9c6158110c3,2023-02-03T09:00:00,249553.75,0.00,29993953.20
synb1_txn_5f1d757795f1441862deb26b,2023-02-04T15:00:00,0.00,73291.51,30067244.71
synb1_txn_706446df97e165ab57b805f6,2023-02-05T09:00:00,95000.00,0.00,29972244.71
synb1_txn_5f2cc32d3117aef6960d9e0f,2023-02-06T15:00:00,0.00,60875.41,30033120.12
synb1_txn_f1cac5525a067b466f297625,2023-02-07T09:00:00,1920.04,0.00,30031200.08
synb1_txn_9cebbefac6ed83898ddec4cb,2023-02-07T15:00:00,0.00,430254.97,30461455.05
synb1_txn_afbb7d79b86b2b636353b722,2023-02-10T15:00:00,0.00,87740.12,30549195.17
synb1_txn_116a06513332e5c7c60b1645,2023-02-10T15:00:00,0.00,11004.22,30560199.39
synb1_txn_9119de099f74faea86f3d58a,2023-02-11T09:00:00,368833.54,0.00,30191365.85
synb1_txn_6788bbf4c52f38c66f40a8b4,2023-02-12T09:00:00,317775.77,0.00,29873590.08
synb1_txn_02a6a5c740e6720cfa86c0ea,2023-02-13T09:00:00,38975.71,0.00,29834614.37
