transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_f6132a1429051dacd8ed7716,2024-01-01T09:00:00,0.00,1810000.00,1810000.00
synb1_txn_fa72d0fe4e05968878a475eb,2024-01-02T09:00:00,607.89,0.00,1809392.11
synb1_txn_f37877f822244547445fa8d4,2024-01-05T09:00:00,6400.00,0.00,1802992.11
synb1_txn_39ebf9d19ed85c89609f092a,2024-01-07T09:00:00,27000.00,0.00,1775992.11
synb1_txn_ebbc8bd9af81079b80dbee5b,2024-01-08T09:00:00,34950.79,0.00,1741041.32
synb1_txn_66c45d24fb82ae47087e3807,2024-01-08T15:00:00,0.00,145732.65,1886773.97
synb1_txn_da7f5dd6cdde913b26ea4f25,2024-01-11T09:00:00,256249.21,0.00,1630524.76
synb1_txn_d87eef20d9ac0e4c74d12547,2024-01-14T15:00:00,0.00,72334.46,1702859.22
synb1_txn_2278d5d6391699930c886d7e,2024-01-20T15:00:00,0.00,32991.00,1735850.22
synb1_txn_16b6203b8be458cdbc65f21c,2024-01-22T15:00:00,0.00,50541.89,1786392.11
synb1_txn_0aaff4efa16d501f9351516c,2024-01-25T09:00:00,4192.11,0.00,1782200.00
synb1_txn_e767b93fc581758b5cdb8e0e,2024-01-26T09:00:00,80000.00,0.00,1702200.00
synb1_txn_e7b1fdf66efdb854f3f5d1a8,2024-02-03T09:00:00,54507.08,0.00,1647692.92
synb1_txn_60160b08348bd84c46e96d24,2024-02-03T15:00:00,0.00,8236.38,1655929.30
synb1_txn_57461c1f3cc0aa671a4fcc87,2024-02-04T09:00:00,78875.41,0.00,1577053.89
synb1_txn_998c7a951ed45f2affb83967,2024-02-04T15:00:00,0.00,106812.70,1683866.59
synb1_txn_f83d484c8a64b1bc0cb391f9,2024-02-05T09:00:00,6400.00,0.00,1677466.59
synb1_txn_63dce386386be3232ee8af9c,2024-02-06T09:00:00,3948.15,0.00,1673518.44
synb1_txn_991ccda8fe2c7774ef497003,2024-02-06T15:00:00,0.00,2882.26,1676400.70
synb1_txn_8f306694fa7074bffba0fbf5,2024-02-07T09:00:00,27000.00,0.00,1649400.70
synb1_txn_5e92d231540491276b174cef,2024-02-07T09:00:00,18951.99,0.00,1630448.71
synb1_txn_e7fed88a0830e35dd7bf5b1d,2024-02-07T15:00:00,0.00,14709.09,1645157.80
synb1_txn_41ee060c13237bdf02c6a178,2024-02-08T09:00:00,41615.52,0.00,1603542.28
synb1_txn_dbdf3bc3a9cd093ae0dd48db,2024-02-09T15:00:00,0.00,14533.62,1618075.90
synb1_txn_14548f5139483cc3e4141e34,2024-02-13T09:00:00,32347.89,0.00,1585728.01
synb1_txn_7041644c45b5cecb21609fd4,2024-02-13T15:00:00,0.00,32442.97,1618170.98
synb1_txn_aa70d1eea760445f4226d9f1,2024-02-14T09:00:00,52817.51,0.00,1565353.47
synb1_txn_0f8ceedb20cab9356bcae54c,2024-02-14T15:00:00,0.00,2019.32,1567372.79
synb1_txn_f6c7bd2cdbf5c225ad9cc68f,2024-02-15T09:00:00,13747.57,0.00,1553625.22
synb1_txn_1aa28dd684c4426c91649e7d,2024-02-17T15:00:00,0.00,23933.78,1577559.00
synb1_txn_8124bce5e6f9470f5ac6b243,2024-02-18T09:00:00,22395.20,0.00,1555163.80
synb1_txn_21d151d9cbc5401eab4b6274,2024-02-18T09:00:00,5200.00,0.00,1549963.80
synb1_txn_13cdf111c8aaa9cf8c13f94d,2024-02-18T09:00:00,624.00,0.00,1549339.80
synb1_txn_36f0efdd5ce0d4cdbbdaaa91,2024-02-18T15:00:00,0.00,75869.21,1625209.01
synb1_txn_8bf5672bf3acaab04cd7f002,2024-02-19T09:00:00,358.00,0.00,1624851.01
synb1_txn_854169a55826cfa8f2044188,2024-02-20T09:00:00,493.85,0.00,1624357.16
synb1_txn_c44bc46d68dc5aaaf8f820ed,2024-02-20T15:00:00,0.00,66759.18,1691116.34
synb1_txn_0640cd21ffad1ddde5f1b9df,2024-02-21T15:00:00,0.00,26879.02,1717995.36
synb1_txn_f71e6fc9340377e0f33289a6,2024-02-23T09:00:00,70000.00,0.00,1647995.36
synb1_txn_6c5e082cb9cb43a4609b9847,2024-02-25T15:00:00,0.00,8902.05,1656897.41
synb1_txn_6e40aa8801e513ff7df1c04a,2024-02-27T09:00:00,18137.03,0.00,1638760.38
synb1_txn_60efde807195e934214d8882,2024-02-27T15:00:00,0.00,54820.42,1693580.80
synb1_txn_7f184ac1812cab546ddb0f1b,2024-03-02T09:00:00,2860.35,0.00,1690720.45
synb1_txn_8ac99620064fd1907511fc74,2024-03-02T15:00:00,0.00,120650.93,1811371.38
synb1_txn_721af0968a4d4c11282d3ba0,2024-03-02T15:00:00,0.00,8267.00,1819638.38
synb1_txn_62ead3f96b36599fe5f35c89,2024-03-02T15:00:00,0.00,9335.23,1828973.61
synb1_txn_1144c292f86a7c0d31e35afe,2024-03-03T15:00:00,0.00,22678.52,1851652.13
synb1_txn_6aada57d9fa443af9bf9e66a,2024-03-04T09:00:00,15443.56,0.00,1836208.57
synb1_txn_552299f6c320f77068618442,2024-03-05T09:00:00,6400.00,0.00,1829808.57
synb1_txn_85a850331dbdc6aee8e12db1,2024-03-05T09:00:00,30845.58,0.00,1798962.99
synb1_txn_fc62082f257fdde752d5423d,2024-03-06T09:00:00,8.92,0.00,1798954.07
synb1_txn_bd19046c70422b548789f99f,2024-03-07T09:00:00,27000.00,0.00,1771954.07
synb1_txn_f4b597203ac636dfa44024bb,2024-03-09T15:00:00,0.00,10237.72,1782191.79
synb1_txn_f790df2b8eb792dcd9dd8739,2024-03-09T15:00:00,0.00,10958.57,1793150.36
synb1_txn_28d47053eaee15439f7c147a,2024-03-11T09:00:00,1828.40,0.00,1791321.96
synb1_txn_d6ab9d724b0552b7e7d19673,2024-03-11T09:00:00,560.09,0.00,1790761.87
synb1_txn_3739f9a470d6540782461a60,2024-03-11T09:00:00,1.35,0.00,1790760.52
synb1_txn_03063fe698c18dab048c99ee,2024-03-11T15:00:00,0.00,1740.84,1792501.36
synb1_txn_b017b482a8d9856dc38d3518,2024-03-13T15:00:00,0.00,33435.65,1825937.01
synb1_txn_c30ee1d2e88d2ad387a14d25,2024-03-14T09:00:00,62691.98,0.00,1763245.03
synb1_txn_09983054e6241654ead54f64,2024-03-15T09:00:00,15790.30,0.00,1747454.73
synb1_txn_22f87702c3bc2730d30637ac,2024-03-16T09:00:00,28790.18,0.00,1718664.55
synb1_txn_a1096d360e0d1e794e49e135,2024-03-17T09:00:00,1638.85,0.00,1717025.70
synb1_txn_315d187804858cde80748e11,2024-03-18T09:00:00,14308.80,0.00,1702716.90
synb1_txn_ed7cc659f070d4884c066552,2024-03-18T09:00:00,3800.00,0.00,1698916.90
synb1_txn_7da3895dfdbc38e80300b173,2024-03-18T09:00:00,456.00,0.00,1698460.90
synb1_txn_502f5d5622322832547117f3,2024-03-18T09:00:00,114191.16,0.00,1584269.74
synb1_txn_e98473bf94dba620349e7e41,2024-03-18T15:00:00,0.00,4291.99,1588561.73
synb1_txn_986542e0d105337b125540b0,2024-03-19T09:00:00,6811.33,0.00,1581750.40
synb1_txn_e498fe494230a2ab6e9a74e0,2024-03-20T09:00:00,10347.79,0.00,1571402.61
synb1_txn_48ee02aa16038af8c2194b3f,2024-03-20T15:00:00,0.00,31199.44,1602602.05
synb1_txn_d19504b1491aa70bd7c05eaa,2024-03-21T15:00:00,0.00,125004.21,1727606.26
synb1_txn_f8e1bbc47a8544a5b2278bfa,2024-03-23T09:00:00,111.25,0.00,1727495.01
synb1_txn_48f3532df603b9469db32c75,2024-03-23T15:00:00,0.00,3913.65,1731408.66
synb1_txn_cb6eaf9e2652456f8a8446f5,2024-03-24T09:00:00,37678.91,0.00,1693729.75
synb1_txn_41a09ba117830f028bf3fc88,2024-03-26T15:00:00,0.00,482.21,1694211.96
synb1_txn_b157de4f4535ffd6f4891fd2,2024-03-28T15:00:00,0.00,67404.04,1761616.00
synb1_txn_82eac75292539d15f60a193f,2024-04-02T09:00:00,16454.72,0.00,1745161.28
synb1_txn_a7b9fb07d88d56029a600d99,2024-04-02T15:00:00,0.00,15735.38,1760896.66
synb1_txn_029992702a437d0e0988e9e2,2024-04-04T15:00:00,0.00,15297.93,1776194.59
synb1_txn_7f80de2adab34698b8816ac4,2024-04-05T09:00:00,6400.00,0.00,1769794.59
synb1_txn_7b3a744a3f46eae8eca26fcd,2024-04-06T09:00:00,62213.83,0.00,1707580.76
synb1_txn_9dc13b573c2bdd724ce9fd61,2024-04-06T15:00:00,0.00,88740.46,1796321.22
synb1_txn_76893d3aaacda4d1f09f7f7b,2024-04-07T09:00:00,27000.00,0.00,1769321.22
synb1_txn_ea713077ac4d20c64c7daa85,2024-04-09T09:00:00,16217.13,0.00,1753104.09
synb1_txn_a75033b8ee631219c2024624,2024-04-09T15:00:00,0.00,18291.04,1771395.13
synb1_txn_63cd471ee4db25b8f59cf129,2024-04-10T09:00:00,1301.21,0.00,1770093.92
synb1_txn_107abe9025e360bff8e70c44,2024-04-12T15:00:00,0.00,11853.82,1781947.74
synb1_txn_06056ffe095712ebe8024942,2024-04-13T15:00:00,0.00,3451.89,1785399.63
