transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_61305b08c759b4b2cc9fd71b,2024-01-01T09:00:00,0.00,1772848.19,1772848.19
synb1_txn_f64324a6cbcc9b01f03fe957,2024-01-02T09:00:00,319.18,0.00,1772529.01
synb1_txn_a543696bdf3ee9e8b6f5ff20,2024-01-03T15:00:00,0.00,209490.63,1982019.64
synb1_txn_b9f754ad8ac725932f352803,2024-01-04T09:00:00,2800.31,0.00,1979219.33
synb1_txn_5967ec6cca7a1cf482ee253e,2024-01-05T09:00:00,16000.00,0.00,1963219.33
synb1_txn_c37afe9b78f618b5b368671e,2024-01-07T09:00:00,48000.00,0.00,1915219.33
synb1_txn_25b2a2d2689cbc3576875f21,2024-01-12T09:00:00,5459.69,0.00,1909759.64
synb1_txn_0876a381c3a8d7ae291edbb4,2024-01-14T15:00:00,0.00,68188.58,1977948.22
synb1_txn_dcf55499542e8e237b60978e,2024-01-17T15:00:00,0.00,202183.49,2180131.71
synb1_txn_526ee21a0fe55bf49783fbe6,2024-01-22T09:00:00,1420.82,0.00,2178710.89
synb1_txn_7e08fcf7c75e30e6cca4edd0,2024-01-25T09:00:00,64387.65,0.00,2114323.24
synb1_txn_347fbe18b27decc368445034,2024-01-26T15:00:00,0.00,78097.30,2192420.54
synb1_txn_f9b4a81282970e25a2dfdee7,2024-01-28T09:00:00,344706.75,0.00,1847713.79
synb1_txn_661804c6575df4b817108e5e,2024-02-03T09:00:00,3499.30,0.00,1844214.49
synb1_txn_1c549f85770153db88adc042,2024-02-05T09:00:00,16000.00,0.00,1828214.49
synb1_txn_2b8ff94c0bea97a02ba6b65a,2024-02-05T09:00:00,21421.10,0.00,1806793.39
synb1_txn_fb14039fbef06a769b728675,2024-02-07T09:00:00,48000.00,0.00,1758793.39
synb1_txn_3cc64fdf0866991e92d07ee9,2024-02-08T09:00:00,12091.22,0.00,1746702.17
synb1_txn_e9d3e31df32b3c9a2517d93f,2024-02-09T09:00:00,257880.35,0.00,1488821.82
synb1_txn_36e30f8239bc5d266c1add6a,2024-02-10T15:00:00,0.00,33258.43,1522080.25
synb1_txn_d789b3aad84db90fb8689b73,2024-02-10T15:00:00,0.00,1190.23,1523270.48
synb1_txn_0c5ec86510418c4537122dd3,2024-02-12T09:00:00,72500.00,0.00,1450770.48
synb1_txn_91b4c34312a6cace65a984e7,2024-02-14T09:00:00,502.45,0.00,1450268.03
synb1_txn_a618d7472d672a6a31d14f7c,2024-02-14T09:00:00,11310.97,0.00,1438957.06
synb1_txn_e492b2f4cf18d2b2abfb771c,2024-02-14T09:00:00,140515.48,0.00,1298441.58
synb1_txn_bb0c2dc5589f841010935801,2024-02-15T09:00:00,138882.29,0.00,1159559.29
synb1_txn_6f1e8e48f1d4b29f21bdda85,2024-02-18T09:00:00,45081.98,0.00,1114477.31
synb1_txn_4ff69ed81c6bf264e2c2f456,2024-02-18T09:00:00,8584.00,0.00,1105893.31
synb1_txn_ecdbf4303c63eb3446c69d5a,2024-02-18T09:00:00,1030.08,0.00,1104863.23
synb1_txn_015cb52b145c7e1500261898,2024-02-18T09:00:00,4786.22,0.00,1100077.01
synb1_txn_61610a50564b8832c87354c7,2024-02-21T09:00:00,1212.03,0.00,1098864.98
synb1_txn_ae0af1e34151b6114ba2c9a3,2024-02-21T09:00:00,4349.71,0.00,1094515.27
synb1_txn_55ab5b2a80ae01a6d1c0d22f,2024-02-22T15:00:00,0.00,140860.03,1235375.30
synb1_txn_374dfbaee5f550de808f4301,2024-02-25T09:00:00,32226.31,0.00,1203148.99
synb1_txn_ce6f7840cd832a4267710c68,2024-02-25T15:00:00,0.00,131046.24,1334195.23
synb1_txn_71d8747f7b4ee9409696246e,2024-02-26T09:00:00,22762.57,0.00,1311432.66
synb1_txn_dbbf9236bb5aab7451a8e2ca,2024-02-26T15:00:00,0.00,469867.11,1781299.77
synb1_txn_9f478119e7c298f4e6242bba,2024-02-27T15:00:00,0.00,28533.73,1809833.50
synb1_txn_0c86d06ba63a52e7baf3ddf4,2024-02-27T15:00:00,0.00,83669.88,1893503.38
synb1_txn_9cfb7aa2a9de5a2c0073a9d5,2024-02-27T15:00:00,0.00,70074.35,1963577.73
synb1_txn_ffa663cd8f5f5e1153aab438,2024-03-02T15:00:00,0.00,119732.09,2083309.82
synb1_txn_ea844ffd0082e5295988e798,2024-03-03T15:00:00,0.00,160401.30,2243711.12
synb1_txn_a238fa819d49e1e746ab99ac,2024-03-05T09:00:00,16000.00,0.00,2227711.12
synb1_txn_0b6d14ee2a9a574ef64846e7,2024-03-05T15:00:00,0.00,949.59,2228660.71
synb1_txn_b7c5c3a61c0012fe7170b485,2024-03-07T09:00:00,48000.00,0.00,2180660.71
synb1_txn_c73e2207db7ce7a8f816e997,2024-03-08T09:00:00,57500.00,0.00,2123160.71
synb1_txn_dee1dfc5b40ea0b8d5c63522,2024-03-08T09:00:00,35997.81,0.00,2087162.90
synb1_txn_9d1ac596be0759354db0c5a0,2024-03-08T09:00:00,44000.75,0.00,2043162.15
synb1_txn_01985d5ed808470ae259082f,2024-03-09T15:00:00,0.00,43885.45,2087047.60
synb1_txn_65f1d910e358dde8b4e98f91,2024-03-10T15:00:00,0.00,378.24,2087425.84
synb1_txn_8792681bc796b39a4248959f,2024-03-11T09:00:00,7906.57,0.00,2079519.27
synb1_txn_847380f854eab6ffb82177dd,2024-03-12T15:00:00,0.00,89355.19,2168874.46
synb1_txn_b90b897a4d52008a3accfeb3,2024-03-13T15:00:00,0.00,58102.43,2226976.89
synb1_txn_55ef7667f32c3d57febeeb1d,2024-03-14T15:00:00,0.00,50038.90,2277015.79
synb1_txn_1a77b40633b6ba28d8311576,2024-03-15T09:00:00,1711.26,0.00,2275304.53
synb1_txn_392bd986e340655c6ad90c4a,2024-03-15T09:00:00,342.02,0.00,2274962.51
synb1_txn_7848276db10300742036d203,2024-03-17T09:00:00,2805.53,0.00,2272156.98
synb1_txn_8cc2fda81af9881c943fb34c,2024-03-17T15:00:00,0.00,231924.37,2504081.35
synb1_txn_54142784301921a4b1db7f6d,2024-03-18T09:00:00,55825.02,0.00,2448256.33
synb1_txn_9df0027a8af73737b745fb83,2024-03-18T09:00:00,10124.00,0.00,2438132.33
synb1_txn_75c8c066fdba635e4df84d29,2024-03-18T09:00:00,1214.88,0.00,2436917.45
synb1_txn_24c7eb8e79382b0a34dd3526,2024-03-18T09:00:00,43426.38,0.00,2393491.07
synb1_txn_14bc9ac5d329e7882d0578e2,2024-03-18T15:00:00,0.00,31732.61,2425223.68
synb1_txn_e8759f6d81f20a375ffb83b9,2024-03-20T09:00:00,36083.64,0.00,2389140.04
synb1_txn_521732bf56df51a14f4938aa,2024-03-22T09:00:00,5483.21,0.00,2383656.83
synb1_txn_baad6d9b38fe75d968736495,2024-03-22T09:00:00,123401.20,0.00,2260255.63
synb1_txn_eb44d095f6a93eb94264f182,2024-03-24T09:00:00,15703.62,0.00,2244552.01
synb1_txn_1e080f887dc9bc8fb003d6c8,2024-03-24T09:00:00,30038.29,0.00,2214513.72
synb1_txn_cfeec2ffb1679fbae9842702,2024-03-27T09:00:00,48016.08,0.00,2166497.64
synb1_txn_9b4cd4928d6f3f6066f8eda5,2024-03-28T09:00:00,188465.65,0.00,1978031.99
synb1_txn_35a876e33bbd491bba8a8195,2024-03-28T09:00:00,505.99,0.00,1977526.00
synb1_txn_65844bbb1bb36ce6104af102,2024-03-28T15:00:00,0.00,110199.83,2087725.83
synb1_txn_3c781eab39c7b8a4f81bcc88,2024-04-02T15:00:00,0.00,71340.60,2159066.43
synb1_txn_70dd2f96aead0e0f6daed7ce,2024-04-04T15:00:00,0.00,2533.07,2161599.50
synb1_txn_a567b930da9d878a55084403,2024-04-05T09:00:00,16000.00,0.00,2145599.50
synb1_txn_1e1ce5c62277694aadbe0eb5,2024-04-05T09:00:00,103522.19,0.00,2042077.31
synb1_txn_553644f9d3f4201a15e91074,2024-04-06T15:00:00,0.00,96031.35,2138108.66
synb1_txn_524c6a26f4cd83f43a4f61f7,2024-04-07T09:00:00,48000.00,0.00,2090108.66
synb1_txn_32de202498ee8f4f6d6371c6,2024-04-07T15:00:00,0.00,39487.89,2129596.55
synb1_txn_01b025ab5d28239076dcec25,2024-04-08T15:00:00,0.00,24076.52,2153673.07
synb1_txn_b7262a436e3b8acba8a6a159,2024-04-10T09:00:00,7327.97,0.00,2146345.10
synb1_txn_9d48b812336bd0ffd7a98016,2024-04-10T15:00:00,0.00,135975.00,2282320.10
synb1_txn_2cb3cb46101353fc11255524,2024-04-11T15:00:00,0.00,13539.52,2295859.62
synb1_txn_4ce3bbd681e76e065e8f3c5f,2024-04-14T15:00:00,0.00,5466.75,2301326.37
synb1_txn_72e3e8ffef03132c577d5d92,2024-04-16T15:00:00,0.00,2569.09,2303895.46
synb1_txn_c10da22fda1ffe7e9e2f6187,2024-04-17T15:00:00,0.00,30355.18,2334250.64
synb1_txn_f9d825e603b4c4259074ec2f,2024-04-18T09:00:00,42996.07,0.00,2291254.57
synb1_txn_48e6aaf89dabee8ac249f503,2024-04-18T09:00:00,8344.00,0.00,2282910.57
synb1_txn_ab9e2c9f059e9d4a49e790a0,2024-04-18T09:00:00,1001.28,0.00,2281909.29
synb1_txn_93b0c4e84bf06d969e2560ab,2024-04-18T09:00:00,84697.72,0.00,2197211.57
synb1_txn_d7e339e73fc62239782036cb,2024-04-18T15:00:00,0.00,116691.89,2313903.46
synb1_txn_9fd692ab0d5404788eab39e9,2024-04-20T09:00:00,83251.85,0.00,2230651.61
synb1_txn_7dfae80db8611e957117cd06,2024-04-20T09:00:00,1749.02,0.00,2228902.59
synb1_txn_bfcc151b3cd0a2513fa1a521,2024-04-20T15:00:00,0.00,60219.71,2289122.30
synb1_txn_1c066e8d53fde46eb7b239a4,2024-04-21T15:00:00,0.00,29434.91,2318557.21
synb1_txn_a2ddadf4d5781b4ee8da66ca,2024-04-23T09:00:00,6368.64,0.00,2312188.57
synb1_txn_ed15a241932abd0903973aa2,2024-04-24T09:00:00,131.56,0.00,2312057.01
synb1_txn_62bd172229d9444229174083,2024-04-24T09:00:00,169097.90,0.00,2142959.11
synb1_txn_75d1834319c2d0f28d7a011b,2024-04-26T09:00:00,3631.36,0.00,2139327.75
synb1_txn_44fac352327e806d7b311c48,2024-04-26T09:00:00,76084.19,0.00,2063243.56
synb1_txn_17110ebe65831ab0c77796f5,2024-04-26T15:00:00,0.00,36355.47,2099599.03
synb1_txn_e5278588dcd2cdb548884750,2024-04-26T15:00:00,0.00,150934.20,2250533.23
synb1_txn_0eca012bbf64e85d9f88c27f,2024-04-27T15:00:00,0.00,1198.31,2251731.54
synb1_txn_f53235192319b2802180fb29,2024-04-27T15:00:00,0.00,5450.54,2257182.08
synb1_txn_9c76d672edce000e796a3883,2024-05-03T09:00:00,122737.50,0.00,2134444.58
synb1_txn_446b496e7d699adda537244e,2024-05-03T15:00:00,0.00,139191.81,2273636.39
synb1_txn_9834736b0d1842ec0d426c39,2024-05-04T09:00:00,34893.54,0.00,2238742.85
synb1_txn_9ef0442c81a9f43b9acd730f,2024-05-05T09:00:00,16000.00,0.00,2222742.85
synb1_txn_6170ecfbb6d052dd691ffe2a,2024-05-05T09:00:00,63274.96,0.00,2159467.89
synb1_txn_28d8692442659b5862e9d916,2024-05-06T15:00:00,0.00,8135.62,2167603.51
synb1_txn_a153a96ec2556f02a686c019,2024-05-07T09:00:00,48000.00,0.00,2119603.51
synb1_txn_a4f0073f8c67d28f0e8a6399,2024-05-08T09:00:00,16505.08,0.00,2103098.43
synb1_txn_18184af1b90c104d6c7be975,2024-05-08T15:00:00,0.00,87947.29,2191045.72
synb1_txn_b1abf4d91053179c07821f5d,2024-05-09T09:00:00,113061.19,0.00,2077984.53
synb1_txn_079be5bcff2338a0d0106f41,2024-05-10T09:00:00,16.72,0.00,2077967.81
synb1_txn_4b70d6710ff0a7b8b6241500,2024-05-11T09:00:00,6699.85,0.00,2071267.96
synb1_txn_788806d983ac299562c76ea7,2024-05-11T15:00:00,0.00,125695.49,2196963.45
synb1_txn_8f75d8dcbc74954c187d06a5,2024-05-14T09:00:00,113934.71,0.00,2083028.74
synb1_txn_d1e62a49b75ac3a49317f446,2024-05-15T09:00:00,73.25,0.00,2082955.49
synb1_txn_fce01af65665129a361540b7,2024-05-16T09:00:00,39.02,0.00,2082916.47
synb1_txn_ead2a7b45aec78afcc3dd75b,2024-05-17T09:00:00,31923.39,0.00,2050993.08
synb1_txn_93496b740e1db19d436a4212,2024-05-18T15:00:00,0.00,326325.28,2377318.36
synb1_txn_b6b519c382a4012abcf78896,2024-05-19T15:00:00,0.00,97711.96,2475030.32
synb1_txn_15613ba02a85c0ced682bf29,2024-05-20T09:00:00,41628.78,0.00,2433401.54
synb1_txn_1bb5dddcf6914c42b3ee1874,2024-05-20T09:00:00,8148.00,0.00,2425253.54
synb1_txn_f151a4aa2f4a859ff28253af,2024-05-20T09:00:00,977.76,0.00,2424275.78
synb1_txn_066e872ce41c2a0d11eb6838,2024-05-20T09:00:00,8603.26,0.00,2415672.52
synb1_txn_b41f1a46e5da2359c640c131,2024-05-21T09:00:00,9690.60,0.00,2405981.92
synb1_txn_ac7d1bd6eaa34f89a2247d0c,2024-05-24T09:00:00,3171.16,0.00,2402810.76
synb1_txn_112a2ea12b15769a14cbe653,2024-05-25T15:00:00,0.00,61772.55,2464583.31
synb1_txn_d7af9472e899385eedecbb1b,2024-05-27T09:00:00,23624.35,0.00,2440958.96
synb1_txn_3dbf5e4bb7fb2296bc33a680,2024-05-28T09:00:00,3690.62,0.00,2437268.34
synb1_txn_007d707318e22736fc4645dc,2024-06-03T15:00:00,0.00,13403.99,2450672.33
synb1_txn_b35cdbadfa27c94bb269d4de,2024-06-03T15:00:00,0.00,15124.01,2465796.34
synb1_txn_47e621e23fe77bd43f52ddfd,2024-06-05T09:00:00,5063.03,0.00,2460733.31
synb1_txn_1b4aaa7c3cface1d7007ea44,2024-06-05T09:00:00,16000.00,0.00,2444733.31
synb1_txn_452815a8885a09d43e604d1b,2024-06-06T09:00:00,109161.72,0.00,2335571.59
synb1_txn_4177a638f858d8859aaecfac,2024-06-06T15:00:00,0.00,18315.26,2353886.85
synb1_txn_647f14cc01485793919e445d,2024-06-07T09:00:00,2202.77,0.00,2351684.08
synb1_txn_43c2654cb0adcdef03b9a659,2024-06-07T09:00:00,50000.00,0.00,2301684.08
synb1_txn_87591d67616ebee62ed838bb,2024-06-09T09:00:00,103740.04,0.00,2197944.04
synb1_txn_c4d2b3f06826aa23f0a6e961,2024-06-09T09:00:00,739.04,0.00,2197205.00
synb1_txn_3f8488665513807ee53d9342,2024-06-09T15:00:00,0.00,119850.71,2317055.71
synb1_txn_60631787badd0e20635eed87,2024-06-11T15:00:00,0.00,45176.92,2362232.63
synb1_txn_fe4d8049f8534c966baf6cf4,2024-06-15T09:00:00,52824.84,0.00,2309407.79
synb1_txn_837102243336b68f14b06dfe,2024-06-16T09:00:00,145002.00,0.00,2164405.79
synb1_txn_55eaeb4ec5b7915d794dd3d1,2024-06-16T15:00:00,0.00,38017.92,2202423.71
synb1_txn_ae49b1ebc6ddbdef36e588e0,2024-06-18T09:00:00,45060.97,0.00,2157362.74
synb1_txn_0faa3c5bb8a171100e7aa555,2024-06-18T09:00:00,8640.00,0.00,2148722.74
synb1_txn_b3022d2e4f64df8f676e6c0d,2024-06-18T09:00:00,1036.80,0.00,2147685.94
synb1_txn_96f6913dabe5837b867b9350,2024-06-19T15:00:00,0.00,50519.09,2198205.03
synb1_txn_784153ef338e39f995b6562c,2024-06-20T09:00:00,4234.20,0.00,2193970.83
synb1_txn_4a39c58c8698760b09303529,2024-06-20T15:00:00,0.00,55142.84,2249113.67
synb1_txn_f861520cff05064c867ade69,2024-06-21T09:00:00,36232.08,0.00,2212881.59
synb1_txn_f9c076ca05ca88459fab9bcc,2024-06-22T09:00:00,200992.46,0.00,2011889.13
synb1_txn_7ff558bf88841a5daceefe46,2024-06-23T15:00:00,0.00,15103.12,2026992.25
synb1_txn_bfa9f1f5115943ccfe2714c7,2024-06-23T15:00:00,0.00,197549.19,2224541.44
synb1_txn_5d26f84034db35fb996cc787,2024-06-23T15:00:00,0.00,168087.97,2392629.41
synb1_txn_ec12da1d709810a139b28924,2024-06-24T09:00:00,21753.82,0.00,2370875.59
synb1_txn_45282acdbc901a77350b2e22,2024-06-24T15:00:00,0.00,43468.98,2414344.57
synb1_txn_c34967421d37e3f4294b14cc,2024-07-02T15:00:00,0.00,270348.88,2684693.45
synb1_txn_5238634daf681f9a4065586a,2024-07-03T09:00:00,9030.65,0.00,2675662.80
synb1_txn_d3cdc046f62db6a84c476af6,2024-07-03T09:00:00,63391.31,0.00,2612271.49
synb1_txn_c67fd17002d8a9f25513968a,2024-07-03T15:00:00,0.00,34594.53,2646866.02
synb1_txn_5c30907d8dc1189884703187,2024-07-05T09:00:00,16000.00,0.00,2630866.02
synb1_txn_91d0d9d3ce55f16020898035,2024-07-06T15:00:00,0.00,247380.13,2878246.15
synb1_txn_69607e9d00e248067335fb1f,2024-07-07T09:00:00,50000.00,0.00,2828246.15
synb1_txn_bbae2695189003185407c414,2024-07-07T15:00:00,0.00,92332.28,2920578.43
synb1_txn_e033f2bb5b506be8f2bc13b4,2024-07-08T09:00:00,6787.80,0.00,2913790.63
synb1_txn_58f262ca438e369416fa6b07,2024-07-10T09:00:00,787.08,0.00,2913003.55
synb1_txn_c8fb5b9cd606deae1b01427f,2024-07-10T09:00:00,64219.09,0.00,2848784.46
synb1_txn_c051d388442521665a999766,2024-07-10T15:00:00,0.00,100927.59,2949712.05
