transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_fcce9053e2fcdef55f50f9f3,2024-01-01T09:00:00,0.00,670451.64,670451.64
synb1_txn_6cae3f88a1bfba5e494d1bf0,2024-01-02T09:00:00,1324.84,0.00,669126.80
synb1_txn_2dcbed07b951de6b922df5cb,2024-01-02T09:00:00,9899.61,0.00,659227.19
synb1_txn_2d2184c30e64b3576804d2d6,2024-01-03T09:00:00,94088.19,0.00,565139.00
synb1_txn_ea69a3a0caf0b55337ac0104,2024-01-04T15:00:00,0.00,2030.69,567169.69
synb1_txn_6677cb8b86fed0cb21cb7ac6,2024-01-05T09:00:00,18000.00,0.00,549169.69
synb1_txn_990b012d67abbba13b22f913,2024-01-05T15:00:00,0.00,22118.90,571288.59
synb1_txn_6897178c69e8070a9ce34274,2024-01-07T09:00:00,52000.00,0.00,519288.59
synb1_txn_39d88e915f78329e8df3ff4d,2024-01-07T15:00:00,0.00,12595.84,531884.43
synb1_txn_0c26b142a34f6038e44877d3,2024-01-07T15:00:00,0.00,54381.90,586266.33
synb1_txn_fa7f5c27cc49d7b6162af79a,2024-01-09T15:00:00,0.00,11929.28,598195.61
synb1_txn_193cb301ec91ebb6bb653166,2024-01-10T15:00:00,0.00,14160.88,612356.49
synb1_txn_bbee177b1c0dcfb1420c64ad,2024-01-14T09:00:00,19941.43,0.00,592415.06
synb1_txn_674df0f1dbdf6af48fe974ea,2024-01-17T09:00:00,9675.16,0.00,582739.90
synb1_txn_25e969093dc53ecf38350d21,2024-01-17T15:00:00,0.00,3818.54,586558.44
synb1_txn_161f0a531404469a1a4cec13,2024-01-21T09:00:00,22250.08,0.00,564308.36
synb1_txn_ba7b3b873aec217dfdfd974f,2024-01-23T15:00:00,0.00,114211.97,678520.33
synb1_txn_e913655b9dbca84c2699669a,2024-01-25T09:00:00,122620.39,0.00,555899.94
synb1_txn_b2f60c34609a70dc2a7a2e88,2024-01-26T09:00:00,1782.06,0.00,554117.88
synb1_txn_490112f8f257fe89887d3d86,2024-02-03T09:00:00,8185.43,0.00,545932.45
synb1_txn_da75ecd8374393082e445202,2024-02-03T09:00:00,17490.18,0.00,528442.27
synb1_txn_9b20e0fc68f21ca9a323263f,2024-02-04T09:00:00,4778.18,0.00,523664.09
synb1_txn_360b56b4b9f1c693a6654b66,2024-02-05T09:00:00,18000.00,0.00,505664.09
synb1_txn_31e90a24511eda44674415e4,2024-02-05T15:00:00,0.00,47279.18,552943.27
synb1_txn_b5c2f5d7da05396121a1e712,2024-02-05T15:00:00,0.00,125334.68,678277.95
synb1_txn_0e56434060f068c87c141a13,2024-02-06T09:00:00,3580.49,0.00,674697.46
synb1_txn_609471db0043f3e1fc67bc47,2024-02-07T09:00:00,52000.00,0.00,622697.46
synb1_txn_2e7aaa83e98c7538c9e6ed97,2024-02-09T09:00:00,35102.46,0.00,587595.00
synb1_txn_ba469b520b652a5fb812e2bd,2024-02-10T09:00:00,2434.63,0.00,585160.37
synb1_txn_b800c1d16995288eb13dc42c,2024-02-10T15:00:00,0.00,19094.58,604254.95
synb1_txn_c3852cf0e58d866208b24d80,2024-02-12T09:00:00,538.51,0.00,603716.44
synb1_txn_5e2b54cfac869a4e33b62d80,2024-02-12T15:00:00,0.00,68455.14,672171.58
synb1_txn_0d6b02b16707232e460d3ae8,2024-02-13T09:00:00,128.35,0.00,672043.23
synb1_txn_a475fbdcd7e5c5b2ae2b43b2,2024-02-15T09:00:00,4227.62,0.00,667815.61
synb1_txn_e0d011f2581493e940a25663,2024-02-15T09:00:00,16667.59,0.00,651148.02
synb1_txn_8bd386a6a2b04105306798ae,2024-02-16T09:00:00,84000.00,0.00,567148.02
synb1_txn_568a64a2b845760741156bbd,2024-02-16T09:00:00,75056.53,0.00,492091.49
synb1_txn_aa5b39d94e5d81082b6ecf5f,2024-02-16T09:00:00,24046.33,0.00,468045.16
synb1_txn_5b3c47a7ddf1c086de538bbf,2024-02-18T09:00:00,8849.85,0.00,459195.31
synb1_txn_a4be377c8ca2b0a49d3b89c1,2024-02-18T09:00:00,4056.00,0.00,455139.31
synb1_txn_939a91f6c2520803ff482d9b,2024-02-18T09:00:00,486.72,0.00,454652.59
synb1_txn_1bfe4e0f81ee2d1bcadf0364,2024-02-19T09:00:00,628.91,0.00,454023.68
synb1_txn_9bfbb0cc5a5d85e390cf4d19,2024-02-19T15:00:00,0.00,21309.38,475333.06
synb1_txn_fc0bd03f83242801922a4608,2024-02-19T15:00:00,0.00,72044.83,547377.89
synb1_txn_f461b094d4b50414cd1fbe5a,2024-02-26T09:00:00,117515.48,0.00,429862.41
synb1_txn_0b240194e0e6a164611e9dac,2024-02-26T15:00:00,0.00,4909.35,434771.76
synb1_txn_8e98f73cdcc1d9079dcdd8c5,2024-02-27T09:00:00,27359.35,0.00,407412.41
synb1_txn_eac7775e8c844cc1b1105fde,2024-02-27T09:00:00,7031.48,0.00,400380.93
synb1_txn_ba03ea2e824ed05013339a91,2024-02-28T15:00:00,0.00,82668.86,483049.79
synb1_txn_2469ddaed1c8f88c5951a3f9,2024-03-03T09:00:00,1918.40,0.00,481131.39
synb1_txn_b7a6c0a52a035c2cb41fa9a7,2024-03-03T09:00:00,20006.65,0.00,461124.74
synb1_txn_f6c6581a18da48e580bc6318,2024-03-03T15:00:00,0.00,7937.38,469062.12
synb1_txn_d1d31faf88850049840b4302,2024-03-04T15:00:00,0.00,11750.21,480812.33
synb1_txn_29702057f821e12546251873,2024-03-05T09:00:00,18000.00,0.00,462812.33
