transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_0c7d29b8a584ac70acfd7cb3,2025-01-01T09:00:00,0.00,8718592.22,8718592.22
synb1_txn_0bccb665665ef713b2216372,2025-01-07T15:49:11,82191.23,0.00,8636400.99
synb1_txn_2bc21cb6e9401dd74aa85d9b,2025-01-09T15:25:02,67872.32,0.00,8568528.67
synb1_txn_1f686a47d7cbd6a224d40b51,2025-01-13T14:13:44,24024.69,0.00,8544503.98
synb1_txn_48cc225e57277a910166c2eb,2025-01-19T10:33:58,22791.55,0.00,8521712.43
synb1_txn_845cc4b74d0a1a64d84bc68a,2025-01-19T17:37:45,21056.10,0.00,8500656.33
synb1_txn_4b32ee768fc41aa14fa4e981,2025-01-25T12:43:44,88495.58,0.00,8412160.75
synb1_txn_d657344b9fd14503bbe7a3f9,2025-01-30T13:19:24,22809.66,0.00,8389351.09
synb1_txn_a2810636919bc6003839923a,2025-01-30T17:28:34,96057.45,0.00,8293293.64
synb1_txn_ac258cd80bd3e7e1398ae68b,2025-02-01T09:11:41,26045.47,0.00,8267248.17
synb1_txn_7fab50b182632819171cb68a,2025-02-04T17:11:39,20629.91,0.00,8246618.26
synb1_txn_3d9c6d74167be5e58a271920,2025-02-05T10:08:49,876815.84,0.00,7369802.42
synb1_txn_e915abc728833f7412a3d8b3,2025-02-09T15:21:38,922237.66,0.00,6447564.76
synb1_txn_291b37376a0a39251311e8c7,2025-02-09T16:05:05,0.00,526563.93,6974128.69
synb1_txn_cef223f97519b1e224cfada7,2025-02-10T15:27:59,25762.31,0.00,6948366.38
synb1_txn_ce7b36c8c139596022ae4532,2025-02-15T10:37:27,0.00,534641.43,7483007.81
synb1_txn_898f8607fd75a5f609365743,2025-02-15T13:47:55,18244.31,0.00,7464763.50
synb1_txn_5f5479f5a7a6e3cd6d177efb,2025-02-16T09:48:23,89129.41,0.00,7375634.09
synb1_txn_23baffa948bdd15c05c29a2f,2025-02-16T12:06:47,95331.47,0.00,7280302.62
synb1_txn_3aeb68262f14e4a85b659d8d,2025-02-17T13:36:13,0.00,697590.69,7977893.31
synb1_txn_36631148e9edcb1ac7ec3042,2025-02-17T17:25:24,80163.38,0.00,7897729.93
synb1_txn_9f49a87216a576d5f09980c7,2025-02-19T16:55:17,986701.71,0.00,6911028.22
synb1_txn_53f140b0edba68e3347edb82,2025-02-20T17:38:26,1006879.49,0.00,5904148.73
synb1_txn_26c75f314e0403b64518ccda,2025-02-27T12:45:52,69992.32,0.00,5834156.41
synb1_txn_1a2c31c4fe0b409dc5ac7d93,2025-02-28T09:00:00,165880.95,0.00,5668275.46
synb1_txn_46f583b585d1aca113efc056,2025-02-28T09:00:00,46247.82,0.00,5622027.64
synb1_txn_5a24af57017f5409b042784d,2025-02-28T09:00:00,5549.73,0.00,5616477.91
synb1_txn_e74384fd75416055e19ff1fb,2025-02-28T12:18:01,0.00,553594.95,6170072.86
synb1_txn_e7208a8894f881e003cb55ac,2025-03-08T14:05:47,1584632.87,0.00,4585439.99
synb1_txn_4bc4d47b3b525221064fd0b9,2025-03-09T13:07:48,1265575.51,0.00,3319864.48
synb1_txn_f047a036c00a841fa2401ee6,2025-03-09T16:44:23,23177.96,0.00,3296686.52
synb1_txn_e9f0349bb775213b14a0a81f,2025-03-10T11:48:20,1503326.51,0.00,1793360.01
synb1_txn_f6cb0a837373a73628facc3d,2025-03-11T15:29:51,85511.00,0.00,1707849.01
synb1_txn_9a3cc01d272274ff75260d12,2025-03-15T13:26:33,0.00,1250923.91,2958772.92
synb1_txn_664f39dbcbf47513c3b7c31f,2025-03-18T13:08:38,21586.16,0.00,2937186.76
synb1_txn_5d71db910f40327dee9779ab,2025-03-20T14:02:28,99365.66,0.00,2837821.10
synb1_txn_b1c1f4dcb3fbbd104a4fca01,2025-03-22T13:15:51,0.00,1209080.92,4046902.02
synb1_txn_faf546f2d25871504bc5ac6e,2025-03-22T15:08:42,23465.20,0.00,4023436.82
synb1_txn_39b89c931ac49cb8dbf2eecd,2025-03-25T10:49:14,71821.58,0.00,3951615.24
synb1_txn_28d644226431c167964b8251,2025-03-26T12:03:07,0.00,964624.27,4916239.51
synb1_txn_29e47f26d9c5ddc61b63a5db,2025-03-27T16:48:33,22452.68,0.00,4893786.83
synb1_txn_6e28b0e5c653b3cc396c986c,2025-03-28T09:00:00,170801.36,0.00,4722985.47
synb1_txn_14882829d7d864bbb5842fe9,2025-03-28T09:00:00,47154.64,0.00,4675830.83
synb1_txn_c6039c150591d4739febae0a,2025-03-28T09:00:00,5658.55,0.00,4670172.28
synb1_txn_609b205369e5cc99fee4866e,2025-03-29T16:31:35,0.00,1245493.90,5915666.18
synb1_txn_45ae9c9f4ae7671929b103c5,2025-03-29T16:38:22,77918.34,0.00,5837747.84
synb1_txn_48bf126e9da925b2de3a2384,2025-03-30T14:12:52,1577062.97,0.00,4260684.87
synb1_txn_284f5a37ce4f9966319c7fe6,2025-04-01T10:49:24,1434534.34,0.00,2826150.53
synb1_txn_0ab6c4c89ccab44bc7ce2e99,2025-04-05T11:57:06,21214.98,0.00,2804935.55
synb1_txn_1a49b319b8bdf738d161db65,2025-04-08T09:47:31,1448306.27,0.00,1356629.28
