transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_296bb084628b0cd81e8c7242,2024-01-01T09:00:00,0.00,6900000.00,6900000.00
synb1_txn_0c5c313476d4aa3d8a850888,2024-01-02T15:00:00,0.00,31649.27,6931649.27
synb1_txn_ec1f56f3241dab6ebe56486d,2024-01-03T15:00:00,0.00,248976.77,7180626.04
synb1_txn_48424cede159940dbec2729b,2024-01-04T09:00:00,24270.54,0.00,7156355.50
synb1_txn_cb2a5c932e2fe867096bc6bf,2024-01-05T09:00:00,69000.00,0.00,7087355.50
synb1_txn_225b8ff199c018cf42f5075c,2024-01-05T09:00:00,229951.26,0.00,6857404.24
synb1_txn_3d47ab0faa53aa5b15ad39d2,2024-01-07T09:00:00,270000.00,0.00,6587404.24
synb1_txn_e03fa5688c09899370f7d2f2,2024-01-08T09:00:00,170141.82,0.00,6417262.42
synb1_txn_ac3a3ffa57d60a8da22c5b74,2024-01-09T15:00:00,0.00,21512.75,6438775.17
synb1_txn_d0aa98847121d4b94a855b0c,2024-01-10T15:00:00,0.00,134114.01,6572889.18
synb1_txn_20e3820377bc0bf118ffc96d,2024-01-11T09:00:00,25666.92,0.00,6547222.26
synb1_txn_8961850764df5ab35868535f,2024-01-12T09:00:00,3813.10,0.00,6543409.16
synb1_txn_3494cd212232905ee00d825c,2024-01-12T15:00:00,0.00,342956.07,6886365.23
synb1_txn_3cafc25f7729c48b9cdb169f,2024-01-19T09:00:00,6273.59,0.00,6880091.64
synb1_txn_f6f79446906e0b78009de195,2024-01-20T15:00:00,0.00,92417.97,6972509.61
synb1_txn_2b19f201fa3a0f8f79fd9f26,2024-01-20T15:00:00,0.00,12625.28,6985134.89
synb1_txn_02263f3badff4f61f5030d5f,2024-01-22T09:00:00,10205.49,0.00,6974929.40
synb1_txn_8db7994b8970eb994d908296,2024-01-25T15:00:00,0.00,124397.05,7099326.45
synb1_txn_420aa74908197e6fe4a93def,2024-01-27T15:00:00,0.00,21750.83,7121077.28
synb1_txn_4d193aeeb1290d650d834bc7,2024-01-28T09:00:00,3437.28,0.00,7117640.00
synb1_txn_3826d0fa347fab7aa56ed8e9,2024-02-02T09:00:00,31981.15,0.00,7085658.85
synb1_txn_fb5c10e55bddcdd2fe47b387,2024-02-02T09:00:00,131603.04,0.00,6954055.81
synb1_txn_557edc878a2a3025e58ada4a,2024-02-03T09:00:00,8771.25,0.00,6945284.56
synb1_txn_eba545fa7fdb8e94d796d0d4,2024-02-03T09:00:00,268216.19,0.00,6677068.37
synb1_txn_4d9bec7106c2baaff8c06aa6,2024-02-04T09:00:00,20508.28,0.00,6656560.09
synb1_txn_9f076e2f2b0c92b469eea486,2024-02-04T15:00:00,0.00,95004.35,6751564.44
synb1_txn_324d94468c7e641557e8fa5b,2024-02-05T09:00:00,69000.00,0.00,6682564.44
synb1_txn_caab82638ef91a8de8c42052,2024-02-05T09:00:00,296095.59,0.00,6386468.85
synb1_txn_9bf63fb19128786c6d9dc8dc,2024-02-05T15:00:00,0.00,77886.86,6464355.71
synb1_txn_746433f2e7af7d1281d70253,2024-02-06T09:00:00,67122.77,0.00,6397232.94
synb1_txn_c714b5de6f8ed7659b966351,2024-02-07T09:00:00,270000.00,0.00,6127232.94
synb1_txn_9525e935916693ddc930e5f1,2024-02-07T09:00:00,453578.92,0.00,5673654.02
synb1_txn_982d79acde72834f06882b24,2024-02-07T15:00:00,0.00,87523.64,5761177.66
synb1_txn_faa67c5539c707410ffe7a65,2024-02-07T15:00:00,0.00,9928.02,5771105.68
synb1_txn_565998591decb845b1d7a8ba,2024-02-08T09:00:00,59297.44,0.00,5711808.24
synb1_txn_fe2bf70f4d65d67ce80cfcf3,2024-02-08T15:00:00,0.00,215321.55,5927129.79
synb1_txn_df9b5b5b9bdcc700db67fd0a,2024-02-09T09:00:00,42879.89,0.00,5884249.90
synb1_txn_2b44323f52fde19ea93e3098,2024-02-10T09:00:00,133175.46,0.00,5751074.44
synb1_txn_bb3f0a11fa29c09859166e85,2024-02-11T15:00:00,0.00,485889.92,6236964.36
synb1_txn_84bf7a54db14b99ba3f5c531,2024-02-13T09:00:00,4578.01,0.00,6232386.35
synb1_txn_c2f4ec9ae049eb5426b4bff5,2024-02-14T15:00:00,0.00,8766.63,6241152.98
synb1_txn_86ed06106602c74a728805bd,2024-02-17T15:00:00,0.00,3021.60,6244174.58
synb1_txn_29189ff428d8f24f3bd99e4f,2024-02-18T09:00:00,18400.00,0.00,6225774.58
synb1_txn_a6d0eda17d10d54d83cb5535,2024-02-18T09:00:00,2208.00,0.00,6223566.58
synb1_txn_4cd36a9e5b3ac6b6dc79cac1,2024-02-18T15:00:00,0.00,202483.07,6426049.65
synb1_txn_59fc2d6332e9a709ebdcac1e,2024-02-19T09:00:00,690000.00,0.00,5736049.65
synb1_txn_c35d520c8f2a8242623ae993,2024-02-19T09:00:00,1512.11,0.00,5734537.54
synb1_txn_3ae0806718a152e4f8011433,2024-02-20T09:00:00,1157.48,0.00,5733380.06
synb1_txn_509570774fab91d0888bfa81,2024-02-20T15:00:00,0.00,140162.82,5873542.88
synb1_txn_67f3424afcec7dd5e620b390,2024-02-20T15:00:00,0.00,206502.87,6080045.75
synb1_txn_d17e06b6d441300851915e07,2024-02-21T09:00:00,26071.17,0.00,6053974.58
synb1_txn_89bbaa0c89621c94abdc2a1d,2024-02-21T09:00:00,13200.18,0.00,6040774.40
synb1_txn_bc6eb8fee3170aaaa6dabe43,2024-02-22T09:00:00,104071.28,0.00,5936703.12
synb1_txn_deb6ed03abf80249844b2878,2024-02-23T09:00:00,380779.79,0.00,5555923.33
synb1_txn_8bb96fd9a06bafe29bc9922e,2024-02-23T15:00:00,0.00,36320.37,5592243.70
synb1_txn_a1394c9a1430f2269545457e,2024-02-25T15:00:00,0.00,202053.24,5794296.94
synb1_txn_4040315015004bbe77887040,2024-02-26T15:00:00,0.00,41135.06,5835432.00
synb1_txn_e21555ab8499a15659c2947e,2024-03-02T15:00:00,0.00,348366.54,6183798.54
synb1_txn_40504750cb559452e2bb1d73,2024-03-03T09:00:00,9918.74,0.00,6173879.80
synb1_txn_2c9d140b61ec16a5f1afb4a8,2024-03-04T09:00:00,140036.06,0.00,6033843.74
synb1_txn_0abc2612f9393c5f56d5de30,2024-03-05T09:00:00,16816.29,0.00,6017027.45
synb1_txn_e80531b4dd62e40fff929683,2024-03-05T09:00:00,69000.00,0.00,5948027.45
synb1_txn_83ba6eb3865a7b7975d8850d,2024-03-06T15:00:00,0.00,60318.93,6008346.38
synb1_txn_95556e3666e0615f4a9367a3,2024-03-07T09:00:00,270000.00,0.00,5738346.38
synb1_txn_99f402ae27b9cbfb9219acfd,2024-03-08T09:00:00,315095.58,0.00,5423250.80
synb1_txn_0712034f7d353ac852ba2a02,2024-03-08T15:00:00,0.00,88565.26,5511816.06
synb1_txn_e3055f7f2722790b59967664,2024-03-11T09:00:00,88882.46,0.00,5422933.60
synb1_txn_212aca830af6bb20012d3a77,2024-03-12T15:00:00,0.00,22804.78,5445738.38
synb1_txn_f34e6e511d1df017ecbb68ba,2024-03-13T09:00:00,8937.16,0.00,5436801.22
synb1_txn_d0c4a335a81727fae1a9ffbb,2024-03-13T15:00:00,0.00,133136.82,5569938.04
synb1_txn_d1760796edd0d2ccf3128df3,2024-03-13T15:00:00,0.00,135951.05,5705889.09
synb1_txn_87060aada3ca4a718fe5bb4a,2024-03-15T09:00:00,22246.55,0.00,5683642.54
synb1_txn_22cdc519e154583c5b375e18,2024-03-17T09:00:00,54719.82,0.00,5628922.72
synb1_txn_83498c09f30a0b323ea007a8,2024-03-18T09:00:00,17900.00,0.00,5611022.72
synb1_txn_1e72f8f05b5f1a1ab5faeeda,2024-03-18T09:00:00,2148.00,0.00,5608874.72
synb1_txn_4814e86e8cc9cbc3811ce27e,2024-03-18T09:00:00,620000.00,0.00,4988874.72
synb1_txn_1a991db0a27fa44b098a9ae9,2024-03-19T09:00:00,6567.23,0.00,4982307.49
synb1_txn_33985a2e457fd26ee6457588,2024-03-20T09:00:00,344545.50,0.00,4637761.99
synb1_txn_2e5c738e67cbc820ea0b3119,2024-03-20T09:00:00,103666.76,0.00,4534095.23
synb1_txn_a2ab4cbf897be2d86d0a8e09,2024-03-20T09:00:00,1460.35,0.00,4532634.88
synb1_txn_b13443528f6319e5eb450630,2024-03-20T15:00:00,0.00,1155.01,4533789.89
synb1_txn_8113f84fcccdd90ec4710c77,2024-03-20T15:00:00,0.00,30847.69,4564637.58
synb1_txn_5a59f0204d2d3bf46eed55ac,2024-03-21T15:00:00,0.00,612862.06,5177499.64
synb1_txn_73cc5d7fbfb77ccbe6bb127a,2024-03-22T09:00:00,63929.98,0.00,5113569.66
synb1_txn_4c00e69fa1e78385e8d76adf,2024-03-22T15:00:00,0.00,428791.86,5542361.52
synb1_txn_f8498078d100738aa56f1355,2024-03-23T09:00:00,102177.80,0.00,5440183.72
synb1_txn_2c16eeb01a2f0f1762c13cb9,2024-03-24T09:00:00,13578.15,0.00,5426605.57
synb1_txn_59557423bfe4757819c1c5d0,2024-03-28T09:00:00,244541.57,0.00,5182064.00
synb1_txn_d50c065f57eda85ce46c4268,2024-04-04T09:00:00,160345.42,0.00,5021718.58
synb1_txn_6b93d64c5f1c175dd9604702,2024-04-04T15:00:00,0.00,130117.53,5151836.11
synb1_txn_862de20447c6fca019a1eb95,2024-04-05T09:00:00,69000.00,0.00,5082836.11
synb1_txn_e8167cbc7da7f0a434e26e70,2024-04-05T09:00:00,97945.82,0.00,4984890.29
synb1_txn_357e8f804fe9c21f1799db96,2024-04-05T09:00:00,11488.17,0.00,4973402.12
synb1_txn_5250ac487c97bbb06f60d9e8,2024-04-06T09:00:00,572.53,0.00,4972829.59
synb1_txn_e116b9d1d58a5f55a0fd8a68,2024-04-07T09:00:00,270000.00,0.00,4702829.59
synb1_txn_6ed643e0b643e3c48bc9cb29,2024-04-10T09:00:00,77314.83,0.00,4625514.76
synb1_txn_88226ad499485d0c53783465,2024-04-10T15:00:00,0.00,140631.19,4766145.95
synb1_txn_7fd446054706fa62e89758b6,2024-04-11T09:00:00,44343.69,0.00,4721802.26
synb1_txn_299ec9f57b89c6078f120a5f,2024-04-11T09:00:00,365081.51,0.00,4356720.75
synb1_txn_4786833f51ae973768bc2d50,2024-04-12T15:00:00,0.00,265926.62,4622647.37
synb1_txn_f52fee6d87edd323443aaa07,2024-04-13T09:00:00,16646.73,0.00,4606000.64
synb1_txn_27f8aa2a3abc2da694463786,2024-04-14T15:00:00,0.00,38889.59,4644890.23
synb1_txn_617300fc9dd6c6f581ca90aa,2024-04-15T09:00:00,530000.00,0.00,4114890.23
synb1_txn_f98770f9bcae37b443a73b56,2024-04-16T09:00:00,1560.36,0.00,4113329.87
